time,Golden State,pts.away,score,pts.home,Memphis
3:39.0,Defensive rebound by D. Green,,90-93,,
3:32.0,D. Green makes 2-pt shot at rim,2,92-93,,
3:32.0,Shooting foul by X. Munford (drawn by D. Green),,92-93,,
3:32.0,D. Green misses free throw 1 of 1,,92-93,,
3:31.0,,,92-93,,Defensive rebound by Z. Randolph
3:14.0,Violation by K. Thompson (kicked ball),,92-93,,
3:01.0,,,92-95,2,Z. Randolph makes 2-pt shot from 4 ft (assist by V. Carter)
2:45.0,K. Thompson misses 3-pt shot from 25 ft,,92-95,,
2:44.0,,,92-95,,Defensive rebound by V. Carter
2:24.0,,,92-97,2,Z. Randolph makes 2-pt shot from 3 ft
2:12.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,94-97,,
2:12.0,Shooting foul by V. Carter (drawn by D. Green),,94-97,,
2:12.0,D. Green makes free throw 1 of 1,1,95-97,,
1:53.0,,,95-97,,M. Barnes misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by S. Curry,,95-97,,
1:40.0,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry),3,98-97,,
