time,Philadelphia,pts.away,score,pts.home,Orlando
9:55.0,Loose ball foul by T. McConnell (drawn by N. Vucevic),,92-111,,
9:44.0,Personal foul by R. Holmes (drawn by N. Vucevic),,92-111,,
9:44.0,J. Okafor enters the game for R. Holmes,,92-111,,
9:38.0,,,92-111,,N. Vucevic misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by T. McConnell,,92-111,,
9:25.0,J. Grant misses 2-pt shot from 5 ft,,92-111,,
9:25.0,,,92-111,,Defensive rebound by C. Watson
9:04.0,Jump ball: I. Canaan vs. V. Oladipo (E. Ilyasova gains possession),,,,Jump ball: I. Canaan vs. V. Oladipo (E. Ilyasova gains possession)
9:00.0,,,92-114,3,B. Jennings makes 3-pt shot from 26 ft (assist by E. Ilyasova)
8:42.0,J. Okafor makes 2-pt shot from 7 ft,2,94-114,,
8:31.0,Official timeout,,94-114,,
8:31.0,,,94-114,,E. Payton enters the game for C. Watson
8:27.0,,,94-117,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by V. Oladipo)
8:11.0,,,94-117,,Personal foul by B. Jennings (drawn by R. Covington)
8:04.0,T. McConnell makes 2-pt shot from 9 ft,2,96-117,,
7:52.0,,,96-117,,Turnover by N. Vucevic (lost ball; steal by J. Grant)
7:46.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Grant),3,99-117,,
7:29.0,,,99-117,,Turnover by N. Vucevic (bad pass; steal by R. Covington)
7:26.0,Shooting foul by N. Vucevic (drawn by R. Covington),,99-117,,
7:26.0,R. Covington makes free throw 1 of 2,1,100-117,,
7:26.0,,,100-117,,M. Hezonja enters the game for B. Jennings
7:26.0,I. Smith enters the game for T. McConnell,,100-117,,
7:26.0,R. Covington makes free throw 2 of 2,1,101-117,,
7:07.0,,,101-117,,N. Vucevic misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by J. Grant,,101-117,,
6:52.0,J. Okafor misses 2-pt shot from 6 ft,,101-117,,
6:52.0,,,101-117,,Defensive rebound by M. Hezonja
6:43.0,,,101-117,,V. Oladipo misses 2-pt shot at rim (block by J. Grant)
6:42.0,Defensive rebound by I. Canaan,,101-117,,
6:42.0,,,101-117,,Personal foul by V. Oladipo (drawn by I. Canaan)
6:22.0,J. Okafor misses 2-pt shot from 1 ft,,101-117,,
6:22.0,,,101-117,,Defensive rebound by E. Ilyasova
6:04.0,,,101-117,,Turnover by E. Payton (lost ball; steal by J. Grant)
6:03.0,,,101-117,,Personal foul by V. Oladipo (drawn by R. Covington)
6:03.0,R. Covington makes free throw 1 of 2,1,102-117,,
6:03.0,R. Covington makes free throw 2 of 2,1,103-117,,
5:47.0,,,103-117,,N. Vucevic misses 2-pt shot at rim (block by J. Grant)
5:45.0,Defensive rebound by I. Smith,,103-117,,
5:41.0,I. Canaan misses 3-pt shot from 25 ft,,103-117,,
5:40.0,,,103-117,,Defensive rebound by N. Vucevic
5:40.0,,,103-117,,Turnover by N. Vucevic (step out of bounds)
5:40.0,,,103-117,,Orlando full timeout
5:40.0,,,103-117,,A. Gordon enters the game for E. Ilyasova
5:31.0,R. Covington makes 2-pt shot from 1 ft,2,105-117,,
5:14.0,,,105-119,2,N. Vucevic makes 2-pt shot at rim
5:01.0,Shooting foul by N. Vucevic (drawn by I. Canaan),,105-119,,
5:01.0,I. Canaan makes free throw 1 of 2,1,106-119,,
5:01.0,I. Canaan makes free throw 2 of 2,1,107-119,,
4:49.0,,,107-119,,V. Oladipo misses 3-pt shot from 23 ft
4:49.0,Defensive rebound by J. Okafor,,107-119,,
4:39.0,I. Smith misses 2-pt shot from 1 ft,,107-119,,
4:37.0,Offensive rebound by Team,,107-119,,
4:32.0,Offensive foul by J. Okafor,,107-119,,
4:32.0,Turnover by J. Okafor (offensive foul),,107-119,,
4:12.0,,,107-119,,N. Vucevic misses 2-pt shot from 13 ft
