time,New York,pts.away,score,pts.home,Charlotte
4:47.0,K. Seraphin misses 2-pt shot from 5 ft,,52-61,,
4:46.0,,,52-61,,Defensive rebound by K. Walker
4:40.0,,,52-63,2,P. Hairston makes 2-pt shot at rim (assist by K. Walker)
4:40.0,,,52-63,,Shooting foul by K. Seraphin (drawn by P. Hairston)
4:40.0,,,52-64,1,P. Hairston makes free throw 1 of 1
4:24.0,K. Seraphin misses 2-pt shot from 17 ft,,52-64,,
4:23.0,,,52-64,,Defensive rebound by M. Williams
4:16.0,,,52-64,,K. Walker misses 2-pt shot from 17 ft
4:15.0,Defensive rebound by L. Galloway,,52-64,,
4:00.0,D. Williams misses 3-pt shot from 25 ft,,52-64,,
3:58.0,,,52-64,,Defensive rebound by K. Walker
3:51.0,,,52-64,,Shooting foul by D. Williams (drawn by J. Lin)
3:51.0,,,52-65,1,J. Lin makes free throw 1 of 2
3:51.0,,,52-66,1,J. Lin makes free throw 2 of 2
3:36.0,L. Galloway misses 3-pt shot from 24 ft,,52-66,,
3:36.0,Offensive rebound by Team,,52-66,,
3:36.0,,,52-66,,Loose ball foul by P. Hairston (drawn by D. Williams)
3:36.0,,,52-66,,Violation by Team (delay of game)
3:36.0,,,52-66,,F. Kaminsky enters the game for P. Hairston
3:19.0,Turnover by D. Williams (lost ball; steal by K. Walker),,52-66,,
3:03.0,,,52-66,,K. Walker misses 2-pt shot from 19 ft
3:02.0,Defensive rebound by C. Anthony,,52-66,,
2:55.0,Turnover by K. Seraphin (traveling),,52-66,,
2:55.0,,,52-66,,Charlotte full timeout
2:55.0,J. Grant enters the game for C. Anthony,,52-66,,
2:55.0,L. Amundson enters the game for J. Calderon,,52-66,,
2:55.0,A. Afflalo enters the game for K. Seraphin,,52-66,,
2:41.0,,,52-66,,J. Lin misses 2-pt shot at rim
2:39.0,Defensive rebound by D. Williams,,52-66,,
2:26.0,A. Afflalo misses 3-pt shot from 25 ft,,52-66,,
2:26.0,,,52-66,,Defensive rebound by Team
2:26.0,Loose ball foul by L. Amundson,,52-66,,
