time,Oklahoma City,pts.away,score,pts.home,New Orleans
9:38.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Foye),3,92-97,,
9:17.0,,,92-100,3,T. Douglas makes 3-pt shot from 23 ft (assist by K. Perkins)
9:04.0,K. Durant misses 3-pt shot from 26 ft,,92-100,,
9:03.0,,,92-100,,Defensive rebound by T. Douglas
9:03.0,Personal foul by K. Durant (drawn by T. Douglas),,92-100,,
9:03.0,S. Adams enters the game for E. Kanter,,92-100,,
9:03.0,R. Westbrook enters the game for K. Singler,,92-100,,
8:43.0,,,92-100,,R. Anderson misses 2-pt shot from 17 ft
8:42.0,Defensive rebound by K. Durant,,92-100,,
8:33.0,D. Waiters makes 3-pt shot from 22 ft (assist by R. Foye),3,95-100,,
8:14.0,,,95-103,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Douglas)
8:02.0,,,95-103,,Personal foul by K. Perkins (drawn by R. Westbrook)
8:02.0,,,95-103,,A. Davis enters the game for K. Perkins
7:59.0,K. Durant misses 2-pt shot from 6 ft,,95-103,,
7:58.0,Offensive rebound by S. Adams,,95-103,,
7:58.0,S. Adams misses 2-pt shot from 4 ft,,95-103,,
7:56.0,,,95-103,,Defensive rebound by T. Douglas
7:46.0,,,95-105,2,T. Douglas makes 2-pt shot from 1 ft
7:23.0,D. Waiters makes 2-pt shot from 15 ft (assist by R. Westbrook),2,97-105,,
7:09.0,,,97-107,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
6:52.0,Shooting foul by J. Holiday (drawn by K. Durant),,97-107,,
6:52.0,K. Durant makes free throw 1 of 2,1,98-107,,
6:52.0,S. Ibaka enters the game for R. Foye,,98-107,,
6:52.0,,,98-107,,A. Gee enters the game for J. Holiday
6:52.0,K. Durant misses free throw 2 of 2,,98-107,,
6:51.0,Offensive rebound by Team,,98-107,,
6:45.0,K. Durant makes 2-pt shot from 2 ft,2,100-107,,
6:23.0,,,100-107,,A. Davis misses 2-pt shot from 5 ft (block by S. Adams)
6:22.0,Defensive rebound by S. Adams,,100-107,,
6:14.0,D. Waiters misses 3-pt shot from 22 ft,,100-107,,
6:14.0,,,100-107,,Defensive rebound by Team
6:14.0,,,100-107,,Personal foul by A. Davis (drawn by S. Adams)
6:14.0,Personal foul by S. Adams,,100-107,,
6:14.0,Jump ball: S. Adams vs. A. Davis (R. Anderson gains possession),,,,Jump ball: S. Adams vs. A. Davis (R. Anderson gains possession)
6:04.0,,,100-107,,R. Anderson misses 3-pt shot from 26 ft
6:03.0,,,100-107,,Offensive rebound by T. Douglas
5:47.0,,,100-109,2,T. Douglas makes 2-pt shot at rim
5:26.0,K. Durant misses 2-pt shot from 17 ft,,100-109,,
5:25.0,,,100-109,,Defensive rebound by Team
5:25.0,Official timeout,,100-109,,
5:17.0,,,100-109,,T. Douglas misses 2-pt shot from 10 ft
5:16.0,Defensive rebound by Team,,100-109,,
5:02.0,R. Westbrook makes 3-pt shot from 25 ft,3,103-109,,
4:45.0,,,103-109,,A. Davis misses 2-pt shot from 15 ft
4:44.0,,,103-109,,Offensive rebound by D. Cunningham
4:40.0,,,103-109,,D. Cunningham misses 2-pt shot from 1 ft (block by K. Durant)
4:39.0,,,103-109,,Offensive rebound by D. Cunningham
4:39.0,,,103-111,2,D. Cunningham makes 2-pt shot from 1 ft
4:30.0,,,103-111,,Personal foul by A. Gee (drawn by R. Westbrook)
4:30.0,R. Foye enters the game for S. Adams,,103-111,,
4:30.0,,,103-111,,J. Holiday enters the game for T. Douglas
4:30.0,,,103-111,,N. Cole enters the game for A. Gee
4:25.0,,,103-111,,Personal foul by D. Cunningham (drawn by S. Ibaka)
4:18.0,S. Ibaka misses 2-pt shot from 19 ft,,103-111,,
4:16.0,,,103-111,,Defensive rebound by R. Anderson
4:15.0,Personal foul by R. Westbrook (drawn by A. Davis),,103-111,,
4:03.0,,,103-114,3,J. Holiday makes 3-pt shot from 26 ft
3:45.0,K. Durant makes 2-pt shot from 7 ft (assist by R. Westbrook),2,105-114,,
3:36.0,,,105-114,,A. Davis misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by R. Foye,,105-114,,
3:28.0,R. Westbrook misses 2-pt shot at rim (block by A. Davis),,105-114,,
3:25.0,,,105-114,,Defensive rebound by N. Cole
3:23.0,,,105-117,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
3:07.0,R. Westbrook makes 2-pt shot from 1 ft,2,107-117,,
3:07.0,,,107-117,,New Orleans full timeout
2:49.0,,,107-117,,Turnover by J. Holiday (bad pass)
