time,Oklahoma City,pts.away,score,pts.home,Charlotte
9:19.0,,,95-78,,K. Walker enters the game for J. Lamb
9:02.0,,,95-80,2,T. Hansbrough makes 2-pt shot at rim (assist by J. Lin)
8:40.0,A. Morrow makes 3-pt shot from 25 ft (assist by D. Waiters),3,98-80,,
8:24.0,,,98-80,,J. Lin misses 2-pt shot from 1 ft (block by E. Kanter)
8:22.0,Defensive rebound by C. Payne,,98-80,,
8:16.0,D. Waiters misses 2-pt shot from 3 ft (block by T. Hansbrough),,98-80,,
8:14.0,,,98-80,,Defensive rebound by F. Kaminsky
8:07.0,,,98-83,3,T. Daniels makes 3-pt shot from 29 ft (assist by F. Kaminsky)
7:44.0,C. Payne misses 3-pt shot from 25 ft,,98-83,,
7:43.0,,,98-83,,Defensive rebound by K. Walker
7:40.0,,,98-83,,Shooting foul by C. Payne (drawn by K. Walker)
7:40.0,,,98-84,1,K. Walker makes free throw 1 of 2
7:40.0,,,98-85,1,K. Walker makes free throw 2 of 2
7:21.0,K. Singler misses 3-pt shot from 22 ft,,98-85,,
7:17.0,Offensive rebound by D. Waiters,,98-85,,
7:04.0,D. Waiters makes 2-pt shot from 19 ft,2,100-85,,
6:47.0,,,100-85,,F. Kaminsky misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by Team,,100-85,,
6:46.0,,,100-85,,Personal foul by T. Hansbrough (drawn by K. Singler)
6:46.0,R. Westbrook enters the game for C. Payne,,100-85,,
6:46.0,K. Durant enters the game for D. Waiters,,100-85,,
6:46.0,,,100-85,,C. Zeller enters the game for T. Hansbrough
6:28.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,102-85,,
