time,LA Clippers,pts.away,score,pts.home,Houston
6:57.0,,,53-64,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry)
6:31.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,55-64,,
6:14.0,,,55-64,,J. Terry misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by J. Redick,,55-64,,
6:04.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,58-64,,
5:49.0,,,58-64,,T. Ariza misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by B. Griffin,,58-64,,
5:34.0,C. Paul misses 2-pt shot from 18 ft,,58-64,,
5:34.0,,,58-64,,Defensive rebound by Team
5:34.0,,,58-64,,Personal foul by D. Motiejunas (drawn by B. Griffin)
5:34.0,Personal foul by B. Griffin,,58-64,,
5:17.0,,,58-67,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:59.0,B. Griffin misses 2-pt shot from 19 ft,,58-67,,
4:58.0,,,58-67,,Defensive rebound by D. Howard
4:48.0,,,58-67,,J. Terry misses 3-pt shot from 22 ft
4:47.0,Defensive rebound by J. Redick,,58-67,,
4:36.0,J. Redick misses 2-pt shot from 1 ft,,58-67,,
4:35.0,,,58-67,,Defensive rebound by D. Motiejunas
4:28.0,,,58-67,,J. Terry misses 2-pt shot from 17 ft
4:28.0,Defensive rebound by J. Crawford,,58-67,,
4:28.0,LA Clippers full timeout,,58-67,,
4:28.0,Technical foul by B. Griffin,,58-67,,
4:28.0,,,58-67,,C. Capela enters the game for D. Howard
4:28.0,,,58-68,1,J. Harden makes technical free throw
4:04.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,61-68,,
3:45.0,,,61-71,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
3:27.0,J. Redick misses 2-pt shot from 12 ft,,61-71,,
3:26.0,,,61-71,,Defensive rebound by D. Motiejunas
3:19.0,,,61-73,2,J. Harden makes 2-pt shot from 2 ft
2:57.0,J. Redick misses 2-pt shot from 6 ft,,61-73,,
2:56.0,Offensive rebound by D. Jordan,,61-73,,
2:56.0,D. Jordan makes 2-pt shot at rim,2,63-73,,
2:41.0,,,63-75,2,C. Capela makes 2-pt shot at rim (assist by D. Motiejunas)
2:14.0,J. Crawford misses 2-pt shot from 7 ft,,63-75,,
2:13.0,Offensive rebound by D. Jordan,,63-75,,
2:13.0,D. Jordan misses 2-pt shot from 2 ft,,63-75,,
2:13.0,,,63-75,,Defensive rebound by Team
2:13.0,,,63-75,,C. Brewer enters the game for T. Ariza
2:13.0,A. Rivers enters the game for J. Crawford,,63-75,,
2:13.0,P. Pierce enters the game for B. Griffin,,63-75,,
2:00.0,,,63-75,,C. Brewer misses 3-pt shot from 24 ft
1:59.0,,,63-75,,Offensive rebound by C. Capela
1:59.0,Personal foul by P. Pierce (drawn by C. Capela),,63-75,,
1:39.0,,,63-78,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
1:13.0,Shooting foul by D. Motiejunas (drawn by D. Jordan),,63-78,,
1:13.0,D. Jordan makes free throw 1 of 2,1,64-78,,
1:13.0,L. Stephenson enters the game for J. Redick,,64-78,,
1:13.0,D. Jordan makes free throw 2 of 2,1,65-78,,
1:11.0,Personal take foul by A. Rivers (drawn by C. Capela),,65-78,,
1:11.0,,,65-79,1,C. Capela makes free throw 1 of 2
1:11.0,,,65-79,,C. Capela misses free throw 2 of 2
1:10.0,Defensive rebound by Team,,65-79,,
1:10.0,,,65-79,,Loose ball foul by C. Brewer (drawn by D. Jordan)
1:10.0,D. Jordan misses free throw 1 of 2,,65-79,,
1:10.0,Offensive rebound by Team,,65-79,,
1:10.0,,,65-79,,M. Thornton enters the game for C. Capela
1:10.0,D. Jordan misses free throw 2 of 2,,65-79,,
1:10.0,,,65-79,,Defensive rebound by J. Harden
1:00.0,,,65-79,,J. Harden misses 2-pt shot from 3 ft (block by D. Jordan)
1:00.0,Defensive rebound by D. Jordan,,65-79,,
1:00.0,,,65-79,,Personal take foul by J. Harden (drawn by D. Jordan)
1:00.0,D. Jordan makes free throw 1 of 2,1,66-79,,
1:00.0,D. Jordan makes free throw 2 of 2,1,67-79,,
0:37.0,,,67-79,,J. Harden misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by Team,,67-79,,
0:36.0,J. Smith enters the game for D. Jordan,,67-79,,
0:34.0,,,67-79,,Personal take foul by J. Terry (drawn by J. Smith)
0:34.0,J. Smith makes free throw 1 of 2,1,68-79,,
0:34.0,J. Smith makes free throw 2 of 2,1,69-79,,
0:34.0,Personal foul by A. Rivers (drawn by J. Harden),,69-79,,
0:34.0,,,69-80,1,J. Harden makes free throw 1 of 2
0:34.0,,,69-81,1,J. Harden makes free throw 2 of 2
0:27.0,P. Pierce misses 3-pt shot from 27 ft,,69-81,,
0:26.0,Offensive rebound by J. Smith,,69-81,,
0:25.0,J. Smith makes 2-pt shot from 5 ft,2,71-81,,
0:04.0,,,71-81,,C. Brewer misses 3-pt shot from 23 ft
0:03.0,,,71-81,,Offensive rebound by M. Thornton
0:01.0,,,71-83,2,M. Thornton makes 2-pt shot from 1 ft
0:00.0,J. Smith misses 3-pt shot from 55 ft,,71-83,,
0:00.0,Offensive rebound by Team,,71-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
