time,Houston,pts.away,score,pts.home,Oklahoma City
0:31.0,Defensive rebound by D. Howard,,77-78,,
0:06.0,Turnover by Team (shot clock),,77-78,,
0:00.0,,,77-78,,C. Payne misses 3-pt shot from 28 ft
0:00.0,,,77-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Beasley misses 2-pt shot from 16 ft,,77-78,,
11:44.0,,,77-78,,Defensive rebound by E. Kanter
11:31.0,,,77-78,,K. Durant misses 2-pt shot from 7 ft
11:30.0,Defensive rebound by T. Ariza,,77-78,,
11:24.0,C. Brewer makes 2-pt shot from 3 ft,2,79-78,,
11:00.0,,,79-78,,C. Payne misses 2-pt shot from 3 ft
10:59.0,,,79-78,,Offensive rebound by E. Kanter
10:59.0,,,79-80,2,E. Kanter makes 2-pt shot from 1 ft
10:54.0,Turnover by T. Ariza (lost ball; steal by D. Waiters),,79-80,,
10:46.0,,,79-80,,R. Foye misses 3-pt shot from 22 ft
10:45.0,Defensive rebound by C. Brewer,,79-80,,
10:33.0,M. Beasley makes 2-pt shot from 14 ft,2,81-80,,
10:09.0,,,81-82,2,K. Durant makes 2-pt shot from 5 ft
10:00.0,C. Brewer misses 2-pt shot from 4 ft,,81-82,,
10:00.0,,,81-82,,Defensive rebound by E. Kanter
9:56.0,Personal foul by T. Ariza,,81-82,,
9:50.0,,,81-82,,K. Durant misses 2-pt shot from 5 ft
9:50.0,Defensive rebound by C. Brewer,,81-82,,
9:44.0,T. Ariza misses 2-pt shot from 2 ft,,81-82,,
9:44.0,Offensive rebound by T. Ariza,,81-82,,
9:41.0,J. Terry makes 3-pt shot from 23 ft (assist by T. Ariza),3,84-82,,
9:25.0,,,84-84,2,C. Payne makes 2-pt shot from 5 ft
9:08.0,J. Terry misses 2-pt shot from 13 ft,,84-84,,
9:07.0,Offensive rebound by M. Beasley,,84-84,,
9:04.0,M. Beasley makes 2-pt shot from 1 ft,2,86-84,,
8:49.0,,,86-84,,Shooting foul by C. Brewer (drawn by K. Durant)
8:49.0,Official timeout,,86-84,,
8:49.0,,,86-84,,A. Morrow enters the game for R. Foye
8:49.0,,,86-84,,R. Westbrook enters the game for C. Payne
8:49.0,P. Beverley enters the game for C. Brewer,,86-84,,
8:49.0,,,86-85,1,K. Durant makes free throw 1 of 2
8:49.0,,,86-86,1,K. Durant makes free throw 2 of 2
8:37.0,Turnover by M. Beasley (lost ball; steal by E. Kanter),,86-86,,
8:33.0,,,86-86,,Shooting foul by J. Terry (drawn by E. Kanter)
8:33.0,,,86-87,1,E. Kanter makes free throw 1 of 2
8:33.0,,,86-87,,A. Roberson enters the game for K. Durant
8:33.0,J. Harden enters the game for M. Beasley,,86-87,,
8:33.0,,,86-87,,E. Kanter misses free throw 2 of 2
8:32.0,Defensive rebound by D. Howard,,86-87,,
8:09.0,Turnover by Team (shot clock),,86-87,,
8:09.0,C. Brewer enters the game for T. Ariza,,86-87,,
8:01.0,,,86-89,2,R. Westbrook makes 2-pt shot at rim
7:36.0,J. Terry makes 2-pt shot from 9 ft,2,88-89,,
7:25.0,,,88-89,,Turnover by R. Westbrook (lost ball; steal by J. Harden)
7:17.0,Shooting foul by E. Kanter (drawn by D. Howard),,88-89,,
7:17.0,D. Howard makes free throw 1 of 2,1,89-89,,
7:17.0,D. Howard makes free throw 2 of 2,1,90-89,,
6:59.0,Personal foul by C. Brewer,,90-89,,
6:59.0,,,90-89,,K. Durant enters the game for D. Waiters
6:59.0,T. Ariza enters the game for J. Terry,,90-89,,
6:53.0,,,90-89,,Shooting foul by P. Beverley (drawn by R. Westbrook)
6:53.0,,,90-91,2,R. Westbrook makes 2-pt shot at rim
6:53.0,,,90-92,1,R. Westbrook makes free throw 1 of 1
6:32.0,P. Beverley misses 2-pt shot from 17 ft,,90-92,,
6:32.0,,,90-92,,Defensive rebound by R. Westbrook
