time,Detroit,pts.away,score,pts.home,Orlando
0:25.0,Personal foul by A. Baynes,,72-75,,
0:25.0,,,72-76,1,A. Nicholson makes free throw 1 of 2
0:25.0,,,72-77,1,A. Nicholson makes free throw 2 of 2
0:05.0,Shooting foul by J. Smith (drawn by A. Tolliver),,72-77,,
0:05.0,A. Tolliver misses free throw 1 of 3,,72-77,,
0:05.0,Offensive rebound by Team,,72-77,,
0:05.0,A. Tolliver makes free throw 2 of 3,1,73-77,,
0:05.0,A. Tolliver misses free throw 3 of 3,,73-77,,
0:04.0,,,73-77,,Defensive rebound by M. Hezonja
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by A. Tolliver (bad pass),,73-77,,
11:37.0,,,73-79,2,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings)
11:21.0,,,73-79,,Personal foul by M. Hezonja
11:07.0,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Bullock),3,76-79,,
10:49.0,,,76-81,2,J. Smith makes 2-pt shot from 18 ft (assist by M. Hezonja)
10:27.0,S. Blake misses 3-pt shot from 23 ft,,76-81,,
10:27.0,Offensive rebound by M. Morris,,76-81,,
10:24.0,M. Morris misses 2-pt shot from 1 ft,,76-81,,
10:24.0,,,76-81,,Defensive rebound by J. Smith
10:13.0,,,76-83,2,M. Hezonja makes 2-pt shot from 14 ft
10:12.0,Detroit full timeout,,76-83,,
9:55.0,A. Baynes makes 2-pt shot at rim (assist by R. Bullock),2,78-83,,
9:38.0,,,78-83,,A. Nicholson misses 2-pt shot from 6 ft
9:38.0,Defensive rebound by A. Baynes,,78-83,,
9:28.0,,,78-83,,Personal foul by B. Jennings
9:15.0,A. Baynes makes 2-pt shot from 1 ft (assist by R. Bullock),2,80-83,,
8:57.0,,,80-85,2,J. Smith makes 2-pt shot from 10 ft (assist by M. Hezonja)
8:45.0,R. Bullock misses 3-pt shot from 22 ft,,80-85,,
8:44.0,,,80-85,,Defensive rebound by A. Nicholson
8:35.0,,,80-85,,J. Smith misses 2-pt shot from 17 ft
8:35.0,Defensive rebound by S. Blake,,80-85,,
8:24.0,R. Bullock makes 3-pt shot from 24 ft (assist by S. Blake),3,83-85,,
8:13.0,,,83-85,,Turnover by B. Jennings (lost ball)
8:13.0,R. Jackson enters the game for S. Blake,,83-85,,
7:57.0,R. Jackson makes 2-pt shot from 7 ft (assist by M. Morris),2,85-85,,
7:43.0,,,85-87,2,A. Nicholson makes 2-pt shot from 1 ft
7:35.0,,,85-87,,Personal foul by J. Smith
7:35.0,T. Harris enters the game for A. Tolliver,,85-87,,
7:35.0,A. Drummond enters the game for A. Baynes,,85-87,,
7:35.0,,,85-87,,E. Payton enters the game for B. Jennings
7:35.0,,,85-87,,E. Fournier enters the game for M. Hezonja
7:27.0,Turnover by M. Morris (lost ball; steal by V. Oladipo),,85-87,,
7:24.0,,,85-87,,Shooting foul by M. Morris (drawn by V. Oladipo)
7:24.0,,,85-88,1,V. Oladipo makes free throw 1 of 2
7:24.0,K. Caldwell-Pope enters the game for M. Morris,,85-88,,
7:24.0,,,85-89,1,V. Oladipo makes free throw 2 of 2
7:08.0,A. Drummond misses 2-pt shot from 3 ft,,85-89,,
7:07.0,,,85-89,,Defensive rebound by V. Oladipo
6:49.0,,,85-89,,J. Smith misses 2-pt shot from 20 ft
6:48.0,Defensive rebound by A. Drummond,,85-89,,
6:37.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,87-89,,
6:37.0,,,87-89,,Orlando full timeout
6:37.0,,,87-89,,N. Vucevic enters the game for A. Nicholson
6:37.0,,,87-89,,A. Gordon enters the game for J. Smith
6:21.0,,,87-91,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier)
5:57.0,A. Drummond makes 2-pt shot from 6 ft,2,89-91,,
5:41.0,,,89-94,3,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Gordon)
5:23.0,T. Harris makes 3-pt shot from 23 ft (assist by A. Drummond),3,92-94,,
5:05.0,,,92-94,,N. Vucevic misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by A. Drummond,,92-94,,
4:45.0,A. Drummond misses 2-pt shot from 5 ft,,92-94,,
4:45.0,,,92-94,,Defensive rebound by V. Oladipo
4:34.0,,,92-96,2,E. Payton makes 2-pt shot from 16 ft
4:22.0,R. Jackson makes 2-pt shot from 14 ft,2,94-96,,
4:03.0,,,94-96,,E. Payton misses 3-pt shot from 23 ft
4:02.0,,,94-96,,Offensive rebound by N. Vucevic
3:50.0,,,94-96,,Turnover by V. Oladipo (lost ball; steal by R. Bullock)
3:42.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Bullock),3,97-96,,
3:24.0,,,97-96,,V. Oladipo misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by A. Drummond,,97-96,,
3:18.0,Shooting foul by N. Vucevic (drawn by R. Jackson),,97-96,,
3:18.0,R. Jackson makes free throw 1 of 2,1,98-96,,
3:18.0,R. Jackson makes free throw 2 of 2,1,99-96,,
2:58.0,,,99-96,,Turnover by E. Fournier (lost ball; steal by K. Caldwell-Pope)
