time,Orlando,pts.away,score,pts.home,Philadelphia
8:25.0,,,83-78,,Offensive rebound by T. McConnell
8:19.0,,,83-78,,J. Okafor misses 2-pt shot from 8 ft (block by D. Dedmon)
8:13.0,,,83-78,,Offensive rebound by J. Okafor
8:02.0,,,83-80,2,J. Okafor makes 2-pt shot from 8 ft (assist by T. McConnell)
7:45.0,E. Payton makes 2-pt shot from 6 ft (assist by T. Harris),2,85-80,,
7:18.0,,,85-80,,J. Grant misses 3-pt shot from 26 ft
7:16.0,Defensive rebound by D. Dedmon,,85-80,,
7:10.0,Turnover by E. Payton (bad pass),,85-80,,
7:10.0,,,85-80,,I. Canaan enters the game for J. Okafor
7:10.0,,,85-80,,R. Holmes enters the game for H. Thompson
6:55.0,,,85-83,3,I. Canaan makes 3-pt shot from 26 ft (assist by T. McConnell)
6:33.0,E. Payton misses 2-pt shot from 4 ft,,85-83,,
6:32.0,Offensive rebound by Team,,85-83,,
6:32.0,,,85-83,,Loose ball foul by R. Holmes (drawn by D. Dedmon)
6:32.0,,,85-83,,Philadelphia full timeout
6:32.0,,,85-83,,P. Pressey enters the game for J. Grant
6:32.0,,,85-83,,J. Sampson enters the game for T. McConnell
6:24.0,V. Oladipo misses 2-pt shot from 2 ft,,85-83,,
6:24.0,,,85-83,,Defensive rebound by Team
6:24.0,Personal foul by D. Dedmon (drawn by R. Holmes),,85-83,,
6:24.0,,,85-83,,H. Thompson enters the game for J. Sampson
6:12.0,,,85-83,,Turnover by P. Pressey (bad pass; steal by E. Payton)
6:07.0,E. Payton makes 2-pt shot from 1 ft,2,87-83,,
5:53.0,,,87-83,,P. Pressey misses 3-pt shot from 22 ft
5:51.0,Defensive rebound by E. Fournier,,87-83,,
5:38.0,Turnover by E. Fournier (bad pass; steal by I. Canaan),,87-83,,
5:25.0,,,87-83,,P. Pressey misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by Team,,87-83,,
5:23.0,,,87-83,,T. McConnell enters the game for P. Pressey
5:10.0,T. Harris misses 2-pt shot at rim (block by T. McConnell),,87-83,,
5:08.0,,,87-83,,Defensive rebound by T. McConnell
5:06.0,,,87-83,,H. Thompson misses 3-pt shot from 26 ft
5:04.0,,,87-83,,Offensive rebound by T. McConnell
5:00.0,,,87-83,,T. McConnell misses 3-pt shot from 27 ft
4:59.0,Defensive rebound by T. Harris,,87-83,,
