time,Dallas,pts.away,score,pts.home,New Orleans
7:40.0,J. McGee misses 2-pt shot from 3 ft (block by A. Davis),,53-61,,
7:39.0,Offensive rebound by J. McGee,,53-61,,
7:38.0,J. McGee makes 2-pt shot at rim,2,55-61,,
7:19.0,,,55-61,,A. Gee misses 3-pt shot from 23 ft
7:19.0,,,55-61,,Offensive rebound by O. Asik
7:17.0,,,55-61,,Turnover by O. Asik (step out of bounds)
7:06.0,J. Barea misses 2-pt shot from 16 ft,,55-61,,
7:06.0,Offensive rebound by Team,,55-61,,
6:42.0,C. Parsons misses 3-pt shot from 26 ft,,55-61,,
6:40.0,,,55-61,,Defensive rebound by A. Gee
6:33.0,,,55-61,,Turnover by T. Evans (lost ball)
6:17.0,C. Villanueva misses 3-pt shot from 24 ft,,55-61,,
6:17.0,,,55-61,,Defensive rebound by A. Gee
6:02.0,,,55-61,,O. Asik misses 2-pt shot from 3 ft (block by J. McGee)
6:00.0,Defensive rebound by R. Felton,,55-61,,
5:47.0,J. McGee misses 2-pt shot from 16 ft,,55-61,,
5:46.0,,,55-61,,Defensive rebound by A. Gee
5:42.0,,,55-61,,Turnover by A. Davis (traveling)
5:42.0,J. Evans enters the game for J. Barea,,55-61,,
5:42.0,D. Harris enters the game for C. Villanueva,,55-61,,
5:42.0,,,55-61,,N. Cole enters the game for T. Evans
5:42.0,,,55-61,,J. Holiday enters the game for E. Gordon
5:23.0,C. Parsons makes 2-pt shot from 2 ft,2,57-61,,
5:18.0,,,57-61,,Turnover by O. Asik (bad pass; steal by D. Harris)
5:15.0,,,57-61,,Personal foul by J. Holiday (drawn by R. Felton)
5:15.0,,,57-61,,T. Evans enters the game for A. Gee
5:15.0,,,57-61,,R. Anderson enters the game for O. Asik
5:15.0,D. Powell enters the game for J. McGee,,57-61,,
5:05.0,R. Felton makes 2-pt shot from 20 ft,2,59-61,,
4:51.0,,,59-64,3,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis)
4:28.0,C. Parsons misses 3-pt shot from 23 ft,,59-64,,
4:28.0,,,59-64,,Defensive rebound by J. Holiday
4:18.0,,,59-64,,Turnover by T. Evans (bad pass; steal by J. Evans)
4:14.0,D. Harris makes 2-pt shot from 2 ft (assist by C. Parsons),2,61-64,,
4:05.0,,,61-64,,Turnover by J. Holiday (lost ball; steal by D. Powell)
3:59.0,Shooting foul by A. Davis (drawn by J. Evans),,61-64,,
3:59.0,,,61-64,,Technical foul by J. Holiday
3:59.0,R. Felton makes technical free throw,1,62-64,,
3:59.0,J. Evans makes free throw 1 of 2,1,63-64,,
3:59.0,J. Anderson enters the game for C. Parsons,,63-64,,
3:59.0,,,63-64,,D. Cunningham enters the game for R. Anderson
3:59.0,J. Evans makes free throw 2 of 2,1,64-64,,
3:47.0,,,64-64,,J. Holiday misses 2-pt shot from 1 ft
3:46.0,,,64-64,,Offensive rebound by A. Davis
3:46.0,,,64-64,,A. Davis misses 2-pt shot at rim
3:44.0,Defensive rebound by D. Harris,,64-64,,
3:43.0,Turnover by D. Harris (lost ball),,64-64,,
3:35.0,Personal foul by R. Felton (drawn by T. Evans),,64-64,,
3:26.0,,,64-66,2,N. Cole makes 2-pt shot from 1 ft (assist by A. Davis)
3:26.0,Dallas full timeout,,64-66,,
3:26.0,,,64-66,,R. Anderson enters the game for D. Cunningham
3:03.0,D. Harris misses 2-pt shot from 21 ft,,64-66,,
3:03.0,Offensive rebound by J. Evans,,64-66,,
2:42.0,R. Felton misses 3-pt shot from 24 ft,,64-66,,
2:40.0,Offensive rebound by D. Powell,,64-66,,
2:34.0,J. Evans misses 2-pt shot from 2 ft (block by A. Davis),,64-66,,
2:32.0,,,64-66,,Defensive rebound by A. Davis
2:22.0,,,64-66,,R. Anderson misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by J. Anderson,,64-66,,
2:09.0,J. Evans makes 2-pt shot at rim (assist by J. Anderson),2,66-66,,
1:59.0,Personal foul by D. Harris (drawn by A. Davis),,66-66,,
1:51.0,,,66-66,,A. Davis misses 2-pt shot from 2 ft
1:51.0,,,66-66,,Offensive rebound by Team
1:34.0,,,66-66,,T. Evans misses 2-pt shot from 2 ft
1:33.0,Defensive rebound by D. Powell,,66-66,,
1:24.0,D. Powell misses 2-pt shot from 21 ft,,66-66,,
1:23.0,,,66-66,,Defensive rebound by T. Evans
1:13.0,,,66-66,,Turnover by A. Davis (bad pass; steal by R. Felton)
1:03.0,J. Anderson makes 3-pt shot from 23 ft (assist by R. Felton),3,69-66,,
0:49.0,,,69-66,,A. Davis misses 2-pt shot from 10 ft (block by D. Powell)
0:47.0,Defensive rebound by Team,,69-66,,
0:35.0,R. Felton makes 2-pt shot from 2 ft (assist by J. Evans),2,71-66,,
0:24.0,Personal foul by R. Felton (drawn by R. Anderson),,71-66,,
0:24.0,,,71-67,1,R. Anderson makes free throw 1 of 2
0:24.0,,,71-68,1,R. Anderson makes free throw 2 of 2
0:00.0,R. Felton misses 3-pt shot from 24 ft,,71-68,,
0:00.0,Offensive rebound by Team,,71-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,71-68,,R. Anderson misses 2-pt shot from 8 ft (block by D. Powell)
11:44.0,Defensive rebound by J. Anderson,,71-68,,
11:28.0,J. Anderson makes 2-pt shot from 20 ft,2,73-68,,
11:10.0,,,73-68,,E. Gordon misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by J. Evans,,73-68,,
10:46.0,J. Barea misses 3-pt shot from 25 ft,,73-68,,
10:45.0,Offensive rebound by D. Powell,,73-68,,
10:29.0,,,73-68,,Personal foul by N. Cole (drawn by J. Evans)
10:29.0,,,73-68,,D. Cunningham enters the game for J. Holiday
10:19.0,,,73-68,,Personal foul by N. Cole (drawn by J. Evans)
10:12.0,D. Powell makes 2-pt shot at rim (assist by D. Harris),2,75-68,,
9:58.0,,,75-68,,Shooting foul by D. Harris (drawn by R. Anderson)
9:58.0,,,75-69,1,R. Anderson makes free throw 1 of 2
9:58.0,,,75-69,,A. Davis enters the game for T. Evans
9:58.0,,,75-70,1,R. Anderson makes free throw 2 of 2
9:35.0,D. Powell misses 2-pt shot from 14 ft (block by A. Davis),,75-70,,
9:33.0,,,75-70,,Defensive rebound by N. Cole
9:26.0,,,75-70,,R. Anderson misses 3-pt shot from 25 ft
