time,Oklahoma City,pts.away,score,pts.home,Detroit
10:56.0,D. Waiters makes 2-pt shot from 18 ft (assist by S. Adams),2,59-71,,
10:30.0,,,59-71,,S. Blake misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by E. Kanter,,59-71,,
10:15.0,C. Payne misses 3-pt shot from 24 ft,,59-71,,
10:15.0,Offensive rebound by E. Kanter,,59-71,,
10:06.0,S. Adams misses 2-pt shot from 4 ft,,59-71,,
10:06.0,Offensive rebound by E. Kanter,,59-71,,
10:06.0,Shooting foul by T. Harris (drawn by E. Kanter),,59-71,,
10:06.0,,,59-71,,Technical foul by T. Harris
10:06.0,R. Foye misses technical free throw,,59-71,,
10:06.0,Offensive rebound by Team,,59-71,,
10:06.0,,,59-71,,A. Tolliver enters the game for D. Hilliard
10:06.0,E. Kanter misses free throw 1 of 2,,59-71,,
10:06.0,Offensive rebound by Team,,59-71,,
10:06.0,E. Kanter makes free throw 2 of 2,1,60-71,,
9:47.0,,,60-71,,S. Blake misses 2-pt shot at rim
9:45.0,Defensive rebound by E. Kanter,,60-71,,
9:38.0,D. Waiters misses 2-pt shot from 16 ft,,60-71,,
9:38.0,,,60-71,,Defensive rebound by S. Blake
9:32.0,Personal foul by S. Adams,,60-71,,
9:21.0,,,60-71,,S. Johnson misses 2-pt shot from 19 ft
9:21.0,,,60-71,,Offensive rebound by A. Baynes
9:16.0,,,60-71,,A. Baynes misses 2-pt shot from 3 ft
9:16.0,,,60-71,,Offensive rebound by A. Baynes
9:12.0,,,60-71,,A. Baynes misses 2-pt shot from 6 ft (block by S. Adams)
9:11.0,Defensive rebound by R. Foye,,60-71,,
9:04.0,C. Payne misses 2-pt shot from 7 ft,,60-71,,
9:04.0,Offensive rebound by E. Kanter,,60-71,,
9:00.0,E. Kanter misses 2-pt shot from 3 ft,,60-71,,
8:59.0,,,60-71,,Defensive rebound by A. Baynes
8:50.0,,,60-71,,A. Baynes misses 2-pt shot from 13 ft
8:49.0,Defensive rebound by D. Waiters,,60-71,,
8:34.0,R. Foye makes 3-pt shot from 23 ft (assist by D. Waiters),3,63-71,,
