time,Houston,pts.away,score,pts.home,Phoenix
7:24.0,J. Harden makes free throw 2 of 2,1,74-49,,
7:06.0,,,74-51,2,M. Teletovic makes 2-pt shot at rim (assist by P. Tucker)
6:51.0,Shooting foul by M. Teletovic (drawn by D. Howard),,74-51,,
6:51.0,D. Howard misses free throw 1 of 2,,74-51,,
6:51.0,Offensive rebound by Team,,74-51,,
6:51.0,T. Lawson enters the game for P. Beverley,,74-51,,
6:51.0,D. Howard misses free throw 2 of 2,,74-51,,
6:50.0,,,74-51,,Defensive rebound by A. Goodwin
6:41.0,Personal foul by T. Ariza,,74-51,,
6:41.0,C. Capela enters the game for D. Howard,,74-51,,
6:41.0,K. McDaniels enters the game for T. Ariza,,74-51,,
6:34.0,Personal foul by C. Brewer,,74-51,,
6:34.0,,,74-52,1,M. Teletovic makes free throw 1 of 2
6:34.0,,,74-53,1,M. Teletovic makes free throw 2 of 2
6:17.0,K. McDaniels misses 2-pt shot from 17 ft,,74-53,,
6:15.0,,,74-53,,Defensive rebound by M. Teletovic
6:06.0,Def 3 sec tech foul by J. Harden,,74-53,,
6:06.0,,,74-54,1,M. Teletovic makes technical free throw
6:00.0,,,74-54,,A. Goodwin misses 2-pt shot from 3 ft (block by C. Capela)
5:58.0,Defensive rebound by T. Lawson,,74-54,,
5:56.0,Shooting foul by R. Price (drawn by T. Lawson),,74-54,,
5:56.0,T. Lawson misses free throw 1 of 2,,74-54,,
5:56.0,Offensive rebound by Team,,74-54,,
5:56.0,,,74-54,,J. McRae enters the game for R. Price
5:56.0,T. Lawson makes free throw 2 of 2,1,75-54,,
5:53.0,,,75-54,,Technical foul by R. Price
5:53.0,J. Harden misses technical free throw,,75-54,,
5:53.0,,,75-54,,Offensive rebound by Team
5:33.0,,,75-54,,Turnover by P. Tucker (lost ball; steal by J. Harden)
5:27.0,J. Harden misses 3-pt shot from 25 ft,,75-54,,
5:24.0,Offensive rebound by C. Brewer,,75-54,,
5:16.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,77-54,,
4:59.0,,,77-54,,J. McRae misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by C. Capela,,77-54,,
4:46.0,Turnover by J. Harden (lost ball; steal by P. Tucker),,77-54,,
4:41.0,,,77-56,2,A. Goodwin makes 2-pt shot from 1 ft (assist by P. Tucker)
4:23.0,,,77-56,,Personal foul by J. McRae
4:23.0,C. Capela makes free throw 1 of 2,1,78-56,,
4:23.0,,,78-56,,K. Humphries enters the game for M. Teletovic
4:23.0,,,78-56,,J. Leuer enters the game for P. Tucker
4:23.0,J. Terry enters the game for J. Harden,,78-56,,
4:23.0,C. Capela misses free throw 2 of 2,,78-56,,
4:23.0,,,78-56,,Defensive rebound by Team
4:23.0,Loose ball foul by K. McDaniels,,78-56,,
4:23.0,,,78-57,1,K. Humphries makes free throw 1 of 2
4:23.0,Violation by C. Capela (lane),,78-57,,
4:23.0,,,78-58,1,K. Humphries makes free throw 2 of 2
4:05.0,T. Lawson misses 2-pt shot from 19 ft,,78-58,,
4:03.0,,,78-58,,Defensive rebound by J. McRae
3:51.0,,,78-60,2,A. Goodwin makes 2-pt shot from 1 ft (assist by J. McRae)
3:41.0,Turnover by J. Terry (lost ball; steal by J. McRae),,78-60,,
3:40.0,,,78-62,2,J. McRae makes 2-pt shot at rim
3:40.0,Houston full timeout,,78-62,,
3:40.0,D. Howard enters the game for C. Capela,,78-62,,
3:40.0,J. Smith enters the game for C. Brewer,,78-62,,
3:18.0,J. Smith misses 3-pt shot from 24 ft,,78-62,,
3:15.0,,,78-62,,Defensive rebound by J. Leuer
2:58.0,,,78-62,,J. Leuer misses 2-pt shot from 15 ft
2:56.0,Defensive rebound by K. McDaniels,,78-62,,
2:49.0,,,78-62,,Personal foul by J. McRae
2:49.0,J. Smith misses free throw 1 of 2,,78-62,,
2:49.0,Offensive rebound by Team,,78-62,,
2:49.0,J. Smith makes free throw 2 of 2,1,79-62,,
2:37.0,,,79-62,,Shooting foul by J. Terry (drawn by J. McRae)
2:37.0,,,79-63,1,J. McRae makes free throw 1 of 2
2:37.0,,,79-64,1,J. McRae makes free throw 2 of 2
2:17.0,Turnover by D. Howard (discontinued dribble),,79-64,,
2:01.0,,,79-64,,Turnover by A. Goodwin (lost ball)
1:52.0,Offensive foul by D. Howard,,79-64,,
1:52.0,Turnover by D. Howard (offensive foul),,79-64,,
1:36.0,,,79-64,,J. Leuer misses 2-pt shot from 5 ft
1:33.0,Defensive rebound by T. Lawson,,79-64,,
1:28.0,K. McDaniels makes 2-pt shot at rim (assist by T. Lawson),2,81-64,,
1:14.0,,,81-64,,A. Goodwin misses 3-pt shot from 22 ft
1:14.0,,,81-64,,Offensive rebound by Team
1:14.0,Personal foul by J. Smith,,81-64,,
1:14.0,,,81-64,,J. Leuer misses free throw 1 of 2
1:14.0,,,81-64,,Offensive rebound by Team
1:14.0,C. Capela enters the game for D. Howard,,81-64,,
1:14.0,,,81-64,,D. Booker enters the game for A. Goodwin
1:14.0,,,81-65,1,J. Leuer makes free throw 2 of 2
1:05.0,Turnover by J. Smith (lost ball; steal by D. Booker),,81-65,,
0:57.0,,,81-65,,S. Weems misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by J. Smith,,81-65,,
0:42.0,J. Terry misses 3-pt shot from 23 ft,,81-65,,
0:40.0,,,81-65,,Defensive rebound by Team
0:40.0,M. Harrell enters the game for J. Smith,,81-65,,
0:29.0,,,81-65,,K. Humphries misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by T. Lawson,,81-65,,
0:05.0,Turnover by T. Lawson (lost ball; steal by K. Humphries),,81-65,,
0:02.0,,,81-65,,D. Booker misses 2-pt shot from 1 ft (block by K. McDaniels)
0:01.0,Defensive rebound by J. Terry,,81-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Personal foul by P. Beverley,,81-65,,
11:34.0,Violation by T. Ariza (kicked ball),,81-65,,
11:27.0,,,81-65,,M. Teletovic misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by J. Harden,,81-65,,
11:21.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,84-65,,
11:08.0,,,84-68,3,D. Booker makes 3-pt shot from 25 ft (assist by M. Teletovic)
10:54.0,M. Harrell misses 2-pt shot from 5 ft (block by K. Humphries),,84-68,,
10:54.0,Offensive rebound by Team,,84-68,,
10:38.0,J. Harden makes 2-pt shot from 20 ft,2,86-68,,
10:28.0,,,86-68,,M. Teletovic misses 2-pt shot from 6 ft
10:25.0,,,86-68,,Offensive rebound by K. Humphries
