time,Chicago,pts.away,score,pts.home,Utah
3:13.0,,,62-61,,Utah full timeout
3:13.0,A. Brooks enters the game for T. Gibson,,62-61,,
3:13.0,B. Portis enters the game for J. Butler,,62-61,,
3:08.0,Personal foul by A. Brooks (drawn by T. Burke),,62-61,,
3:01.0,,,62-61,,T. Burke misses 2-pt shot from 19 ft
3:01.0,Defensive rebound by P. Gasol,,62-61,,
2:48.0,B. Portis makes 2-pt shot from 12 ft (assist by A. Brooks),2,64-61,,
2:38.0,Personal foul by D. McDermott (drawn by R. Gobert),,64-61,,
2:29.0,,,64-63,2,J. Ingles makes 2-pt shot from 2 ft (assist by R. Gobert)
2:11.0,A. Brooks makes 2-pt shot from 4 ft,2,66-63,,
1:53.0,,,66-63,,C. Johnson misses 2-pt shot from 1 ft
1:52.0,,,66-63,,Offensive rebound by R. Gobert
1:52.0,,,66-65,2,R. Gobert makes 2-pt shot from 1 ft
1:41.0,A. Brooks misses 3-pt shot from 24 ft,,66-65,,
1:40.0,,,66-65,,Defensive rebound by C. Johnson
1:25.0,,,66-67,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
1:04.0,Turnover by K. Hinrich (bad pass; steal by J. Ingles),,66-67,,
1:01.0,,,66-67,,Turnover by J. Ingles (traveling)
1:01.0,,,66-67,,G. Hayward enters the game for C. Johnson
1:01.0,J. Butler enters the game for D. McDermott,,66-67,,
1:01.0,,,66-67,,D. Favors enters the game for R. Gobert
0:43.0,P. Gasol makes 2-pt shot from 2 ft,2,68-67,,
0:33.0,,,68-67,,Offensive charge foul by D. Favors
0:33.0,,,68-67,,Turnover by D. Favors (offensive foul)
0:22.0,Turnover by J. Butler (lost ball),,68-67,,
0:22.0,T. Gibson enters the game for P. Gasol,,68-67,,
0:22.0,T. Snell enters the game for A. Brooks,,68-67,,
0:02.0,,,68-67,,G. Hayward misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by Team,,68-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Portis makes 2-pt shot at rim (assist by J. Butler),2,70-67,,
11:24.0,,,70-67,,T. Burke misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by J. Butler,,70-67,,
11:18.0,Offensive foul by J. Butler,,70-67,,
11:18.0,Turnover by J. Butler (offensive foul),,70-67,,
11:18.0,,,70-67,,C. Johnson enters the game for J. Ingles
11:06.0,Personal foul by K. Hinrich (drawn by D. Favors),,70-67,,
10:51.0,,,70-67,,R. Hood misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by T. Gibson,,70-67,,
10:44.0,K. Hinrich makes 2-pt shot from 2 ft,2,72-67,,
10:24.0,,,72-67,,Shooting foul by K. Hinrich (drawn by D. Favors)
10:24.0,,,72-68,1,D. Favors makes free throw 1 of 2
10:24.0,,,72-68,,T. Lyles enters the game for T. Booker
10:24.0,,,72-68,,R. Neto enters the game for T. Burke
10:24.0,,,72-69,1,D. Favors makes free throw 2 of 2
10:01.0,B. Portis misses 2-pt shot from 7 ft,,72-69,,
10:01.0,,,72-69,,Defensive rebound by D. Favors
9:40.0,,,72-69,,D. Favors misses 2-pt shot from 3 ft (block by T. Gibson)
9:39.0,Defensive rebound by K. Hinrich,,72-69,,
9:38.0,,,72-69,,Personal foul by D. Favors (drawn by K. Hinrich)
9:38.0,D. Rose enters the game for K. Hinrich,,72-69,,
9:38.0,,,72-69,,R. Gobert enters the game for D. Favors
9:38.0,D. McDermott enters the game for T. Snell,,72-69,,
9:22.0,J. Butler misses 2-pt shot from 13 ft,,72-69,,
9:21.0,,,72-69,,Defensive rebound by R. Hood
9:15.0,,,72-71,2,R. Hood makes 2-pt shot from 7 ft
9:15.0,,,72-71,,Shooting foul by D. Rose (drawn by R. Hood)
9:15.0,,,72-71,,G. Hayward enters the game for C. Johnson
9:15.0,,,72-72,1,R. Hood makes free throw 1 of 1
8:56.0,J. Butler misses 3-pt shot from 24 ft,,72-72,,
8:54.0,Offensive rebound by Team,,72-72,,
8:54.0,Chicago full timeout,,72-72,,
8:45.0,J. Butler makes 2-pt shot from 15 ft,2,74-72,,
8:23.0,,,74-72,,R. Hood misses 2-pt shot from 14 ft
8:22.0,Defensive rebound by B. Portis,,74-72,,
8:05.0,D. Rose misses 2-pt shot from 2 ft,,74-72,,
8:05.0,Offensive rebound by Team,,74-72,,
7:59.0,J. Butler misses 2-pt shot from 22 ft,,74-72,,
7:59.0,,,74-72,,Defensive rebound by R. Neto
7:47.0,,,74-74,2,R. Neto makes 2-pt shot from 2 ft
7:27.0,J. Butler makes 2-pt shot from 19 ft,2,76-74,,
7:02.0,,,76-77,3,R. Neto makes 3-pt shot from 23 ft
6:50.0,D. Rose misses 2-pt shot from 7 ft,,76-77,,
6:50.0,,,76-77,,Defensive rebound by T. Lyles
6:37.0,Def 3 sec tech foul by T. Gibson,,76-77,,
6:37.0,,,76-77,,G. Hayward misses technical free throw
6:37.0,,,76-77,,Offensive rebound by Team
6:37.0,,,76-77,,D. Favors enters the game for T. Lyles
6:37.0,P. Gasol enters the game for B. Portis,,76-77,,
6:24.0,,,76-79,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
6:24.0,Chicago full timeout,,76-79,,
6:02.0,J. Butler makes 3-pt shot from 23 ft,3,79-79,,
5:43.0,Personal foul by D. McDermott (drawn by R. Gobert),,79-79,,
5:43.0,E. Moore enters the game for D. McDermott,,79-79,,
5:30.0,,,79-81,2,G. Hayward makes 2-pt shot from 11 ft
5:11.0,,,79-81,,Def 3 sec tech foul by D. Favors
5:11.0,J. Butler makes technical free throw,1,80-81,,
5:00.0,J. Butler makes 2-pt shot from 15 ft,2,82-81,,
4:37.0,,,82-81,,R. Hood misses 2-pt shot from 13 ft (block by E. Moore)
4:34.0,Defensive rebound by T. Gibson,,82-81,,
4:21.0,D. Rose makes 2-pt shot from 2 ft,2,84-81,,
4:02.0,,,84-81,,R. Gobert misses 2-pt shot from 2 ft
4:02.0,,,84-81,,Offensive rebound by G. Hayward
3:58.0,,,84-84,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
3:39.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,86-84,,
3:19.0,,,86-84,,R. Neto misses 2-pt shot from 6 ft
3:15.0,,,86-84,,Offensive rebound by G. Hayward
3:15.0,,,86-86,2,G. Hayward makes 2-pt shot from 1 ft
2:57.0,,,86-86,,Personal foul by R. Neto (drawn by P. Gasol)
2:57.0,,,86-86,,Utah full timeout
2:49.0,D. Rose misses 2-pt shot from 7 ft,,86-86,,
2:47.0,Offensive rebound by T. Gibson,,86-86,,
2:47.0,T. Gibson misses 2-pt shot from 2 ft,,86-86,,
2:47.0,,,86-86,,Defensive rebound by D. Favors
2:23.0,,,86-86,,G. Hayward misses 2-pt shot from 21 ft (block by T. Gibson)
2:22.0,,,86-86,,Offensive rebound by Team
2:22.0,,,86-86,,Turnover by Team (shot clock)
2:12.0,J. Butler makes 2-pt shot from 14 ft (assist by D. Rose),2,88-86,,
1:52.0,Personal foul by P. Gasol (drawn by R. Gobert),,88-86,,
1:52.0,,,88-87,1,R. Gobert makes free throw 1 of 2
1:52.0,,,88-87,,J. Ingles enters the game for R. Neto
1:52.0,,,88-88,1,R. Gobert makes free throw 2 of 2
1:40.0,,,88-88,,Personal foul by R. Hood (drawn by J. Butler)
1:29.0,E. Moore makes 2-pt shot from 16 ft,2,90-88,,
1:17.0,,,90-88,,G. Hayward misses 3-pt shot from 24 ft
1:16.0,,,90-88,,Offensive rebound by Team
