time,Orlando,pts.away,score,pts.home,Sacramento
6:53.0,V. Oladipo makes 2-pt shot at rim (assist by B. Jennings),2,95-81,,
6:41.0,,,95-81,,R. Gay misses 2-pt shot from 5 ft (block by E. Ilyasova)
6:40.0,Defensive rebound by B. Jennings,,95-81,,
6:36.0,M. Hezonja misses 2-pt shot at rim,,95-81,,
6:36.0,,,95-81,,Defensive rebound by Team
6:27.0,,,95-81,,Shooting foul by E. Ilyasova (drawn by K. Koufos)
6:27.0,,,95-82,1,K. Koufos makes free throw 1 of 2
6:27.0,A. Gordon enters the game for E. Ilyasova,,95-82,,
6:27.0,,,95-83,1,K. Koufos makes free throw 2 of 2
6:05.0,M. Hezonja misses 2-pt shot from 20 ft,,95-83,,
6:04.0,,,95-83,,Defensive rebound by R. Rondo
6:01.0,Personal foul by M. Hezonja,,95-83,,
6:01.0,C. Watson enters the game for B. Jennings,,95-83,,
5:50.0,,,95-85,2,K. Koufos makes 2-pt shot from 2 ft (assist by R. Rondo)
5:31.0,Shooting foul by D. Collison (drawn by C. Watson),,95-85,,
5:31.0,C. Watson makes free throw 1 of 2,1,96-85,,
5:31.0,E. Fournier enters the game for M. Hezonja,,96-85,,
5:31.0,C. Watson makes free throw 2 of 2,1,97-85,,
5:22.0,Personal foul by A. Gordon,,97-85,,
5:09.0,,,97-85,,R. Gay misses 2-pt shot from 12 ft
5:08.0,,,97-85,,Offensive rebound by K. Koufos
5:08.0,,,97-85,,K. Koufos misses 2-pt shot from 4 ft
5:06.0,,,97-85,,Offensive rebound by D. Collison
