time,Chicago,pts.away,score,pts.home,Toronto
5:39.0,J. Butler makes 2-pt shot from 1 ft (assist by N. Mirotic),2,93-103,,
5:19.0,,,93-103,,K. Lowry misses 2-pt shot from 20 ft
5:18.0,Defensive rebound by T. Gibson,,93-103,,
5:08.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,96-103,,
4:55.0,A. Brooks enters the game for D. McDermott,,96-103,,
4:55.0,P. Gasol enters the game for T. Gibson,,96-103,,
4:47.0,,,96-103,,P. Patterson misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by P. Gasol,,96-103,,
4:34.0,J. Butler makes 2-pt shot from 13 ft,2,98-103,,
4:12.0,,,98-103,,C. Joseph misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by P. Gasol,,98-103,,
3:55.0,N. Mirotic misses 3-pt shot from 23 ft,,98-103,,
3:55.0,,,98-103,,Defensive rebound by K. Lowry
3:48.0,,,98-103,,L. Scola misses 2-pt shot from 3 ft (block by P. Gasol)
3:46.0,,,98-103,,Offensive rebound by L. Scola
3:43.0,,,98-105,2,L. Scola makes 2-pt shot from 1 ft
3:31.0,P. Gasol makes 2-pt shot from 13 ft (assist by J. Butler),2,100-105,,
3:12.0,Personal foul by A. Brooks (drawn by C. Joseph),,100-105,,
3:12.0,,,100-105,,D. Carroll enters the game for P. Patterson
3:12.0,,,100-105,,Toronto full timeout
3:12.0,,,100-105,,J. Valanciunas enters the game for L. Scola
2:58.0,,,100-105,,K. Lowry misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by N. Mirotic,,100-105,,
2:38.0,J. Butler makes 3-pt shot from 24 ft,3,103-105,,
2:19.0,,,103-105,,Shooting foul by J. Butler (drawn by D. DeRozan)
2:19.0,,,103-106,1,D. DeRozan makes free throw 1 of 2
2:19.0,,,103-107,1,D. DeRozan makes free throw 2 of 2
2:06.0,,,103-107,,Personal foul by D. DeRozan (drawn by N. Mirotic)
2:06.0,N. Mirotic makes free throw 1 of 2,1,104-107,,
2:06.0,N. Mirotic makes free throw 2 of 2,1,105-107,,
1:54.0,Personal foul by J. Butler (drawn by J. Valanciunas),,105-107,,
1:54.0,,,105-108,1,J. Valanciunas makes free throw 1 of 2
1:54.0,,,105-109,1,J. Valanciunas makes free throw 2 of 2
1:42.0,J. Butler makes 2-pt shot from 6 ft,2,107-109,,
1:20.0,,,107-109,,K. Lowry misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by J. Butler,,107-109,,
0:59.0,J. Butler misses 2-pt shot from 20 ft,,107-109,,
0:58.0,Offensive rebound by E. Moore,,107-109,,
