time,Washington,pts.away,score,pts.home,Brooklyn
0:01.0,Defensive rebound by J. Eddie,,79-77,,
0:00.0,J. Eddie misses 3-pt shot from 71 ft,,79-77,,
0:00.0,Offensive rebound by Team,,79-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,79-77,,A. Bargnani misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by K. Humphries,,79-77,,
11:30.0,Shooting foul by S. Larkin (drawn by R. Sessions),,79-77,,
11:30.0,R. Sessions misses free throw 1 of 2,,79-77,,
11:30.0,Offensive rebound by Team,,79-77,,
11:30.0,R. Sessions misses free throw 2 of 2,,79-77,,
11:29.0,,,79-77,,Defensive rebound by T. Young
11:08.0,,,79-77,,Turnover by T. Young (lost ball; steal by K. Humphries)
11:01.0,O. Porter misses 2-pt shot from 2 ft (block by T. Young),,79-77,,
10:59.0,,,79-77,,Defensive rebound by S. Larkin
10:55.0,,,79-77,,B. Bogdanovic misses 3-pt shot from 25 ft
10:54.0,,,79-77,,Offensive rebound by A. Bargnani
10:51.0,,,79-77,,Turnover by Team (back court)
10:51.0,,,79-77,,J. Johnson enters the game for T. Young
10:51.0,,,79-77,,B. Lopez enters the game for A. Bargnani
10:51.0,,,79-77,,J. Jack enters the game for B. Bogdanovic
10:39.0,J. Eddie makes 3-pt shot from 24 ft (assist by R. Sessions),3,82-77,,
10:19.0,,,82-77,,J. Johnson misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by K. Humphries,,82-77,,
10:01.0,,,82-77,,Personal foul by J. Jack (drawn by O. Porter)
10:01.0,O. Porter makes free throw 1 of 2,1,83-77,,
10:01.0,M. Gortat enters the game for K. Humphries,,83-77,,
10:01.0,O. Porter makes free throw 2 of 2,1,84-77,,
9:43.0,,,84-77,,Turnover by W. Ellington (bad pass; steal by G. Temple)
9:39.0,G. Temple makes 2-pt shot from 1 ft,2,86-77,,
9:38.0,,,86-77,,Brooklyn full timeout
9:22.0,,,86-77,,Shooting foul by O. Porter (drawn by J. Johnson)
9:22.0,,,86-77,,J. Johnson misses free throw 1 of 2
9:22.0,,,86-77,,Offensive rebound by Team
9:22.0,,,86-78,1,J. Johnson makes free throw 2 of 2
8:59.0,G. Temple misses 2-pt shot from 16 ft,,86-78,,
8:58.0,,,86-78,,Defensive rebound by S. Larkin
8:47.0,,,86-80,2,B. Lopez makes 2-pt shot from 10 ft (assist by S. Larkin)
8:29.0,J. Eddie makes 3-pt shot from 23 ft (assist by M. Gortat),3,89-80,,
8:13.0,J. Wall enters the game for G. Temple,,89-80,,
8:08.0,,,89-82,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Jack)
7:53.0,M. Gortat misses 2-pt shot from 1 ft (block by B. Lopez),,89-82,,
7:52.0,Offensive rebound by J. Eddie,,89-82,,
7:48.0,J. Eddie misses 2-pt shot from 4 ft,,89-82,,
7:47.0,Offensive rebound by M. Gortat,,89-82,,
7:34.0,O. Porter misses 2-pt shot from 8 ft,,89-82,,
7:33.0,,,89-82,,Defensive rebound by J. Johnson
7:20.0,,,89-82,,B. Lopez misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by R. Sessions,,89-82,,
7:16.0,,,89-82,,Personal foul by J. Jack (drawn by J. Wall)
7:16.0,,,89-82,,T. Young enters the game for W. Ellington
7:08.0,Turnover by R. Sessions (lost ball; steal by S. Larkin),,89-82,,
7:04.0,,,89-84,2,S. Larkin makes 2-pt shot from 1 ft
6:50.0,Shooting foul by T. Young (drawn by M. Gortat),,89-84,,
6:50.0,M. Gortat makes free throw 1 of 2,1,90-84,,
6:50.0,M. Gortat makes free throw 2 of 2,1,91-84,,
6:41.0,,,91-84,,Turnover by J. Jack (bad pass; steal by O. Porter)
6:29.0,R. Sessions misses 3-pt shot from 23 ft,,91-84,,
6:29.0,,,91-84,,Defensive rebound by J. Jack
6:17.0,,,91-84,,J. Jack misses 2-pt shot from 7 ft
6:16.0,Defensive rebound by O. Porter,,91-84,,
6:08.0,R. Sessions makes 2-pt shot from 2 ft (assist by J. Eddie),2,93-84,,
6:08.0,,,93-84,,Brooklyn full timeout
6:08.0,J. Dudley enters the game for O. Porter,,93-84,,
6:08.0,,,93-84,,B. Bogdanovic enters the game for J. Johnson
5:57.0,,,93-84,,Turnover by B. Bogdanovic (bad pass; steal by J. Wall)
