time,Detroit,pts.away,score,pts.home,Atlanta
11:06.0,,,67-82,,Shooting foul by S. Blake (drawn by D. Schroder)
11:06.0,Violation by Team (delay of game),,67-82,,
11:06.0,,,67-83,1,D. Schroder makes free throw 1 of 2
11:06.0,,,67-83,,D. Schroder misses free throw 2 of 2
11:04.0,Defensive rebound by A. Drummond,,67-83,,
10:48.0,Turnover by A. Drummond (traveling),,67-83,,
10:39.0,,,67-86,3,A. Horford makes 3-pt shot from 24 ft (assist by K. Korver)
10:21.0,S. Johnson makes 3-pt shot from 24 ft (assist by A. Tolliver),3,70-86,,
10:13.0,,,70-86,,D. Schroder misses 2-pt shot at rim (block by A. Drummond)
10:13.0,,,70-86,,Offensive rebound by Team
10:13.0,R. Jackson enters the game for S. Blake,,70-86,,
10:09.0,,,70-86,,M. Scott misses 2-pt shot from 1 ft (block by A. Tolliver)
10:08.0,Defensive rebound by S. Johnson,,70-86,,
10:04.0,S. Johnson misses 2-pt shot from 1 ft,,70-86,,
10:03.0,Offensive rebound by A. Drummond,,70-86,,
10:03.0,A. Drummond makes 2-pt shot at rim,2,72-86,,
9:41.0,,,72-88,2,A. Horford makes 2-pt shot from 17 ft (assist by M. Scott)
9:30.0,R. Jackson misses 2-pt shot from 13 ft,,72-88,,
9:29.0,,,72-88,,Defensive rebound by L. Patterson
9:18.0,,,72-90,2,D. Schroder makes 2-pt shot from 1 ft
8:59.0,R. Jackson misses 2-pt shot at rim,,72-90,,
8:57.0,Offensive rebound by A. Drummond,,72-90,,
8:57.0,A. Drummond makes 2-pt shot at rim,2,74-90,,
8:50.0,,,74-90,,Turnover by D. Schroder (bad pass)
8:50.0,Official timeout,,74-90,,
8:50.0,,,74-90,,Inbound foul by M. Scott
8:50.0,A. Drummond misses free throw 1 of 2,,74-90,,
