time,Toronto,pts.away,score,pts.home,Memphis
6:05.0,Personal foul by K. Lowry,,57-60,,
5:56.0,,,57-60,,Turnover by Z. Randolph (lost ball; steal by J. Valanciunas)
5:56.0,,,57-60,,Personal foul by Z. Randolph
5:56.0,,,57-60,,Memphis full timeout
5:56.0,J. Valanciunas makes free throw 1 of 2,1,58-60,,
5:56.0,J. Valanciunas makes free throw 2 of 2,1,59-60,,
5:34.0,,,59-60,,J. Farmar misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by J. Valanciunas,,59-60,,
5:17.0,N. Powell makes 2-pt shot from 1 ft,2,61-60,,
5:03.0,,,61-60,,Turnover by T. Allen (lost ball; steal by N. Powell)
4:44.0,Shooting foul by Z. Randolph (drawn by J. Valanciunas),,61-60,,
4:44.0,J. Valanciunas makes free throw 1 of 2,1,62-60,,
4:44.0,,,62-60,,J. Green enters the game for J. Farmar
4:44.0,,,62-60,,X. Munford enters the game for C. Andersen
4:44.0,,,62-60,,L. Stephenson enters the game for T. Allen
4:44.0,J. Valanciunas misses free throw 2 of 2,,62-60,,
4:43.0,,,62-60,,Defensive rebound by M. Barnes
4:33.0,,,62-62,2,X. Munford makes 2-pt shot from 20 ft
4:05.0,J. Valanciunas misses 2-pt shot at rim (block by L. Stephenson),,62-62,,
4:03.0,,,62-62,,Defensive rebound by L. Stephenson
3:55.0,,,62-64,2,J. Green makes 2-pt shot from 20 ft (assist by L. Stephenson)
3:38.0,D. DeRozan misses 2-pt shot from 9 ft,,62-64,,
3:36.0,,,62-64,,Defensive rebound by J. Green
3:32.0,,,62-64,,M. Barnes misses 3-pt shot from 24 ft
3:30.0,,,62-64,,Offensive rebound by J. Green
3:29.0,,,62-64,,J. Green misses 2-pt shot from 1 ft (block by K. Lowry)
3:29.0,,,62-64,,Offensive rebound by Team
3:15.0,,,62-64,,Turnover by L. Stephenson (traveling)
3:15.0,Toronto full timeout,,62-64,,
3:15.0,C. Joseph enters the game for J. Thompson,,62-64,,
3:15.0,P. Patterson enters the game for K. Lowry,,62-64,,
2:53.0,N. Powell makes 2-pt shot at rim,2,64-64,,
2:36.0,,,64-64,,Turnover by X. Munford (lost ball; steal by P. Patterson)
2:32.0,,,64-64,,Personal foul by L. Stephenson
2:32.0,N. Powell makes free throw 1 of 2,1,65-64,,
2:32.0,N. Powell makes free throw 2 of 2,1,66-64,,
2:16.0,,,66-64,,L. Stephenson misses 2-pt shot from 6 ft
2:14.0,,,66-64,,Offensive rebound by J. Green
2:09.0,,,66-64,,L. Stephenson misses 2-pt shot from 1 ft (block by J. Valanciunas)
2:07.0,Defensive rebound by J. Valanciunas,,66-64,,
2:03.0,Shooting foul by M. Barnes (drawn by N. Powell),,66-64,,
2:03.0,N. Powell makes free throw 1 of 2,1,67-64,,
2:03.0,,,67-64,,V. Carter enters the game for M. Barnes
2:03.0,,,67-64,,J. Martin enters the game for Z. Randolph
2:03.0,B. Biyombo enters the game for J. Valanciunas,,67-64,,
2:03.0,N. Powell makes free throw 2 of 2,1,68-64,,
1:51.0,,,68-67,3,V. Carter makes 3-pt shot from 25 ft
1:32.0,D. DeRozan makes 2-pt shot from 1 ft,2,70-67,,
1:17.0,,,70-67,,Shooting foul by B. Biyombo (drawn by J. Martin)
1:17.0,,,70-67,,J. Martin misses free throw 1 of 2
1:17.0,,,70-67,,Offensive rebound by Team
1:17.0,,,70-68,1,J. Martin makes free throw 2 of 2
1:03.0,D. DeRozan makes 2-pt shot from 18 ft (assist by P. Patterson),2,72-68,,
0:44.0,,,72-68,,Shooting foul by B. Biyombo (drawn by L. Stephenson)
0:44.0,,,72-69,1,L. Stephenson makes free throw 1 of 2
0:44.0,,,72-70,1,L. Stephenson makes free throw 2 of 2
0:32.0,D. DeRozan makes 2-pt shot from 18 ft,2,74-70,,
0:10.0,,,74-70,,L. Stephenson misses 3-pt shot from 24 ft
0:08.0,,,74-70,,Offensive rebound by V. Carter
0:04.0,,,74-70,,L. Stephenson misses 2-pt shot from 2 ft (block by B. Biyombo)
0:04.0,,,74-70,,Offensive rebound by V. Carter
0:04.0,,,74-72,2,V. Carter makes 2-pt shot at rim
0:00.0,C. Joseph misses 3-pt shot from 38 ft,,74-72,,
0:00.0,Offensive rebound by Team,,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Personal foul by P. Patterson,,74-72,,
11:35.0,,,74-72,,Turnover by J. Green (bad pass)
11:35.0,,,74-72,,Loose ball foul by V. Carter
11:19.0,Offensive foul by B. Biyombo,,74-72,,
11:19.0,Turnover by B. Biyombo (offensive foul),,74-72,,
11:12.0,Personal foul by B. Biyombo,,74-72,,
11:12.0,J. Valanciunas enters the game for B. Biyombo,,74-72,,
10:57.0,,,74-72,,V. Carter misses 2-pt shot at rim
10:55.0,Defensive rebound by J. Valanciunas,,74-72,,
10:45.0,D. DeRozan misses 2-pt shot from 16 ft,,74-72,,
10:44.0,,,74-72,,Defensive rebound by L. Stephenson
10:23.0,,,74-74,2,L. Stephenson makes 2-pt shot from 10 ft
10:03.0,P. Patterson misses 2-pt shot from 16 ft,,74-74,,
10:02.0,Offensive rebound by C. Joseph,,74-74,,
9:58.0,C. Joseph misses 2-pt shot from 1 ft,,74-74,,
9:57.0,Offensive rebound by P. Patterson,,74-74,,
9:57.0,P. Patterson misses 2-pt shot at rim,,74-74,,
9:55.0,,,74-74,,Defensive rebound by J. Martin
9:48.0,,,74-74,,L. Stephenson misses 2-pt shot from 18 ft
9:47.0,Defensive rebound by T. Ross,,74-74,,
9:43.0,Shooting foul by J. Martin (drawn by D. DeRozan),,74-74,,
9:43.0,D. DeRozan misses free throw 1 of 2,,74-74,,
9:43.0,Offensive rebound by Team,,74-74,,
9:43.0,D. DeRozan makes free throw 2 of 2,1,75-74,,
9:32.0,,,75-74,,Shooting foul by C. Joseph (drawn by J. Martin)
9:32.0,,,75-74,,J. Martin misses free throw 1 of 2
9:32.0,,,75-74,,Offensive rebound by Team
9:32.0,K. Lowry enters the game for D. DeRozan,,75-74,,
9:32.0,,,75-75,1,J. Martin makes free throw 2 of 2
9:20.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,78-75,,
9:00.0,,,78-75,,V. Carter misses 2-pt shot from 3 ft (block by J. Valanciunas)
9:00.0,,,78-75,,Offensive rebound by Team
8:55.0,,,78-75,,L. Stephenson misses 2-pt shot from 16 ft
8:53.0,,,78-75,,Offensive rebound by V. Carter
8:53.0,,,78-77,2,V. Carter makes 2-pt shot from 1 ft
8:29.0,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph),3,81-77,,
8:10.0,,,81-80,3,X. Munford makes 3-pt shot from 25 ft
7:45.0,C. Joseph misses 3-pt shot from 26 ft,,81-80,,
7:44.0,,,81-80,,Defensive rebound by X. Munford
7:33.0,,,81-80,,Shooting foul by P. Patterson (drawn by J. Martin)
7:33.0,,,81-80,,Memphis full timeout
7:33.0,,,81-81,1,J. Martin makes free throw 1 of 2
7:33.0,,,81-82,1,J. Martin makes free throw 2 of 2
7:18.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph),3,84-82,,
6:58.0,,,84-84,2,J. Green makes 2-pt shot from 16 ft
6:38.0,T. Ross misses 2-pt shot from 18 ft,,84-84,,
6:35.0,,,84-84,,Defensive rebound by J. Green
6:26.0,,,84-84,,V. Carter misses 3-pt shot from 28 ft
6:25.0,Defensive rebound by T. Ross,,84-84,,
6:10.0,,,84-84,,Personal foul by J. Martin
6:10.0,,,84-84,,Z. Randolph enters the game for J. Martin
6:01.0,P. Patterson misses 3-pt shot from 24 ft,,84-84,,
6:01.0,,,84-84,,Defensive rebound by X. Munford
5:43.0,,,84-84,,L. Stephenson misses 2-pt shot from 13 ft
5:42.0,,,84-84,,Offensive rebound by J. Green
5:39.0,,,84-84,,J. Green misses 2-pt shot from 3 ft (block by J. Valanciunas)
5:37.0,,,84-84,,Offensive rebound by Team
5:37.0,,,84-84,,Memphis full timeout
5:18.0,,,84-84,,L. Stephenson misses 2-pt shot from 2 ft
5:16.0,Defensive rebound by J. Valanciunas,,84-84,,
5:06.0,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson),3,87-84,,
4:47.0,,,87-84,,V. Carter misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by J. Valanciunas,,87-84,,
4:45.0,,,87-84,,Personal foul by Z. Randolph
4:45.0,,,87-84,,T. Allen enters the game for V. Carter
4:45.0,,,87-84,,J. Farmar enters the game for X. Munford
4:22.0,Turnover by P. Patterson (lost ball; steal by J. Green),,87-84,,
4:06.0,,,87-86,2,Z. Randolph makes 2-pt shot from 1 ft
3:45.0,K. Lowry makes 2-pt shot from 17 ft,2,89-86,,
3:29.0,Violation by P. Patterson (kicked ball),,89-86,,
3:29.0,D. DeRozan enters the game for C. Joseph,,89-86,,
3:17.0,,,89-86,,Turnover by J. Green (lost ball; steal by K. Lowry)
3:12.0,K. Lowry misses 2-pt shot from 1 ft (block by J. Green),,89-86,,
3:11.0,Offensive rebound by Team,,89-86,,
3:11.0,Toronto full timeout,,89-86,,
3:11.0,,,89-86,,M. Barnes enters the game for L. Stephenson
2:53.0,D. DeRozan misses 2-pt shot from 11 ft,,89-86,,
2:53.0,,,89-86,,Defensive rebound by Team
2:53.0,Loose ball foul by J. Valanciunas,,89-86,,
2:53.0,,,89-87,1,Z. Randolph makes free throw 1 of 2
2:53.0,,,89-88,1,Z. Randolph makes free throw 2 of 2
2:38.0,K. Lowry misses 3-pt shot from 24 ft,,89-88,,
2:36.0,Offensive rebound by J. Valanciunas,,89-88,,
2:36.0,,,89-88,,Personal foul by M. Barnes
2:36.0,J. Valanciunas makes free throw 1 of 2,1,90-88,,
2:36.0,J. Valanciunas makes free throw 2 of 2,1,91-88,,
2:22.0,,,91-88,,Z. Randolph misses 2-pt shot from 5 ft
2:19.0,,,91-88,,Offensive rebound by T. Allen
2:19.0,,,91-88,,T. Allen misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by D. DeRozan,,91-88,,
1:53.0,K. Lowry misses 3-pt shot from 30 ft,,91-88,,
1:52.0,,,91-88,,Defensive rebound by M. Barnes
1:50.0,,,91-88,,Turnover by T. Allen (step out of bounds)
