time,Houston,pts.away,score,pts.home,Charlotte
2:23.0,Defensive rebound by J. Harden,,77-83,,
2:15.0,T. Ariza misses 2-pt shot from 17 ft,,77-83,,
2:14.0,,,77-83,,Defensive rebound by J. Lin
2:06.0,,,77-86,3,N. Batum makes 3-pt shot from 25 ft (assist by J. Lin)
1:56.0,Shooting foul by J. Lin (drawn by J. Harden),,77-86,,
1:56.0,J. Harden makes free throw 1 of 3,1,78-86,,
1:56.0,J. Harden makes free throw 2 of 3,1,79-86,,
1:56.0,C. Brewer enters the game for T. Ariza,,79-86,,
1:56.0,J. Harden makes free throw 3 of 3,1,80-86,,
1:49.0,M. Beasley enters the game for J. Harden,,80-86,,
1:46.0,,,80-86,,Offensive foul by F. Kaminsky
1:46.0,,,80-86,,Turnover by F. Kaminsky (offensive foul)
1:36.0,C. Brewer misses 3-pt shot from 25 ft,,80-86,,
1:35.0,,,80-86,,Defensive rebound by J. Lin
1:25.0,,,80-86,,N. Batum misses 2-pt shot from 7 ft
1:24.0,Defensive rebound by K. McDaniels,,80-86,,
1:17.0,M. Beasley makes 2-pt shot from 17 ft (assist by K. McDaniels),2,82-86,,
1:00.0,Def 3 sec tech foul by M. Beasley,,82-86,,
1:00.0,,,82-87,1,N. Batum makes technical free throw
0:51.0,Personal foul by K. McDaniels,,82-87,,
0:51.0,,,82-87,,J. Lin misses free throw 1 of 2
0:51.0,,,82-87,,Offensive rebound by Team
0:51.0,,,82-88,1,J. Lin makes free throw 2 of 2
0:40.0,Shooting foul by F. Kaminsky (drawn by M. Beasley),,82-88,,
0:40.0,M. Beasley makes free throw 1 of 2,1,83-88,,
0:40.0,D. Howard enters the game for C. Capela,,83-88,,
0:40.0,M. Beasley makes free throw 2 of 2,1,84-88,,
0:35.0,,,84-90,2,A. Jefferson makes 2-pt shot at rim (assist by J. Lin)
0:24.0,M. Beasley makes 2-pt shot from 7 ft,2,86-90,,
0:24.0,Shooting foul by T. Daniels (drawn by M. Beasley),,86-90,,
0:24.0,T. Ariza enters the game for J. Terry,,86-90,,
0:24.0,M. Beasley makes free throw 1 of 1,1,87-90,,
0:04.0,,,87-90,,J. Lin misses 2-pt shot from 16 ft
0:03.0,,,87-90,,Offensive rebound by J. Lin
0:00.0,,,87-90,,T. Daniels misses 3-pt shot from 23 ft
0:00.0,,,87-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,87-92,2,K. Walker makes 2-pt shot from 1 ft
11:22.0,M. Beasley misses 2-pt shot from 19 ft,,87-92,,
11:21.0,,,87-92,,Defensive rebound by A. Jefferson
11:06.0,,,87-92,,A. Jefferson misses 2-pt shot from 14 ft
11:05.0,,,87-92,,Offensive rebound by F. Kaminsky
10:59.0,,,87-95,3,T. Daniels makes 3-pt shot from 24 ft (assist by K. Walker)
10:42.0,J. Terry misses 2-pt shot from 1 ft,,87-95,,
10:41.0,,,87-95,,Defensive rebound by T. Daniels
10:41.0,Personal foul by J. Terry,,87-95,,
10:37.0,Personal foul by J. Terry,,87-95,,
10:20.0,,,87-97,2,K. Walker makes 2-pt shot from 18 ft
10:19.0,Houston full timeout,,87-97,,
10:19.0,P. Beverley enters the game for J. Terry,,87-97,,
10:19.0,J. Harden enters the game for C. Brewer,,87-97,,
10:19.0,T. Ariza enters the game for K. McDaniels,,87-97,,
9:56.0,J. Harden misses 3-pt shot from 25 ft,,87-97,,
9:55.0,,,87-97,,Defensive rebound by K. Walker
9:51.0,,,87-97,,K. Walker misses 2-pt shot from 1 ft (block by P. Beverley)
9:51.0,,,87-97,,Offensive rebound by Team
9:46.0,,,87-97,,T. Daniels misses 2-pt shot from 17 ft
9:44.0,Defensive rebound by M. Beasley,,87-97,,
9:36.0,J. Harden misses 3-pt shot from 27 ft,,87-97,,
9:34.0,,,87-97,,Defensive rebound by A. Jefferson
9:17.0,,,87-97,,Shooting foul by T. Ariza (drawn by J. Lin)
9:17.0,,,87-98,1,J. Lin makes free throw 1 of 2
9:17.0,,,87-99,1,J. Lin makes free throw 2 of 2
9:04.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Harden),2,89-99,,
8:40.0,,,89-102,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
8:21.0,,,89-102,,Personal foul by J. Lin
8:12.0,Turnover by D. Howard (lost ball; steal by T. Daniels),,89-102,,
8:06.0,,,89-104,2,K. Walker makes 2-pt shot at rim (assist by J. Lin)
7:54.0,J. Harden misses 2-pt shot at rim,,89-104,,
7:53.0,,,89-104,,Defensive rebound by K. Walker
7:48.0,,,89-107,3,K. Walker makes 3-pt shot from 24 ft
7:48.0,Houston full timeout,,89-107,,
7:37.0,M. Beasley makes 2-pt shot from 2 ft (assist by J. Harden),2,91-107,,
7:18.0,,,91-109,2,A. Jefferson makes 2-pt shot from 9 ft
7:07.0,Shooting foul by J. Lin (drawn by J. Harden),,91-109,,
7:07.0,J. Harden makes free throw 1 of 2,1,92-109,,
7:07.0,,,92-109,,C. Lee enters the game for J. Lin
7:07.0,J. Harden makes free throw 2 of 2,1,93-109,,
6:48.0,,,93-109,,A. Jefferson misses 2-pt shot from 8 ft
6:45.0,,,93-109,,Offensive rebound by T. Daniels
6:39.0,,,93-112,3,C. Lee makes 3-pt shot from 24 ft (assist by T. Daniels)
6:29.0,J. Harden misses 3-pt shot from 24 ft,,93-112,,
6:27.0,,,93-112,,Defensive rebound by F. Kaminsky
6:13.0,,,93-115,3,C. Lee makes 3-pt shot from 24 ft (assist by K. Walker)
5:51.0,Turnover by M. Beasley (offensive goaltending),,93-115,,
5:51.0,C. Brewer enters the game for M. Beasley,,93-115,,
5:51.0,,,93-115,,N. Batum enters the game for T. Daniels
5:45.0,Personal foul by P. Beverley,,93-115,,
5:39.0,,,93-117,2,K. Walker makes 2-pt shot at rim
5:23.0,C. Brewer makes 2-pt shot from 12 ft,2,95-117,,
5:04.0,,,95-117,,Turnover by K. Walker (lost ball; steal by T. Ariza)
4:58.0,T. Ariza misses 3-pt shot from 25 ft,,95-117,,
4:56.0,,,95-117,,Defensive rebound by N. Batum
4:40.0,,,95-117,,C. Lee misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by C. Brewer,,95-117,,
4:40.0,,,95-117,,Personal foul by A. Jefferson
4:40.0,A. Goudelock enters the game for T. Ariza,,95-117,,
4:40.0,K. McDaniels enters the game for D. Howard,,95-117,,
4:40.0,C. Capela enters the game for J. Harden,,95-117,,
4:40.0,M. Harrell enters the game for P. Beverley,,95-117,,
4:40.0,,,95-117,,M. Williams enters the game for F. Kaminsky
4:33.0,C. Brewer makes 2-pt shot from 10 ft,2,97-117,,
4:33.0,Shooting foul by N. Batum (drawn by C. Brewer),,97-117,,
4:33.0,C. Brewer misses free throw 1 of 1,,97-117,,
4:31.0,,,97-117,,Defensive rebound by N. Batum
4:13.0,,,97-119,2,A. Jefferson makes 2-pt shot from 10 ft
4:00.0,C. Capela makes 2-pt shot at rim,2,99-119,,
4:00.0,Shooting foul by A. Jefferson (drawn by C. Capela),,99-119,,
4:00.0,C. Capela makes free throw 1 of 1,1,100-119,,
3:37.0,,,100-119,,A. Jefferson misses 2-pt shot from 2 ft (block by C. Capela)
3:37.0,Defensive rebound by C. Capela,,100-119,,
3:37.0,,,100-119,,Personal foul by A. Jefferson
3:37.0,,,100-119,,C. Zeller enters the game for A. Jefferson
