time,Atlanta,pts.away,score,pts.home,Sacramento
0:03.0,Shooting foul by D. Collison (drawn by D. Schroder),,63-72,,
0:03.0,D. Schroder misses free throw 1 of 1,,63-72,,
0:02.0,,,63-72,,Defensive rebound by K. Koufos
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by A. Horford),2,65-72,,
11:23.0,,,65-72,,M. Belinelli misses 2-pt shot from 20 ft
11:23.0,,,65-72,,Offensive rebound by Team
11:13.0,,,65-72,,Shooting foul by M. Scott (drawn by Q. Acy)
11:13.0,,,65-73,1,Q. Acy makes free throw 1 of 2
11:13.0,,,65-74,1,Q. Acy makes free throw 2 of 2
10:54.0,T. Hardaway makes 2-pt shot from 6 ft,2,67-74,,
10:31.0,,,67-74,,M. Belinelli misses 2-pt shot from 4 ft
10:30.0,,,67-74,,Offensive rebound by K. Koufos
10:20.0,,,67-74,,M. Belinelli misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by D. Schroder,,67-74,,
10:12.0,Turnover by D. Schroder (bad pass; steal by D. Collison),,67-74,,
10:11.0,,,67-74,,Sacramento full timeout
10:11.0,,,67-74,,D. Cousins enters the game for K. Koufos
9:53.0,,,67-74,,D. Cousins misses 2-pt shot from 19 ft
9:53.0,,,67-74,,Offensive rebound by Team
9:53.0,Loose ball foul by M. Scott (drawn by Q. Acy),,67-74,,
9:40.0,,,67-74,,Turnover by M. Belinelli (bad pass; steal by A. Horford)
9:36.0,T. Hardaway makes 2-pt shot at rim (assist by A. Horford),2,69-74,,
9:15.0,,,69-74,,D. Collison misses 2-pt shot from 2 ft
9:15.0,,,69-74,,Offensive rebound by Team
9:15.0,Loose ball foul by D. Schroder (drawn by Q. Acy),,69-74,,
9:15.0,,,69-74,,R. Rondo enters the game for M. Belinelli
9:15.0,K. Bazemore enters the game for D. Schroder,,69-74,,
9:04.0,,,69-74,,D. Cousins misses 2-pt shot from 7 ft
9:04.0,,,69-74,,Offensive rebound by Team
9:04.0,Loose ball foul by M. Scott (drawn by Q. Acy),,69-74,,
8:54.0,,,69-74,,D. Cousins misses 2-pt shot from 1 ft (block by M. Scott)
8:53.0,Defensive rebound by T. Hardaway,,69-74,,
8:48.0,T. Hardaway misses 2-pt shot from 2 ft,,69-74,,
8:47.0,Offensive rebound by Team,,69-74,,
8:39.0,T. Hardaway makes 2-pt shot from 15 ft (assist by A. Horford),2,71-74,,
8:21.0,,,71-74,,D. Cousins misses 2-pt shot from 3 ft (block by M. Scott)
8:19.0,Defensive rebound by T. Hardaway,,71-74,,
8:11.0,M. Scott misses 3-pt shot from 23 ft,,71-74,,
8:10.0,Offensive rebound by A. Horford,,71-74,,
8:10.0,A. Horford makes 2-pt shot from 1 ft,2,73-74,,
8:10.0,,,73-74,,Sacramento full timeout
8:10.0,,,73-74,,B. McLemore enters the game for D. Collison
7:58.0,,,73-76,2,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore)
7:47.0,A. Horford makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,76-76,,
7:39.0,,,76-78,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
7:26.0,Turnover by T. Sefolosha (lost ball; steal by D. Cousins),,76-78,,
7:20.0,,,76-78,,Turnover by R. Rondo (bad pass; steal by T. Hardaway)
7:19.0,,,76-78,,Personal foul by O. Casspi (drawn by T. Hardaway)
7:19.0,P. Millsap enters the game for A. Horford,,76-78,,
7:06.0,Turnover by P. Millsap (traveling),,76-78,,
6:50.0,,,76-78,,Turnover by D. Cousins (lost ball; steal by P. Millsap)
6:37.0,T. Hardaway misses 3-pt shot from 25 ft,,76-78,,
6:37.0,,,76-78,,Defensive rebound by R. Rondo
6:29.0,,,76-78,,Shooting foul by M. Scott (drawn by D. Cousins)
6:29.0,,,76-79,1,D. Cousins makes free throw 1 of 2
6:29.0,K. Korver enters the game for T. Sefolosha,,76-79,,
6:29.0,D. Schroder enters the game for T. Hardaway,,76-79,,
