time,Golden State,pts.away,score,pts.home,Denver
8:32.0,,,101-84,,Turnover by E. Mudiay (offensive foul)
8:32.0,,,101-84,,G. Harris enters the game for R. Foye
8:32.0,,,101-84,,D. Gallinari enters the game for W. Barton
8:31.0,D. Green enters the game for I. Clark,,101-84,,
8:16.0,Turnover by S. Livingston (bad pass; steal by G. Harris),,101-84,,
8:16.0,Personal take foul by M. Speights (drawn by G. Harris),,101-84,,
7:58.0,,,101-84,,D. Gallinari misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by M. Speights,,101-84,,
7:49.0,Turnover by D. Green (bad pass; steal by E. Mudiay),,101-84,,
7:41.0,Personal foul by L. Barbosa (drawn by J. Nelson),,101-84,,
7:31.0,,,101-84,,E. Mudiay misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by D. Green,,101-84,,
7:24.0,M. Speights makes 2-pt shot at rim (assist by D. Green),2,103-84,,
7:06.0,,,103-86,2,D. Arthur makes 2-pt shot from 14 ft (assist by G. Harris)
6:47.0,S. Livingston misses 2-pt shot from 16 ft,,103-86,,
6:46.0,,,103-86,,Defensive rebound by J. Nelson
