time,Boston,pts.away,score,pts.home,Golden State
6:19.0,,,95-88,3,L. Barbosa makes 3-pt shot from 24 ft (assist by D. Green)
6:18.0,Boston full timeout,,95-88,,
6:18.0,,,95-88,,B. Rush enters the game for H. Barnes
6:18.0,I. Thomas enters the game for K. Olynyk,,95-88,,
6:18.0,J. Sullinger enters the game for T. Rozier,,95-88,,
6:07.0,Turnover by M. Smart (bad pass),,95-88,,
5:55.0,,,95-88,,K. Thompson misses 2-pt shot from 7 ft
5:54.0,Defensive rebound by J. Sullinger,,95-88,,
5:39.0,I. Thomas misses 2-pt shot from 18 ft (block by D. Green),,95-88,,
5:38.0,Offensive rebound by J. Sullinger,,95-88,,
5:37.0,Shooting foul by B. Rush (drawn by J. Sullinger),,95-88,,
5:37.0,J. Sullinger makes free throw 1 of 2,1,96-88,,
5:37.0,A. Bradley enters the game for J. Jerebko,,96-88,,
5:37.0,J. Sullinger makes free throw 2 of 2,1,97-88,,
5:26.0,,,97-90,2,D. Green makes 2-pt shot from 2 ft
5:26.0,,,97-90,,Shooting foul by M. Smart (drawn by D. Green)
5:26.0,,,97-91,1,D. Green makes free throw 1 of 1
5:09.0,J. Sullinger misses 2-pt shot from 4 ft,,97-91,,
5:07.0,Offensive rebound by J. Sullinger,,97-91,,
5:07.0,J. Sullinger makes 2-pt shot at rim,2,99-91,,
4:54.0,,,99-94,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
4:36.0,Turnover by I. Thomas (lost ball; steal by S. Curry),,99-94,,
4:28.0,,,99-94,,D. Green misses 3-pt shot from 27 ft
4:27.0,Defensive rebound by E. Turner,,99-94,,
4:08.0,E. Turner misses 2-pt shot from 8 ft (block by B. Rush),,99-94,,
4:07.0,,,99-94,,Defensive rebound by D. Green
3:59.0,,,99-94,,B. Rush misses 3-pt shot from 23 ft
3:58.0,,,99-94,,Offensive rebound by D. Green
3:58.0,,,99-96,2,D. Green makes 2-pt shot from 1 ft
3:30.0,Turnover by I. Thomas (lost ball; steal by L. Barbosa),,99-96,,
3:26.0,,,99-96,,Turnover by B. Rush (lost ball; steal by A. Bradley)
