time,Atlanta,pts.away,score,pts.home,Boston
4:12.0,,,58-63,2,J. Sullinger makes 2-pt shot at rim
4:03.0,D. Schroder makes 2-pt shot from 1 ft (assist by T. Splitter),2,60-63,,
3:50.0,,,60-63,,D. Lee misses 2-pt shot from 18 ft
3:49.0,,,60-63,,Offensive rebound by Team
3:49.0,Loose ball foul by T. Splitter (drawn by J. Sullinger),,60-63,,
3:49.0,,,60-63,,J. Sullinger misses free throw 1 of 2
3:49.0,,,60-63,,Offensive rebound by Team
3:49.0,,,60-63,,E. Turner enters the game for I. Thomas
3:49.0,,,60-63,,J. Sullinger misses free throw 2 of 2
3:49.0,Defensive rebound by Team,,60-63,,
3:49.0,,,60-63,,Loose ball foul by J. Crowder (drawn by P. Millsap)
3:49.0,P. Millsap makes free throw 1 of 2,1,61-63,,
3:49.0,P. Millsap makes free throw 2 of 2,1,62-63,,
3:37.0,,,62-65,2,J. Sullinger makes 2-pt shot from 21 ft (assist by E. Turner)
3:15.0,P. Millsap misses 2-pt shot from 2 ft (block by D. Lee),,62-65,,
3:14.0,,,62-65,,Defensive rebound by D. Lee
3:00.0,,,62-65,,J. Sullinger misses 2-pt shot from 6 ft
2:58.0,Defensive rebound by Team,,62-65,,
2:58.0,,,62-65,,Loose ball foul by E. Turner (drawn by K. Korver)
2:58.0,K. Korver makes free throw 1 of 2,1,63-65,,
2:58.0,K. Korver makes free throw 2 of 2,1,64-65,,
2:52.0,Personal foul by K. Korver (drawn by J. Crowder),,64-65,,
2:52.0,,,64-66,1,J. Crowder makes free throw 1 of 2
2:52.0,,,64-66,,J. Jerebko enters the game for J. Sullinger
2:52.0,,,64-67,1,J. Crowder makes free throw 2 of 2
2:27.0,Turnover by Team (shot clock),,64-67,,
2:07.0,,,64-70,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Jerebko)
1:58.0,T. Sefolosha makes 2-pt shot from 1 ft,2,66-70,,
1:40.0,,,66-70,,J. Crowder misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by T. Sefolosha,,66-70,,
1:29.0,T. Sefolosha misses 2-pt shot from 15 ft,,66-70,,
1:28.0,,,66-70,,Defensive rebound by E. Turner
1:25.0,,,66-72,2,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner)
1:25.0,Shooting block foul by K. Korver (drawn by J. Crowder),,66-72,,
1:25.0,K. Bazemore enters the game for K. Korver,,66-72,,
1:25.0,,,66-73,1,J. Crowder makes free throw 1 of 1
1:13.0,T. Splitter misses 2-pt shot from 2 ft (block by D. Lee),,66-73,,
1:12.0,Offensive rebound by T. Sefolosha,,66-73,,
1:08.0,D. Schroder makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,69-73,,
0:52.0,,,69-73,,R. Hunter enters the game for A. Bradley
0:46.0,,,69-73,,Turnover by D. Lee (bad pass)
0:29.0,T. Sefolosha misses 3-pt shot from 24 ft,,69-73,,
0:28.0,,,69-73,,Defensive rebound by J. Jerebko
0:06.0,,,69-73,,Turnover by E. Turner (bad pass; steal by D. Schroder)
0:01.0,D. Schroder misses 2-pt shot from 1 ft,,69-73,,
0:00.0,Offensive rebound by T. Sefolosha,,69-73,,
0:00.0,T. Sefolosha makes 2-pt shot at rim,2,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,,,71-73,,Personal foul by I. Thomas (drawn by D. Schroder)
11:46.0,K. Bazemore misses 2-pt shot from 20 ft,,71-73,,
11:45.0,,,71-73,,Defensive rebound by J. Jerebko
11:27.0,,,71-73,,I. Thomas misses 2-pt shot from 2 ft
11:26.0,Defensive rebound by P. Millsap,,71-73,,
11:14.0,K. Bazemore misses 2-pt shot from 2 ft,,71-73,,
11:13.0,,,71-73,,Defensive rebound by K. Olynyk
11:09.0,,,71-73,,Turnover by E. Turner (lost ball)
10:55.0,A. Horford misses 2-pt shot from 20 ft,,71-73,,
10:54.0,,,71-73,,Defensive rebound by R. Hunter
10:49.0,,,71-75,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
10:32.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Bazemore),2,73-75,,
10:23.0,,,73-75,,E. Turner misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by P. Millsap,,73-75,,
10:15.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,75-75,,
9:53.0,,,75-75,,K. Olynyk misses 2-pt shot from 2 ft
9:52.0,,,75-75,,Offensive rebound by J. Jerebko
9:51.0,,,75-75,,J. Jerebko misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by P. Millsap,,75-75,,
9:37.0,P. Millsap makes 2-pt shot from 15 ft (assist by K. Bazemore),2,77-75,,
9:25.0,Personal foul by T. Sefolosha (drawn by E. Turner),,77-75,,
9:25.0,T. Splitter enters the game for P. Millsap,,77-75,,
9:23.0,,,77-78,3,I. Thomas makes 3-pt shot from 23 ft
