time,Chicago,pts.away,score,pts.home,LA Lakers
8:25.0,T. Gibson makes free throw 2 of 2,1,95-80,,
8:14.0,,,95-80,,D. Russell misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by D. Rose,,95-80,,
7:59.0,,,95-80,,Personal foul by N. Young (drawn by E. Moore)
7:54.0,D. McDermott misses 3-pt shot from 24 ft,,95-80,,
7:53.0,,,95-80,,Defensive rebound by B. Bass
7:48.0,,,95-80,,A. Brown misses 3-pt shot from 24 ft
7:46.0,,,95-80,,Offensive rebound by N. Young
7:43.0,,,95-80,,Turnover by N. Young (bad pass; steal by E. Moore)
7:37.0,D. McDermott misses 2-pt shot from 2 ft (block by B. Bass),,95-80,,
7:37.0,,,95-80,,Defensive rebound by Team
7:23.0,,,95-80,,N. Young misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by T. Gibson,,95-80,,
7:07.0,D. Rose misses 2-pt shot from 4 ft,,95-80,,
7:02.0,,,95-80,,Defensive rebound by D. Russell
6:58.0,,,95-80,,A. Brown misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by B. Portis,,95-80,,
6:41.0,E. Moore misses 2-pt shot from 8 ft,,95-80,,
6:39.0,,,95-80,,Defensive rebound by A. Brown
6:31.0,,,95-80,,D. Russell misses 2-pt shot from 5 ft
6:27.0,Defensive rebound by T. Gibson,,95-80,,
6:26.0,,,95-80,,Personal foul by L. Nance (drawn by D. Rose)
6:26.0,P. Gasol enters the game for B. Portis,,95-80,,
6:26.0,J. Butler enters the game for D. McDermott,,95-80,,
6:26.0,,,95-80,,J. Clarkson enters the game for D. Russell
6:26.0,,,95-80,,J. Randle enters the game for B. Bass
6:19.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,97-80,,
6:05.0,,,97-80,,Turnover by J. Clarkson (bad pass; steal by J. Butler)
5:59.0,E. Moore makes 2-pt shot from 1 ft (assist by D. Rose),2,99-80,,
5:52.0,,,99-80,,LA Lakers full timeout
5:31.0,,,99-80,,J. Randle misses 2-pt shot from 18 ft
5:30.0,Defensive rebound by D. Rose,,99-80,,
5:13.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,101-80,,
5:02.0,Personal foul by D. Rose (drawn by J. Clarkson),,101-80,,
5:02.0,D. McDermott enters the game for J. Butler,,101-80,,
5:02.0,T. Snell enters the game for E. Moore,,101-80,,
5:02.0,,,101-80,,M. Huertas enters the game for J. Randle
5:02.0,,,101-80,,T. Black enters the game for J. Clarkson
5:02.0,,,101-80,,R. Kelly enters the game for L. Nance
4:54.0,,,101-80,,M. Huertas misses 2-pt shot from 3 ft
4:51.0,,,101-80,,Offensive rebound by M. Huertas
4:45.0,,,101-80,,N. Young misses 2-pt shot from 18 ft
4:43.0,Defensive rebound by D. Rose,,101-80,,
4:38.0,D. Rose misses 2-pt shot from 18 ft,,101-80,,
4:34.0,,,101-80,,Defensive rebound by R. Kelly
4:29.0,,,101-80,,Shooting foul by P. Gasol (drawn by N. Young)
4:29.0,,,101-80,,N. Young misses free throw 1 of 2
4:29.0,,,101-80,,Offensive rebound by Team
4:29.0,A. Brooks enters the game for D. Rose,,101-80,,
4:29.0,C. Bairstow enters the game for P. Gasol,,101-80,,
4:29.0,,,101-81,1,N. Young makes free throw 2 of 2
4:09.0,T. Snell makes 2-pt shot from 3 ft,2,103-81,,
3:57.0,,,103-81,,Turnover by N. Young (bad pass)
3:46.0,D. McDermott misses 2-pt shot from 4 ft,,103-81,,
3:44.0,,,103-81,,Defensive rebound by R. Kelly
3:35.0,,,103-81,,T. Black misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by C. Bairstow,,103-81,,
3:25.0,T. Snell makes 2-pt shot from 2 ft,2,105-81,,
3:09.0,,,105-83,2,N. Young makes 2-pt shot from 18 ft (assist by M. Huertas)
3:05.0,Chicago full timeout,,105-83,,
3:05.0,C. Felicio enters the game for T. Gibson,,105-83,,
3:05.0,E. Moore enters the game for A. Brooks,,105-83,,
