time,LA Clippers,pts.away,score,pts.home,Portland
6:46.0,Turnover by C. Paul (lost ball; steal by D. Lillard),,92-83,,
6:42.0,,,92-83,,D. Lillard misses 2-pt shot from 2 ft (block by D. Jordan)
6:41.0,,,92-83,,Offensive rebound by E. Davis
6:41.0,,,92-83,,Shooting foul by C. Paul (drawn by E. Davis)
6:41.0,,,92-83,,E. Davis misses free throw 1 of 2
6:41.0,,,92-83,,Offensive rebound by Team
6:41.0,,,92-83,,E. Davis misses free throw 2 of 2
6:40.0,Defensive rebound by A. Rivers,,92-83,,
6:29.0,,,92-83,,Personal foul by M. Leonard (drawn by J. Redick)
6:20.0,W. Johnson misses 3-pt shot from 24 ft,,92-83,,
6:18.0,,,92-83,,Defensive rebound by G. Henderson
6:09.0,,,92-86,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
5:52.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,95-86,,
5:38.0,,,95-89,3,D. Lillard makes 3-pt shot from 24 ft
5:18.0,C. Paul makes 2-pt shot from 14 ft,2,97-89,,
5:03.0,,,97-91,2,M. Harkless makes 2-pt shot at rim (assist by E. Davis)
4:36.0,Shooting foul by M. Leonard (drawn by D. Jordan),,97-91,,
4:36.0,Official timeout,,97-91,,
4:36.0,P. Pierce enters the game for W. Johnson,,97-91,,
4:36.0,,,97-91,,A. Crabbe enters the game for G. Henderson
4:36.0,D. Jordan misses free throw 1 of 2,,97-91,,
4:36.0,Offensive rebound by Team,,97-91,,
4:36.0,D. Jordan makes free throw 2 of 2,1,98-91,,
4:19.0,,,98-91,,A. Crabbe misses 2-pt shot from 6 ft
4:17.0,Defensive rebound by D. Jordan,,98-91,,
4:07.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,101-91,,
3:50.0,,,101-91,,E. Davis misses 2-pt shot from 5 ft
3:50.0,Defensive rebound by P. Pierce,,101-91,,
3:33.0,J. Redick misses 3-pt shot from 24 ft,,101-91,,
3:32.0,,,101-91,,Defensive rebound by D. Lillard
3:24.0,,,101-94,3,D. Lillard makes 3-pt shot from 25 ft
3:00.0,P. Pierce misses 3-pt shot from 24 ft,,101-94,,
2:59.0,,,101-94,,Defensive rebound by M. Harkless
2:49.0,,,101-94,,D. Lillard misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by A. Rivers,,101-94,,
2:39.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,103-94,,
2:39.0,,,103-94,,Portland full timeout
2:39.0,,,103-94,,A. Aminu enters the game for E. Davis
2:27.0,,,103-94,,M. Leonard misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by C. Paul,,103-94,,
