time,New York,pts.away,score,pts.home,Cleveland
2:43.0,,,68-68,,I. Shumpert enters the game for L. James
2:43.0,,,68-68,,J. Jones enters the game for K. Love
2:43.0,D. Williams enters the game for L. Thomas,,68-68,,
2:43.0,L. Galloway enters the game for K. Porzingis,,68-68,,
2:43.0,Violation by Team (delay of game),,68-68,,
2:39.0,Turnover by R. Lopez (bad pass; steal by J. Smith),,68-68,,
2:30.0,,,68-68,,J. Smith misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by L. Galloway,,68-68,,
2:09.0,L. Galloway misses 2-pt shot from 18 ft,,68-68,,
2:08.0,,,68-68,,Defensive rebound by T. Thompson
2:00.0,,,68-70,2,M. Dellavedova makes 2-pt shot from 4 ft
1:44.0,J. Calderon misses 2-pt shot from 17 ft,,68-70,,
1:43.0,,,68-70,,Defensive rebound by T. Thompson
1:31.0,,,68-70,,M. Dellavedova misses 2-pt shot from 2 ft
1:27.0,,,68-70,,Offensive rebound by T. Thompson
1:27.0,,,68-72,2,T. Thompson makes 2-pt shot at rim
1:14.0,Shooting foul by I. Shumpert (drawn by A. Afflalo),,68-72,,
1:14.0,A. Afflalo makes free throw 1 of 2,1,69-72,,
1:14.0,J. Grant enters the game for J. Calderon,,69-72,,
1:14.0,L. Amundson enters the game for R. Lopez,,69-72,,
1:14.0,,,69-72,,M. Williams enters the game for J. Smith
1:14.0,A. Afflalo makes free throw 2 of 2,1,70-72,,
0:54.0,,,70-72,,M. Dellavedova misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by A. Afflalo,,70-72,,
0:35.0,A. Afflalo makes 2-pt shot from 12 ft,2,72-72,,
0:11.0,,,72-72,,I. Shumpert misses 3-pt shot from 27 ft
0:11.0,,,72-72,,Offensive rebound by Team
0:11.0,,,72-72,,Turnover by Team (shot clock)
0:01.0,J. Grant misses 2-pt shot from 5 ft,,72-72,,
0:00.0,Offensive rebound by L. Amundson,,72-72,,
0:00.0,L. Amundson misses 2-pt shot at rim,,72-72,,
0:00.0,Offensive rebound by Team,,72-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
