time,Chicago,pts.away,score,pts.home,Denver
1:00.0,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks),2,87-69,,
0:52.0,,,87-71,2,R. Foye makes 2-pt shot from 2 ft
0:34.0,A. Brooks makes 2-pt shot from 8 ft,2,89-71,,
0:25.0,,,89-73,2,R. Foye makes 2-pt shot from 21 ft
0:01.0,E. Moore misses 2-pt shot from 6 ft,,89-73,,
0:00.0,Offensive rebound by Team,,89-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by K. Hinrich (drawn by N. Jokic),,89-73,,
11:39.0,,,89-73,,W. Barton misses 2-pt shot from 20 ft
11:37.0,Defensive rebound by K. Hinrich,,89-73,,
11:23.0,Turnover by A. Brooks (bad pass; steal by R. Foye),,89-73,,
11:23.0,Personal foul by A. Brooks (drawn by N. Jokic),,89-73,,
11:02.0,,,89-75,2,N. Jokic makes 2-pt shot from 16 ft
10:43.0,Turnover by A. Brooks (bad pass; steal by R. Foye),,89-75,,
10:37.0,,,89-77,2,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic)
10:18.0,T. Gibson misses 2-pt shot from 2 ft (block by N. Jokic),,89-77,,
10:16.0,Offensive rebound by T. Gibson,,89-77,,
10:13.0,T. Gibson makes 2-pt shot from 5 ft,2,91-77,,
10:01.0,,,91-79,2,W. Barton makes 2-pt shot from 5 ft (assist by R. Foye)
9:50.0,,,91-79,,Personal foul by W. Barton (drawn by D. McDermott)
9:50.0,D. Rose enters the game for A. Brooks,,91-79,,
9:50.0,,,91-79,,K. Faried enters the game for G. Harris
9:48.0,,,91-79,,Personal foul by W. Barton (drawn by D. McDermott)
9:33.0,D. Rose makes 2-pt shot from 20 ft,2,93-79,,
9:22.0,,,93-81,2,R. Foye makes 2-pt shot from 2 ft
9:00.0,T. Gibson misses 2-pt shot from 16 ft (block by N. Jokic),,93-81,,
9:00.0,,,93-81,,Defensive rebound by Team
8:48.0,,,93-83,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
8:48.0,Chicago full timeout,,93-83,,
8:34.0,D. McDermott misses 2-pt shot from 22 ft (block by W. Barton),,93-83,,
8:34.0,Offensive rebound by Team,,93-83,,
