time,Portland,pts.away,score,pts.home,Phoenix
7:24.0,M. Plumlee misses 2-pt shot from 17 ft,,59-66,,
7:23.0,,,59-66,,Defensive rebound by T. Chandler
7:18.0,,,59-66,,B. Knight misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. Plumlee,,59-66,,
7:08.0,Turnover by D. Lillard (bad pass; steal by E. Bledsoe),,59-66,,
7:00.0,,,59-69,3,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe)
6:42.0,Offensive foul by M. Leonard,,59-69,,
6:42.0,Turnover by M. Leonard (offensive foul),,59-69,,
6:42.0,,,59-69,,Phoenix full timeout
6:24.0,,,59-69,,B. Knight misses 2-pt shot from 18 ft
6:23.0,,,59-69,,Offensive rebound by T. Chandler
6:22.0,,,59-69,,Shooting foul by M. Plumlee (drawn by T. Chandler)
6:22.0,,,59-70,1,T. Chandler makes free throw 1 of 2
6:22.0,N. Vonleh enters the game for M. Leonard,,59-70,,
6:22.0,E. Davis enters the game for M. Plumlee,,59-70,,
6:22.0,,,59-71,1,T. Chandler makes free throw 2 of 2
6:06.0,C. McCollum misses 2-pt shot from 15 ft,,59-71,,
6:05.0,,,59-71,,Defensive rebound by P. Tucker
5:58.0,,,59-71,,E. Bledsoe misses 2-pt shot at rim (block by N. Vonleh)
5:56.0,Defensive rebound by A. Aminu,,59-71,,
5:49.0,Turnover by A. Aminu (lost ball; steal by P. Tucker),,59-71,,
5:43.0,Loose ball foul by A. Aminu (drawn by B. Knight),,59-71,,
5:43.0,,,59-72,1,B. Knight makes free throw 1 of 2
5:43.0,M. Harkless enters the game for A. Aminu,,59-72,,
5:43.0,,,59-73,1,B. Knight makes free throw 2 of 2
5:31.0,D. Lillard misses 3-pt shot from 25 ft,,59-73,,
5:31.0,Offensive rebound by C. McCollum,,59-73,,
5:27.0,Turnover by C. McCollum (step out of bounds),,59-73,,
5:19.0,,,59-73,,Offensive foul by T. Chandler
5:19.0,,,59-73,,Turnover by T. Chandler (offensive foul)
5:19.0,A. Crabbe enters the game for C. McCollum,,59-73,,
5:19.0,,,59-73,,S. Weems enters the game for B. Knight
5:07.0,Turnover by D. Lillard (bad pass; steal by T. Chandler),,59-73,,
4:57.0,,,59-73,,M. Morris misses 2-pt shot from 13 ft
4:56.0,,,59-73,,Offensive rebound by T. Chandler
4:50.0,,,59-73,,M. Morris misses 2-pt shot at rim (block by E. Davis)
4:50.0,Defensive rebound by Team,,59-73,,
4:27.0,E. Davis makes 2-pt shot from 3 ft (assist by M. Harkless),2,61-73,,
4:11.0,,,61-73,,Turnover by P. Tucker (step out of bounds)
3:57.0,D. Lillard makes 2-pt shot from 5 ft,2,63-73,,
3:35.0,,,63-73,,E. Bledsoe misses 2-pt shot from 19 ft
3:34.0,,,63-73,,Offensive rebound by Team
3:34.0,,,63-73,,T. Warren enters the game for P. Tucker
3:34.0,,,63-73,,A. Len enters the game for T. Chandler
3:34.0,,,63-73,,R. Price enters the game for E. Bledsoe
3:33.0,,,63-75,2,A. Len makes 2-pt shot at rim (assist by T. Warren)
3:33.0,,,63-75,,Shooting foul by N. Vonleh (drawn by A. Len)
3:33.0,,,63-75,,A. Len misses free throw 1 of 1
3:32.0,Defensive rebound by N. Vonleh,,63-75,,
3:23.0,D. Lillard misses 2-pt shot at rim,,63-75,,
3:20.0,Offensive rebound by N. Vonleh,,63-75,,
3:20.0,N. Vonleh makes 2-pt shot from 1 ft,2,65-75,,
3:10.0,,,65-75,,A. Len misses 2-pt shot from 21 ft
3:09.0,,,65-75,,Offensive rebound by M. Morris
3:05.0,,,65-77,2,M. Morris makes 2-pt shot from 1 ft
2:50.0,D. Lillard makes 2-pt shot at rim,2,67-77,,
