time,LA Clippers,pts.away,score,pts.home,New Orleans
4:12.0,Offensive rebound by D. Jordan,,82-80,,
4:12.0,D. Jordan makes 2-pt shot from 2 ft,2,84-80,,
3:57.0,,,84-80,,R. Anderson misses 2-pt shot from 4 ft (block by L. Mbah a Moute)
3:54.0,Jump ball: A. Davis vs. P. Pierce (J. Holiday gains possession),,,,Jump ball: A. Davis vs. P. Pierce (J. Holiday gains possession)
3:54.0,,,84-80,,Offensive rebound by Team
3:51.0,,,84-80,,Turnover by J. Holiday (lost ball)
3:40.0,J. Redick misses 3-pt shot from 24 ft,,84-80,,
3:39.0,,,84-80,,Defensive rebound by R. Anderson
3:36.0,,,84-80,,New Orleans full timeout
3:25.0,,,84-83,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans)
3:07.0,J. Redick misses 3-pt shot from 24 ft,,84-83,,
3:06.0,,,84-83,,Defensive rebound by A. Davis
2:51.0,,,84-83,,A. Davis misses 2-pt shot from 17 ft
2:51.0,,,84-83,,Offensive rebound by Team
2:51.0,Loose ball foul by L. Mbah a Moute (drawn by R. Anderson),,84-83,,
2:42.0,,,84-83,,Shooting foul by D. Jordan (drawn by T. Evans)
