time,Oklahoma City,pts.away,score,pts.home,Minnesota
0:39.0,,,88-92,,N. Pekovic enters the game for G. Dieng
0:35.0,,,88-94,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Prince)
0:14.0,K. Durant makes 2-pt shot from 1 ft,2,90-94,,
0:14.0,Shooting foul by T. Prince (drawn by K. Durant),,90-94,,
0:14.0,K. Durant makes free throw 1 of 1,1,91-94,,
0:02.0,,,91-94,,Turnover by T. Prince (step out of bounds)
0:00.0,K. Durant misses 3-pt shot from 26 ft,,91-94,,
0:00.0,Offensive rebound by Team,,91-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,91-94,,N. Pekovic misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by E. Kanter,,91-94,,
11:37.0,D. Augustin makes 2-pt shot at rim,2,93-94,,
11:21.0,Personal foul by D. Augustin (drawn by N. Bjelica),,93-94,,
11:11.0,,,93-96,2,N. Bjelica makes 2-pt shot at rim
10:51.0,A. Morrow makes 2-pt shot from 15 ft,2,95-96,,
10:29.0,,,95-99,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Pekovic)
10:06.0,N. Collison makes 2-pt shot at rim,2,97-99,,
9:48.0,,,97-99,,N. Bjelica misses 3-pt shot from 27 ft
9:47.0,Defensive rebound by D. Augustin,,97-99,,
9:25.0,S. Ibaka enters the game for N. Collison,,97-99,,
9:22.0,E. Kanter misses 2-pt shot from 22 ft,,97-99,,
9:21.0,,,97-99,,Defensive rebound by S. Muhammad
9:04.0,,,97-99,,S. Muhammad misses 2-pt shot from 2 ft (block by E. Kanter)
9:03.0,Defensive rebound by D. Augustin,,97-99,,
9:01.0,,,97-99,,Personal foul by N. Bjelica (drawn by D. Augustin)
8:49.0,Turnover by D. Augustin (bad pass),,97-99,,
8:49.0,,,97-99,,Minnesota full timeout
8:49.0,,,97-99,,K. Towns enters the game for N. Pekovic
8:34.0,,,97-99,,N. Bjelica misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by E. Kanter,,97-99,,
8:26.0,S. Ibaka misses 2-pt shot from 10 ft,,97-99,,
8:23.0,Offensive rebound by A. Morrow,,97-99,,
8:20.0,K. Singler misses 2-pt shot from 19 ft,,97-99,,
8:19.0,Offensive rebound by E. Kanter,,97-99,,
8:18.0,E. Kanter makes 2-pt shot at rim,2,99-99,,
7:59.0,,,99-99,,Z. LaVine misses 3-pt shot from 22 ft
7:59.0,Defensive rebound by A. Morrow,,99-99,,
7:59.0,,,99-99,,Personal foul by N. Bjelica (drawn by A. Morrow)
7:59.0,,,99-99,,A. Wiggins enters the game for T. Prince
7:37.0,D. Augustin misses 2-pt shot from 3 ft (block by K. Towns),,99-99,,
7:36.0,Offensive rebound by Team,,99-99,,
7:36.0,R. Westbrook enters the game for D. Augustin,,99-99,,
7:36.0,S. Ibaka misses 2-pt shot from 16 ft,,99-99,,
7:35.0,Offensive rebound by Team,,99-99,,
7:35.0,Turnover by Team (shot clock),,99-99,,
7:09.0,,,99-99,,K. Towns misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by R. Westbrook,,99-99,,
7:03.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Towns),,99-99,,
7:02.0,Offensive rebound by E. Kanter,,99-99,,
7:01.0,E. Kanter misses 2-pt shot from 1 ft,,99-99,,
7:00.0,Offensive rebound by E. Kanter,,99-99,,
6:59.0,Shooting foul by N. Bjelica (drawn by E. Kanter),,99-99,,
6:59.0,E. Kanter makes free throw 1 of 2,1,100-99,,
6:59.0,,,100-99,,R. Rubio enters the game for Z. LaVine
6:59.0,E. Kanter makes free throw 2 of 2,1,101-99,,
6:47.0,,,101-99,,G. Dieng enters the game for N. Bjelica
6:36.0,,,101-99,,S. Muhammad misses 3-pt shot from 23 ft
6:34.0,,,101-99,,Offensive rebound by Team
6:34.0,,,101-99,,Turnover by Team (shot clock)
6:26.0,,,101-99,,Violation by K. Towns (kicked ball)
6:20.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,103-99,,
6:20.0,,,103-99,,Minnesota full timeout
6:20.0,K. Durant enters the game for K. Singler,,103-99,,
6:04.0,,,103-99,,Shooting foul by R. Westbrook (drawn by A. Wiggins)
6:04.0,,,103-100,1,A. Wiggins makes free throw 1 of 2
6:04.0,,,103-100,,Z. LaVine enters the game for S. Muhammad
6:04.0,,,103-100,,A. Wiggins misses free throw 2 of 2
6:03.0,Defensive rebound by R. Westbrook,,103-100,,
5:47.0,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook),3,106-100,,
5:26.0,Personal foul by K. Durant (drawn by G. Dieng),,106-100,,
5:21.0,,,106-100,,Turnover by K. Towns (bad pass)
4:59.0,E. Kanter makes 2-pt shot from 14 ft,2,108-100,,
4:47.0,,,108-102,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
4:47.0,,,108-102,,Shooting foul by A. Morrow (drawn by G. Dieng)
4:47.0,,,108-102,,G. Dieng misses free throw 1 of 1
4:46.0,Defensive rebound by R. Westbrook,,108-102,,
4:28.0,K. Durant makes 2-pt shot from 16 ft,2,110-102,,
4:10.0,,,110-102,,R. Rubio misses 3-pt shot from 22 ft
