time,LA Clippers,pts.away,score,pts.home,Denver
7:44.0,,,60-55,,Shooting foul by J. Redick (drawn by N. Jokic)
7:44.0,,,60-57,2,N. Jokic makes 2-pt shot from 3 ft (assist by D. Gallinari)
7:44.0,,,60-58,1,N. Jokic makes free throw 1 of 1
7:36.0,,,60-58,,Personal foul by N. Jokic (drawn by D. Jordan)
7:17.0,B. Griffin makes 3-pt shot from 26 ft (assist by W. Johnson),3,63-58,,
6:56.0,,,63-58,,G. Harris misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by B. Griffin,,63-58,,
6:47.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,65-58,,
6:47.0,Shooting foul by E. Mudiay (drawn by D. Jordan),,65-58,,
6:47.0,D. Jordan misses free throw 1 of 1,,65-58,,
6:44.0,,,65-58,,Defensive rebound by D. Arthur
6:34.0,,,65-60,2,N. Jokic makes 2-pt shot from 15 ft
6:10.0,C. Paul makes 2-pt shot from 17 ft,2,67-60,,
5:44.0,,,67-60,,E. Mudiay misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by B. Griffin,,67-60,,
5:34.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,69-60,,
5:21.0,,,69-60,,J. Nelson enters the game for E. Mudiay
5:07.0,,,69-60,,J. Nelson misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by D. Jordan,,69-60,,
4:55.0,B. Griffin makes 2-pt shot from 22 ft (assist by J. Redick),2,71-60,,
4:55.0,,,71-60,,Denver full timeout
4:37.0,,,71-60,,Shooting foul by W. Johnson (drawn by D. Gallinari)
4:37.0,,,71-61,1,D. Gallinari makes free throw 1 of 2
4:37.0,,,71-62,1,D. Gallinari makes free throw 2 of 2
4:26.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,73-62,,
4:16.0,,,73-62,,Turnover by N. Jokic (bad pass; steal by D. Jordan)
4:16.0,,,73-62,,Personal foul by N. Jokic (drawn by D. Jordan)
4:16.0,D. Jordan makes free throw 1 of 2,1,74-62,,
4:16.0,A. Rivers enters the game for C. Paul,,74-62,,
4:16.0,,,74-62,,J. Hickson enters the game for N. Jokic
4:16.0,J. Crawford enters the game for J. Redick,,74-62,,
4:16.0,D. Jordan makes free throw 2 of 2,1,75-62,,
3:58.0,,,75-62,,Shooting foul by W. Johnson (drawn by G. Harris)
3:58.0,P. Pierce enters the game for W. Johnson,,75-62,,
3:58.0,,,75-65,3,G. Harris makes 3-pt shot from 24 ft
3:58.0,,,75-66,1,G. Harris makes free throw 1 of 1
3:33.0,B. Griffin misses 2-pt shot from 17 ft,,75-66,,
3:33.0,Offensive rebound by D. Jordan,,75-66,,
3:33.0,,,75-66,,Personal foul by J. Nelson (drawn by D. Jordan)
3:33.0,D. Jordan makes free throw 1 of 2,1,76-66,,
3:33.0,D. Jordan misses free throw 2 of 2,,76-66,,
3:32.0,,,76-66,,Defensive rebound by D. Gallinari
3:15.0,,,76-66,,D. Gallinari misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by Team,,76-66,,
3:15.0,J. Smith enters the game for D. Jordan,,76-66,,
2:58.0,A. Rivers misses 3-pt shot from 24 ft,,76-66,,
2:57.0,Offensive rebound by B. Griffin,,76-66,,
2:56.0,B. Griffin misses 2-pt shot from 1 ft,,76-66,,
2:55.0,,,76-66,,Defensive rebound by D. Gallinari
2:54.0,Personal foul by A. Rivers (drawn by D. Arthur),,76-66,,
2:54.0,,,76-66,,W. Barton enters the game for D. Arthur
2:54.0,,,76-66,,M. Miller enters the game for G. Harris
2:38.0,,,76-68,2,J. Hickson makes 2-pt shot from 18 ft
2:17.0,Turnover by J. Smith (lost ball),,76-68,,
2:06.0,,,76-68,,Shooting foul by J. Smith (drawn by J. Hickson)
2:06.0,,,76-69,1,J. Hickson makes free throw 1 of 2
2:06.0,,,76-70,1,J. Hickson makes free throw 2 of 2
1:57.0,Shooting foul by W. Barton (drawn by J. Crawford),,76-70,,
1:57.0,J. Crawford makes free throw 1 of 2,1,77-70,,
