time,LA Lakers,pts.away,score,pts.home,Brooklyn
8:07.0,,,84-79,,Personal foul by S. Larkin (drawn by N. Young)
7:58.0,N. Young makes 3-pt shot from 24 ft (assist by L. Williams),3,87-79,,
7:35.0,,,87-79,,Turnover by J. Johnson (lost ball; steal by M. World Peace)
7:32.0,N. Young makes 2-pt shot from 1 ft,2,89-79,,
7:31.0,,,89-79,,Brooklyn full timeout
7:31.0,,,89-79,,J. Jack enters the game for S. Larkin
7:15.0,,,89-81,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack)
6:55.0,N. Young makes 3-pt shot from 24 ft (assist by M. World Peace),3,92-81,,
6:42.0,,,92-81,,Shooting foul by N. Young (drawn by J. Johnson)
6:42.0,,,92-82,1,J. Johnson makes free throw 1 of 2
6:42.0,,,92-82,,T. Young enters the game for B. Bogdanovic
6:42.0,,,92-83,1,J. Johnson makes free throw 2 of 2
