time,Indiana,pts.away,score,pts.home,Minnesota
11:04.0,,,68-70,1,S. Muhammad makes free throw 2 of 2
10:50.0,J. Hill makes 2-pt shot from 5 ft,2,70-70,,
10:37.0,,,70-70,,Turnover by K. Towns (bad pass)
10:20.0,G. Hill makes 3-pt shot from 24 ft (assist by J. Hill),3,73-70,,
9:57.0,,,73-70,,Z. LaVine misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by R. Stuckey,,73-70,,
9:51.0,G. Hill makes 2-pt shot at rim (assist by R. Stuckey),2,75-70,,
9:50.0,,,75-70,,Minnesota full timeout
9:50.0,,,75-70,,G. Dieng enters the game for A. Payne
9:50.0,,,75-70,,R. Rubio enters the game for T. Jones
9:27.0,,,75-70,,Z. LaVine misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by L. Allen,,75-70,,
9:24.0,C. Budinger makes 2-pt shot at rim (assist by G. Hill),2,77-70,,
9:09.0,,,77-72,2,Z. LaVine makes 2-pt shot from 19 ft
8:48.0,G. Hill misses 3-pt shot from 23 ft,,77-72,,
8:47.0,,,77-72,,Defensive rebound by S. Muhammad
8:37.0,,,77-72,,Z. LaVine misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by Team,,77-72,,
8:24.0,,,77-72,,Personal foul by K. Towns (drawn by J. Hill)
8:13.0,C. Budinger makes 3-pt shot from 22 ft (assist by R. Stuckey),3,80-72,,
7:57.0,,,80-72,,Offensive foul by G. Dieng
7:57.0,,,80-72,,Turnover by G. Dieng (offensive foul)
7:57.0,,,80-72,,A. Wiggins enters the game for S. Muhammad
7:43.0,J. Hill misses 2-pt shot at rim,,80-72,,
7:42.0,,,80-72,,Defensive rebound by G. Dieng
7:32.0,,,80-72,,Shooting foul by J. Hill (drawn by Z. LaVine)
7:32.0,,,80-73,1,Z. LaVine makes free throw 1 of 2
7:32.0,,,80-74,1,Z. LaVine makes free throw 2 of 2
7:20.0,C. Budinger makes 2-pt shot from 1 ft (assist by R. Stuckey),2,82-74,,
7:06.0,,,82-74,,Turnover by R. Rubio (bad pass)
6:50.0,L. Allen misses 2-pt shot from 7 ft,,82-74,,
6:48.0,Offensive rebound by Team,,82-74,,
6:45.0,Turnover by C. Budinger (bad pass; steal by R. Rubio),,82-74,,
6:40.0,,,82-76,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
6:18.0,Turnover by J. Hill (offensive foul),,82-76,,
6:18.0,Offensive foul by J. Hill,,82-76,,
6:18.0,M. Ellis enters the game for G. Hill,,82-76,,
6:07.0,,,82-78,2,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio)
6:07.0,,,82-78,,Shooting foul by J. Hill (drawn by A. Wiggins)
6:07.0,,,82-79,1,A. Wiggins makes free throw 1 of 1
5:45.0,M. Ellis makes 2-pt shot from 21 ft,2,84-79,,
5:25.0,,,84-79,,K. Towns misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by J. Hill,,84-79,,
5:16.0,Turnover by M. Ellis (lost ball; steal by R. Rubio),,84-79,,
5:16.0,,,84-79,,Minnesota full timeout
5:16.0,,,84-79,,Minnesota full timeout
5:16.0,I. Mahinmi enters the game for J. Hill,,84-79,,
