time,Chicago,pts.away,score,pts.home,Brooklyn
4:56.0,,,72-63,,Personal foul by T. Young (drawn by N. Mirotic)
4:56.0,N. Mirotic makes free throw 1 of 2,1,73-63,,
4:56.0,,,73-63,,A. Bargnani enters the game for T. Young
4:56.0,A. Brooks enters the game for D. Rose,,73-63,,
4:56.0,E. Moore enters the game for T. Snell,,73-63,,
4:56.0,N. Mirotic makes free throw 2 of 2,1,74-63,,
4:46.0,,,74-63,,D. Sloan misses 2-pt shot from 1 ft
4:45.0,,,74-63,,Offensive rebound by D. Sloan
4:39.0,,,74-63,,J. Johnson misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by P. Gasol,,74-63,,
4:29.0,A. Brooks makes 2-pt shot from 4 ft,2,76-63,,
4:17.0,,,76-63,,J. Johnson misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by P. Gasol,,76-63,,
4:02.0,N. Mirotic makes 3-pt shot from 26 ft,3,79-63,,
3:45.0,,,79-63,,B. Lopez misses 2-pt shot from 13 ft
3:44.0,Defensive rebound by Team,,79-63,,
3:44.0,,,79-63,,Loose ball foul by A. Bargnani (drawn by N. Mirotic)
3:44.0,N. Mirotic makes free throw 1 of 2,1,80-63,,
3:44.0,J. Noah enters the game for P. Gasol,,80-63,,
3:44.0,D. McDermott enters the game for J. Butler,,80-63,,
3:44.0,N. Mirotic makes free throw 2 of 2,1,81-63,,
3:23.0,,,81-63,,D. Sloan misses 2-pt shot from 1 ft
3:22.0,,,81-63,,Offensive rebound by A. Bargnani
3:21.0,,,81-63,,A. Bargnani misses 2-pt shot at rim
3:20.0,,,81-63,,Offensive rebound by B. Lopez
3:18.0,,,81-65,2,B. Lopez makes 2-pt shot from 2 ft
2:58.0,N. Mirotic misses 3-pt shot from 25 ft,,81-65,,
2:57.0,,,81-65,,Defensive rebound by B. Bogdanovic
2:53.0,,,81-65,,B. Bogdanovic misses 2-pt shot from 9 ft
2:52.0,Defensive rebound by N. Mirotic,,81-65,,
2:40.0,A. Brooks makes 3-pt shot from 26 ft (assist by J. Noah),3,84-65,,
2:35.0,,,84-65,,Brooklyn full timeout
2:35.0,Chicago full timeout,,84-65,,
2:35.0,,,84-65,,T. Robinson enters the game for B. Lopez
2:35.0,,,84-65,,R. Hollis-Jefferson enters the game for J. Johnson
2:27.0,Personal foul by N. Mirotic (drawn by A. Bargnani),,84-65,,
2:19.0,,,84-65,,Shooting foul by N. Mirotic (drawn by A. Bargnani)
2:19.0,,,84-66,1,A. Bargnani makes free throw 1 of 2
2:19.0,,,84-67,1,A. Bargnani makes free throw 2 of 2
1:59.0,Turnover by N. Mirotic (bad pass; steal by A. Bargnani),,84-67,,
1:46.0,,,84-67,,A. Bargnani misses 2-pt shot from 1 ft
1:45.0,,,84-67,,Offensive rebound by A. Bargnani
1:43.0,,,84-69,2,A. Bargnani makes 2-pt shot from 3 ft
1:26.0,D. McDermott makes 2-pt shot from 1 ft (assist by A. Brooks),2,86-69,,
1:06.0,,,86-69,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
1:05.0,Defensive rebound by J. Noah,,86-69,,
0:51.0,D. McDermott misses 3-pt shot from 25 ft,,86-69,,
