time,Utah,pts.away,score,pts.home,Denver
4:53.0,,,82-90,,Turnover by N. Jokic (bad pass; steal by A. Burks)
4:40.0,R. Gobert makes 2-pt shot at rim (assist by B. Diaw),2,84-90,,
4:40.0,,,84-90,,Denver full timeout
4:21.0,,,84-90,,N. Jokic misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by R. Gobert,,84-90,,
4:14.0,Turnover by G. Hill (traveling),,84-90,,
3:55.0,,,84-92,2,J. Nelson makes 2-pt shot from 17 ft
3:42.0,B. Diaw misses 3-pt shot from 24 ft,,84-92,,
3:37.0,Offensive rebound by R. Gobert,,84-92,,
3:37.0,R. Gobert makes 2-pt shot from 1 ft,2,86-92,,
3:25.0,,,86-92,,G. Harris misses 3-pt shot from 23 ft
3:24.0,Defensive rebound by R. Gobert,,86-92,,
3:16.0,G. Hill misses 3-pt shot from 26 ft,,86-92,,
3:14.0,,,86-92,,Defensive rebound by D. Gallinari
3:06.0,,,86-92,,D. Gallinari misses 2-pt shot from 16 ft
