time,Portland,pts.away,score,pts.home,Detroit
6:01.0,,,69-62,1,M. Morris makes free throw 2 of 2
5:44.0,C. McCollum makes 2-pt shot from 5 ft,2,71-62,,
5:30.0,,,71-62,,J. Leuer misses 3-pt shot from 27 ft
5:29.0,,,71-62,,Offensive rebound by A. Drummond
5:12.0,,,71-62,,J. Leuer misses 2-pt shot from 19 ft
5:11.0,,,71-62,,Offensive rebound by A. Drummond
5:06.0,,,71-62,,A. Drummond misses 2-pt shot from 7 ft
5:06.0,Defensive rebound by J. Nurkic,,71-62,,
4:57.0,D. Lillard makes 2-pt shot from 1 ft,2,73-62,,
4:34.0,,,73-62,,M. Morris misses 2-pt shot from 16 ft
4:34.0,Defensive rebound by D. Lillard,,73-62,,
4:15.0,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum),2,75-62,,
4:02.0,,,75-62,,R. Jackson misses 2-pt shot from 1 ft
4:02.0,,,75-62,,Offensive rebound by A. Drummond
4:02.0,,,75-62,,Shooting foul by C. McCollum (drawn by A. Drummond)
4:02.0,,,75-63,1,A. Drummond makes free throw 1 of 2
4:02.0,,,75-64,1,A. Drummond makes free throw 2 of 2
4:02.0,,,75-63,,T. Harris enters the game for J. Leuer
4:02.0,,,75-63,,I. Smith enters the game for R. Jackson
4:02.0,A. Crabbe enters the game for J. Nurkic,,75-63,,
4:02.0,M. Leonard enters the game for C. McCollum,,75-63,,
3:47.0,D. Lillard misses 2-pt shot from 14 ft,,75-64,,
3:47.0,Offensive rebound by Team,,75-64,,
3:47.0,,,75-64,,A. Baynes enters the game for A. Drummond
3:36.0,M. Harkless misses 2-pt shot from 5 ft,,75-64,,
3:36.0,,,75-64,,Defensive rebound by A. Baynes
3:26.0,,,75-64,,Shooting foul by N. Vonleh (drawn by A. Baynes)
3:26.0,,,75-65,1,A. Baynes makes free throw 1 of 2
3:26.0,,,75-66,1,A. Baynes makes free throw 2 of 2
3:26.0,,,75-66,,Personal foul by M. Morris (drawn by M. Leonard)
3:26.0,Personal foul by M. Leonard,,75-66,,
3:26.0,A. Aminu enters the game for N. Vonleh,,75-65,,
3:26.0,,,75-65,,S. Johnson enters the game for K. Caldwell-Pope
3:08.0,A. Crabbe makes 2-pt shot from 7 ft (assist by M. Harkless),2,77-66,,
2:58.0,,,77-66,,I. Smith misses 2-pt shot from 9 ft
2:57.0,,,77-66,,Offensive rebound by A. Baynes
2:56.0,,,77-66,,A. Baynes misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by A. Aminu,,77-66,,
2:47.0,,,77-66,,Personal foul by A. Baynes (drawn by D. Lillard)
2:47.0,Portland full timeout,,77-66,,
2:42.0,Turnover by D. Lillard (bad pass; steal by I. Smith),,77-66,,
2:28.0,,,77-66,,T. Harris misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by D. Lillard,,77-66,,
