time,Boston,pts.away,score,pts.home,New York
8:50.0,,,94-71,,M. Plumlee enters the game for K. O'Quinn
8:37.0,,,94-71,,M. Ndour misses 2-pt shot from 3 ft (block by K. Olynyk)
8:35.0,,,94-71,,Offensive rebound by M. Plumlee
8:33.0,,,94-71,,C. Randle misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by Team,,94-71,,
8:12.0,M. Smart misses 3-pt shot from 23 ft,,94-71,,
8:11.0,Offensive rebound by J. Jerebko,,94-71,,
8:05.0,M. Smart makes 2-pt shot at rim (assist by T. Rozier),2,96-71,,
7:49.0,,,96-71,,J. Holiday misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by J. Jerebko,,96-71,,
7:44.0,,,96-71,,Personal foul by C. Randle (drawn by J. Brown)
7:44.0,,,96-71,,R. Baker enters the game for J. Holiday
7:39.0,,,96-71,,Personal foul by M. Ndour (drawn by J. Brown)
7:39.0,J. Brown makes free throw 1 of 2,1,97-71,,
7:39.0,J. Brown makes free throw 2 of 2,1,98-71,,
7:39.0,J. Young enters the game for M. Smart,,97-71,,
7:24.0,,,98-74,3,C. Randle makes 3-pt shot from 26 ft (assist by M. Kuzminskas)
7:05.0,Turnover by K. Olynyk (lost ball; steal by R. Baker),,98-74,,
7:01.0,Violation by T. Rozier (kicked ball),,98-74,,
6:52.0,,,98-74,,M. Ndour misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by K. Olynyk,,98-74,,
6:42.0,T. Rozier misses 3-pt shot from 25 ft,,98-74,,
6:41.0,,,98-74,,Defensive rebound by M. Plumlee
6:31.0,,,98-74,,Turnover by M. Plumlee (bad pass; steal by J. Young)
6:12.0,J. Brown makes 2-pt shot at rim (assist by K. Olynyk),2,100-74,,
6:12.0,,,100-74,,New York full timeout
6:12.0,G. Green enters the game for J. Brown,,100-74,,
5:56.0,Personal foul by J. Young (drawn by M. Kuzminskas),,100-74,,
5:56.0,Official timeout,,100-74,,
5:44.0,,,100-77,3,M. Kuzminskas makes 3-pt shot from 25 ft
5:21.0,K. Olynyk makes 2-pt shot from 15 ft,2,102-77,,
5:11.0,,,102-80,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by C. Randle)
4:42.0,J. Young misses 3-pt shot from 24 ft,,102-80,,
4:40.0,,,102-80,,Defensive rebound by M. Plumlee
4:30.0,Personal foul by J. Young (drawn by M. Kuzminskas),,102-80,,
4:30.0,T. Zeller enters the game for K. Olynyk,,102-80,,
4:19.0,,,102-80,,M. Ndour misses 2-pt shot from 17 ft
4:17.0,Defensive rebound by J. Young,,102-80,,
4:04.0,J. Jerebko misses 3-pt shot from 24 ft,,102-80,,
4:02.0,,,102-80,,Defensive rebound by Team
3:50.0,,,102-82,2,C. Randle makes 2-pt shot from 2 ft
