time,Detroit,pts.away,score,pts.home,Miami
5:25.0,R. Jackson makes 2-pt shot from 19 ft,2,68-73,,
5:10.0,,,68-73,,T. Johnson misses 2-pt shot from 15 ft
5:09.0,Defensive rebound by A. Drummond,,68-73,,
4:58.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by J. Leuer),3,71-73,,
4:58.0,,,71-73,,Miami full timeout
4:58.0,,,71-73,,U. Haslem enters the game for W. Reed
4:35.0,,,71-73,,U. Haslem misses 2-pt shot from 3 ft
4:34.0,Defensive rebound by A. Drummond,,71-73,,
4:24.0,A. Drummond makes 2-pt shot from 9 ft (assist by J. Leuer),2,73-73,,
4:09.0,,,73-73,,T. Johnson misses 2-pt shot from 20 ft
4:08.0,Defensive rebound by K. Caldwell-Pope,,73-73,,
4:01.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,75-73,,
3:43.0,,,75-76,3,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson)
3:28.0,Offensive foul by A. Drummond,,75-76,,
3:28.0,Turnover by A. Drummond (offensive foul),,75-76,,
3:28.0,,,75-76,,J. Richardson enters the game for R. McGruder
3:28.0,I. Smith enters the game for A. Drummond,,75-76,,
3:28.0,A. Baynes enters the game for R. Jackson,,75-76,,
3:12.0,,,75-79,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Johnson)
2:57.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,77-79,,
2:47.0,,,77-79,,T. Johnson misses 2-pt shot from 20 ft
2:46.0,Defensive rebound by A. Baynes,,77-79,,
2:35.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,77-79,,
2:34.0,,,77-79,,Defensive rebound by J. Johnson
2:22.0,,,77-79,,W. Ellington misses 2-pt shot from 17 ft
2:21.0,Defensive rebound by I. Smith,,77-79,,
2:15.0,Turnover by J. Leuer (lost ball; steal by U. Haslem),,77-79,,
2:04.0,,,77-79,,J. Richardson misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by K. Caldwell-Pope,,77-79,,
1:52.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith),3,80-79,,
1:31.0,,,80-79,,Shooting foul by T. Harris (drawn by U. Haslem)
1:31.0,,,80-80,1,U. Haslem makes free throw 1 of 2
1:31.0,,,80-81,1,U. Haslem makes free throw 2 of 2
1:31.0,M. Morris enters the game for J. Leuer,,80-80,,
1:31.0,,,80-80,,R. McGruder enters the game for W. Ellington
1:12.0,Offensive foul by A. Baynes,,80-81,,
1:12.0,Turnover by A. Baynes (offensive foul),,80-81,,
0:57.0,,,80-81,,J. Johnson misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by T. Harris,,80-81,,
0:45.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,82-81,,
0:27.0,,,82-81,,J. Johnson misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by A. Baynes,,82-81,,
0:21.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,85-81,,
