time,Charlotte,pts.away,score,pts.home,Utah
0:04.0,,,79-73,2,R. Gobert makes 2-pt shot at rim
0:00.0,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams),3,82-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-76,3,J. Johnson makes 3-pt shot from 24 ft
11:26.0,J. Lamb makes 2-pt shot from 16 ft (assist by B. Roberts),2,84-76,,
11:02.0,,,84-76,,J. Johnson misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by B. Roberts,,84-76,,
10:43.0,M. Williams misses 3-pt shot from 24 ft,,84-76,,
10:42.0,,,84-76,,Defensive rebound by J. Ingles
10:31.0,,,84-76,,G. Hayward misses 3-pt shot from 24 ft
10:30.0,,,84-76,,Offensive rebound by R. Gobert
10:30.0,,,84-76,,R. Gobert misses 2-pt shot from 2 ft
10:30.0,,,84-76,,Offensive rebound by R. Gobert
10:29.0,,,84-76,,Shooting foul by J. Lamb (drawn by R. Gobert)
10:29.0,,,84-77,1,R. Gobert makes free throw 1 of 2
10:29.0,,,84-77,,R. Gobert misses free throw 2 of 2
10:29.0,Defensive rebound by J. Lamb,,84-77,,
10:11.0,J. Lamb makes 2-pt shot from 19 ft,2,86-77,,
10:03.0,Personal foul by J. Lamb (drawn by J. Ingles),,86-77,,
9:53.0,,,86-77,,Shooting foul by M. Plumlee (drawn by G. Hayward)
9:53.0,,,86-78,1,G. Hayward makes free throw 1 of 2
9:53.0,,,86-79,1,G. Hayward makes free throw 2 of 2
9:36.0,J. Lamb misses 3-pt shot from 24 ft,,86-79,,
9:35.0,,,86-79,,Defensive rebound by J. Ingles
9:29.0,,,86-82,3,G. Hill makes 3-pt shot from 24 ft
9:07.0,M. Belinelli makes 3-pt shot from 24 ft (assist by B. Roberts),3,89-82,,
8:50.0,,,89-82,,J. Ingles misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by M. Williams,,89-82,,
8:38.0,M. Williams makes 3-pt shot from 25 ft (assist by B. Roberts),3,92-82,,
8:37.0,,,92-82,,Utah full timeout
8:37.0,F. Kaminsky enters the game for M. Plumlee,,92-82,,
8:37.0,N. Batum enters the game for J. Lamb,,92-82,,
8:37.0,,,92-82,,D. Exum enters the game for J. Ingles
8:25.0,,,92-82,,Turnover by G. Hayward (bad pass)
8:10.0,M. Belinelli misses 3-pt shot from 25 ft,,92-82,,
8:09.0,,,92-82,,Defensive rebound by R. Gobert
8:04.0,Personal foul by B. Roberts (drawn by G. Hill),,92-82,,
7:57.0,,,92-82,,Shooting foul by F. Kaminsky (drawn by G. Hill)
7:57.0,,,92-83,1,G. Hill makes free throw 1 of 2
7:57.0,,,92-84,1,G. Hill makes free throw 2 of 2
7:47.0,N. Batum misses 3-pt shot from 24 ft,,92-84,,
7:47.0,,,92-84,,Defensive rebound by R. Gobert
7:37.0,,,92-87,3,G. Hill makes 3-pt shot from 25 ft (assist by J. Johnson)
7:16.0,M. Belinelli misses 2-pt shot from 2 ft,,92-87,,
7:15.0,,,92-87,,Defensive rebound by G. Hayward
7:07.0,,,92-87,,R. Gobert misses 2-pt shot from 6 ft
7:06.0,,,92-87,,Offensive rebound by G. Hayward
7:05.0,,,92-89,2,G. Hayward makes 2-pt shot from 1 ft
7:05.0,Charlotte full timeout,,92-89,,
7:05.0,K. Walker enters the game for M. Belinelli,,92-89,,
7:05.0,M. Kidd-Gilchrist enters the game for B. Roberts,,92-89,,
6:47.0,F. Kaminsky misses 2-pt shot from 8 ft,,92-89,,
6:47.0,,,92-89,,Defensive rebound by Team
6:47.0,Loose ball foul by N. Batum (drawn by R. Gobert),,92-89,,
6:47.0,,,92-89,,R. Gobert misses free throw 1 of 2
6:47.0,,,92-89,,Offensive rebound by Team
6:47.0,,,92-89,,R. Gobert misses free throw 2 of 2
6:47.0,Defensive rebound by M. Kidd-Gilchrist,,92-89,,
6:28.0,K. Walker misses 2-pt shot from 2 ft,,92-89,,
6:28.0,,,92-89,,Defensive rebound by Team
6:18.0,,,92-89,,G. Hill misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by M. Williams,,92-89,,
6:02.0,N. Batum misses 2-pt shot from 17 ft,,92-89,,
6:02.0,,,92-89,,Defensive rebound by R. Gobert
5:52.0,,,92-91,2,G. Hayward makes 2-pt shot from 16 ft
5:34.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,94-91,,
5:10.0,,,94-91,,J. Johnson misses 3-pt shot from 24 ft
