time,Cleveland,pts.away,score,pts.home,Chicago
6:56.0,Turnover by L. James (bad pass; steal by J. Butler),,78-86,,
6:48.0,,,78-88,2,J. Butler makes 2-pt shot from 12 ft (assist by N. Mirotic)
6:24.0,,,78-88,,Personal foul by M. Carter-Williams (drawn by K. Irving)
6:24.0,K. Love enters the game for C. Frye,,78-88,,
6:19.0,K. Irving makes 3-pt shot from 25 ft (assist by K. Love),3,81-88,,
6:08.0,,,81-90,2,J. Butler makes 2-pt shot from 12 ft
6:08.0,,,81-90,,Shooting foul by K. Love (drawn by J. Butler)
6:08.0,,,81-90,,J. Butler misses free throw 1 of 1
6:08.0,T. Thompson enters the game for K. Love,,81-90,,
6:08.0,,,81-90,,R. Rondo enters the game for M. Carter-Williams
6:06.0,Defensive rebound by I. Shumpert,,81-90,,
5:58.0,,,81-90,,Personal foul by B. Portis (drawn by T. Thompson)
5:58.0,Cleveland full timeout,,81-90,,
5:58.0,C. Frye enters the game for I. Shumpert,,81-90,,
5:58.0,,,81-90,,R. Lopez enters the game for B. Portis
5:44.0,K. Irving misses 2-pt shot from 18 ft,,81-90,,
5:43.0,,,81-90,,Defensive rebound by J. Butler
5:27.0,,,81-90,,Offensive foul by R. Lopez
5:27.0,,,81-90,,Turnover by R. Lopez (offensive foul)
5:20.0,,,81-90,,Def 3 sec tech foul by R. Lopez
5:20.0,K. Irving makes technical free throw,1,82-90,,
5:07.0,J. Smith misses 3-pt shot from 25 ft,,82-90,,
5:06.0,,,82-90,,Defensive rebound by N. Mirotic
4:49.0,,,82-90,,J. Butler misses 2-pt shot from 14 ft
4:48.0,Defensive rebound by L. James,,82-90,,
4:40.0,L. James misses 3-pt shot from 26 ft,,82-90,,
4:39.0,,,82-90,,Defensive rebound by N. Mirotic
4:29.0,,,82-90,,Turnover by J. Butler (bad pass; steal by J. Smith)
4:28.0,Shooting foul by R. Rondo (drawn by L. James),,82-90,,
4:28.0,L. James makes free throw 1 of 3,1,83-90,,
4:28.0,L. James misses free throw 2 of 3,,83-90,,
4:28.0,Offensive rebound by Team,,83-90,,
4:28.0,L. James misses free throw 3 of 3,,83-90,,
4:25.0,,,83-90,,Defensive rebound by D. Valentine
4:07.0,,,83-90,,R. Lopez misses 2-pt shot from 19 ft
4:07.0,,,83-90,,Offensive rebound by Team
4:01.0,,,83-92,2,J. Butler makes 2-pt shot from 17 ft (assist by R. Rondo)
3:42.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,86-92,,
3:14.0,,,86-94,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler)
2:59.0,L. James misses 3-pt shot from 24 ft,,86-94,,
2:57.0,,,86-94,,Defensive rebound by D. Valentine
2:42.0,Personal foul by K. Irving (drawn by J. Butler),,86-94,,
