time,Brooklyn,pts.away,score,pts.home,Orlando
7:37.0,,,64-57,,N. Vucevic misses 2-pt shot from 13 ft (block by B. Lopez)
7:36.0,,,64-57,,Offensive rebound by N. Vucevic
7:35.0,,,64-57,,N. Vucevic misses 2-pt shot from 11 ft
7:35.0,,,64-57,,Offensive rebound by Team
7:35.0,Loose ball foul by T. Booker (drawn by S. Ibaka),,64-57,,
7:31.0,,,64-57,,Turnover by N. Vucevic (bad pass; steal by B. Lopez)
7:20.0,B. Lopez makes 2-pt shot at rim (assist by I. Whitehead),2,66-57,,
7:04.0,,,66-57,,N. Vucevic misses 2-pt shot from 4 ft (block by B. Lopez)
7:04.0,,,66-57,,Offensive rebound by Team
7:01.0,,,66-57,,D. Augustin misses 3-pt shot from 22 ft
7:00.0,Defensive rebound by T. Booker,,66-57,,
6:54.0,Turnover by B. Lopez (bad pass),,66-57,,
6:33.0,,,66-57,,Turnover by S. Ibaka (offensive goaltending)
6:21.0,Turnover by B. Lopez (lost ball; steal by N. Vucevic),,66-57,,
6:16.0,,,66-59,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier)
6:16.0,,,66-59,,Shooting foul by B. Bogdanovic (drawn by N. Vucevic)
6:16.0,,,66-60,1,N. Vucevic makes free throw 1 of 1
6:16.0,A. Bennett enters the game for B. Lopez,,66-59,,
6:11.0,,,66-60,,Personal foul by E. Fournier (drawn by S. Kilpatrick)
6:11.0,,,66-60,,Technical foul by E. Fournier (drawn by S. Kilpatrick)
6:11.0,B. Bogdanovic makes technical free throw,1,67-60,,
6:09.0,Offensive foul by A. Bennett,,67-60,,
6:09.0,Turnover by A. Bennett (offensive foul),,67-60,,
5:55.0,,,67-60,,Turnover by D. Augustin (bad pass; steal by T. Booker)
5:50.0,B. Bogdanovic misses 2-pt shot from 13 ft,,67-60,,
5:48.0,,,67-60,,Defensive rebound by E. Fournier
5:40.0,,,67-60,,Turnover by E. Fournier (lost ball; steal by S. Kilpatrick)
5:26.0,S. Kilpatrick misses 3-pt shot from 25 ft,,67-60,,
5:26.0,,,67-60,,Defensive rebound by S. Ibaka
5:18.0,,,67-60,,D. Augustin misses 2-pt shot from 5 ft
5:17.0,,,67-60,,Offensive rebound by N. Vucevic
5:08.0,,,67-62,2,D. Augustin makes 2-pt shot from 2 ft
5:08.0,,,67-62,,Shooting foul by B. Bogdanovic (drawn by D. Augustin)
5:08.0,,,67-63,1,D. Augustin makes free throw 1 of 1
5:08.0,J. Harris enters the game for B. Bogdanovic,,67-62,,
5:08.0,R. Hollis-Jefferson enters the game for S. Kilpatrick,,67-62,,
5:08.0,J. Lin enters the game for I. Whitehead,,67-62,,
5:08.0,,,67-62,,J. Meeks enters the game for E. Fournier
4:51.0,Shooting foul by S. Ibaka (drawn by J. Harris),,67-63,,
4:51.0,J. Harris makes free throw 1 of 3,1,68-63,,
4:51.0,J. Harris makes free throw 2 of 3,1,69-63,,
4:51.0,J. Harris makes free throw 3 of 3,1,70-63,,
4:51.0,,,69-63,,E. Payton enters the game for D. Augustin
4:33.0,,,70-65,2,S. Ibaka makes 2-pt shot from 18 ft (assist by E. Payton)
4:14.0,,,70-65,,Personal foul by S. Ibaka (drawn by A. Bennett)
4:14.0,A. Bennett misses free throw 1 of 2,,70-65,,
4:14.0,Offensive rebound by Team,,70-65,,
4:14.0,A. Bennett makes free throw 2 of 2,1,71-65,,
3:57.0,,,71-67,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton)
3:33.0,J. Lin misses 3-pt shot from 24 ft,,71-67,,
3:33.0,,,71-67,,Defensive rebound by E. Payton
3:25.0,,,71-67,,J. Green misses 2-pt shot from 22 ft
3:24.0,,,71-67,,Offensive rebound by Team
3:17.0,,,71-70,3,S. Ibaka makes 3-pt shot from 24 ft (assist by N. Vucevic)
3:03.0,Shooting foul by S. Ibaka (drawn by A. Bennett),,71-70,,
3:03.0,A. Bennett makes free throw 1 of 2,1,72-70,,
3:03.0,A. Bennett makes free throw 2 of 2,1,73-70,,
3:03.0,,,72-70,,A. Gordon enters the game for S. Ibaka
3:03.0,B. Lopez enters the game for T. Booker,,72-70,,
2:54.0,,,73-70,,Shooting foul by J. Harris (drawn by J. Meeks)
2:54.0,Brooklyn full timeout,,73-70,,
2:54.0,,,73-71,1,J. Meeks makes free throw 1 of 2
2:54.0,,,73-71,,J. Meeks misses free throw 2 of 2
2:52.0,Defensive rebound by R. Hollis-Jefferson,,73-71,,
2:33.0,Turnover by A. Bennett (bad pass; steal by A. Gordon),,73-71,,
2:30.0,,,73-73,2,A. Gordon makes 2-pt shot at rim
2:30.0,,,73-73,,Shooting foul by R. Hollis-Jefferson (drawn by A. Gordon)
2:30.0,,,73-74,1,A. Gordon makes free throw 1 of 1
2:13.0,J. Lin makes 2-pt shot from 1 ft,2,75-74,,
2:02.0,,,75-76,2,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton)
1:52.0,Shooting foul by E. Payton (drawn by J. Lin),,75-76,,
1:52.0,J. Lin makes free throw 1 of 2,1,76-76,,
1:52.0,J. Lin makes free throw 2 of 2,1,77-76,,
1:33.0,,,77-76,,E. Payton misses 3-pt shot from 22 ft
1:32.0,Defensive rebound by R. Hollis-Jefferson,,77-76,,
1:26.0,Offensive foul by J. Lin,,77-76,,
1:26.0,Turnover by J. Lin (offensive foul),,77-76,,
1:11.0,,,77-76,,J. Green misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by J. Lin,,77-76,,
1:02.0,B. Lopez makes 2-pt shot from 10 ft (assist by J. Lin),2,79-76,,
1:02.0,Shooting foul by N. Vucevic (drawn by B. Lopez),,79-76,,
1:02.0,B. Lopez makes free throw 1 of 1,1,80-76,,
0:53.0,,,80-78,2,J. Green makes 2-pt shot at rim (assist by A. Gordon)
0:53.0,,,80-78,,Technical foul by E. Payton
0:53.0,B. Lopez makes technical free throw,1,81-78,,
0:42.0,B. Lopez misses 2-pt shot from 6 ft (block by N. Vucevic),,81-78,,
0:42.0,,,81-78,,Defensive rebound by N. Vucevic
0:42.0,Loose ball foul by B. Lopez (drawn by N. Vucevic),,81-78,,
0:42.0,,,81-78,,Technical foul by N. Vucevic
0:42.0,B. Lopez makes technical free throw,1,82-78,,
0:42.0,,,82-79,1,N. Vucevic makes free throw 1 of 2
0:42.0,,,82-79,,N. Vucevic misses free throw 2 of 2
0:41.0,,,82-79,,Offensive rebound by A. Gordon
0:41.0,,,82-79,,Shooting foul by B. Lopez (drawn by N. Vucevic)
0:41.0,,,82-80,1,A. Gordon makes free throw 1 of 2
0:41.0,,,82-81,1,A. Gordon makes free throw 2 of 2
0:33.0,J. Lin misses 2-pt shot from 4 ft (block by N. Vucevic),,82-81,,
0:32.0,,,82-81,,Defensive rebound by E. Payton
0:27.0,,,82-83,2,E. Payton makes 2-pt shot from 7 ft
0:06.0,J. Lin misses 2-pt shot from 9 ft,,82-83,,
0:05.0,,,82-83,,Defensive rebound by E. Payton
0:00.0,,,82-83,,A. Gordon misses 3-pt shot from 27 ft
0:00.0,,,82-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by B. Bogdanovic (bad pass),,82-83,,
11:27.0,,,82-83,,J. Meeks misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by C. LeVert,,82-83,,
11:21.0,B. Bogdanovic misses 3-pt shot from 26 ft,,82-83,,
11:20.0,,,82-83,,Defensive rebound by E. Payton
11:02.0,,,82-83,,J. Green misses 3-pt shot from 26 ft
