time,LA Clippers,pts.away,score,pts.home,Sacramento
8:12.0,,,82-81,,Defensive rebound by G. Temple
8:03.0,,,82-81,,Turnover by T. Lawson (bad pass; steal by C. Paul)
8:01.0,,,82-81,,Personal foul by G. Temple (drawn by C. Paul)
8:01.0,Official timeout,,82-81,,
8:01.0,A. Rivers enters the game for R. Felton,,82-81,,
7:40.0,A. Rivers makes 3-pt shot from 26 ft (assist by C. Paul),3,85-81,,
7:14.0,,,85-81,,A. Afflalo misses 2-pt shot from 12 ft
7:14.0,Defensive rebound by C. Paul,,85-81,,
6:57.0,A. Rivers misses 2-pt shot from 4 ft (block by K. Koufos),,85-81,,
6:54.0,,,85-81,,Defensive rebound by R. Gay
6:50.0,,,85-81,,G. Temple misses 2-pt shot from 5 ft
6:48.0,,,85-81,,Offensive rebound by G. Temple
6:48.0,,,85-81,,G. Temple misses 2-pt shot from 2 ft
6:48.0,Defensive rebound by W. Johnson,,85-81,,
6:33.0,M. Speights makes 3-pt shot from 25 ft (assist by C. Paul),3,88-81,,
6:16.0,,,88-83,2,T. Lawson makes 2-pt shot from 19 ft
6:03.0,,,88-83,,Personal foul by K. Koufos (drawn by C. Paul)
6:03.0,,,88-83,,D. Collison enters the game for A. Afflalo
6:03.0,,,88-83,,D. Cousins enters the game for K. Koufos
5:52.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,91-83,,
5:51.0,,,91-83,,Sacramento full timeout
5:51.0,J. Redick enters the game for C. Paul,,91-83,,
5:29.0,,,91-85,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
5:12.0,M. Speights misses 3-pt shot from 25 ft,,91-85,,
5:12.0,,,91-85,,Defensive rebound by T. Lawson
5:04.0,,,91-85,,R. Gay misses 3-pt shot from 25 ft
5:04.0,,,91-85,,Offensive rebound by G. Temple
4:58.0,,,91-87,2,R. Gay makes 2-pt shot from 8 ft (assist by T. Lawson)
4:58.0,,,91-87,,Shooting foul by M. Speights (drawn by R. Gay)
4:58.0,,,91-88,1,R. Gay makes free throw 1 of 1
4:58.0,D. Jordan enters the game for M. Speights,,91-87,,
4:39.0,A. Rivers makes 3-pt shot from 26 ft (assist by J. Crawford),3,94-88,,
4:28.0,,,94-90,2,T. Lawson makes 2-pt shot from 17 ft
4:11.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,96-90,,
3:47.0,,,96-90,,D. Cousins misses 2-pt shot from 2 ft (block by D. Jordan)
3:46.0,,,96-90,,Offensive rebound by G. Temple
3:43.0,,,96-90,,T. Lawson misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by A. Rivers,,96-90,,
3:33.0,J. Crawford misses 3-pt shot from 23 ft,,96-90,,
3:33.0,,,96-90,,Defensive rebound by R. Gay
3:25.0,,,96-93,3,D. Collison makes 3-pt shot from 24 ft (assist by G. Temple)
3:25.0,LA Clippers full timeout,,96-93,,
3:25.0,C. Paul enters the game for W. Johnson,,96-93,,
3:02.0,J. Redick misses 2-pt shot from 20 ft,,96-93,,
3:01.0,,,96-93,,Defensive rebound by D. Cousins
2:43.0,,,96-93,,R. Gay misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by C. Paul,,96-93,,
2:26.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,98-93,,
2:26.0,Shooting foul by D. Cousins (drawn by D. Jordan),,98-93,,
2:26.0,D. Jordan makes free throw 1 of 1,1,99-93,,
2:02.0,,,99-93,,D. Collison misses 3-pt shot from 30 ft
2:02.0,,,99-93,,Offensive rebound by Team
2:02.0,,,99-93,,Turnover by Team (shot clock)
1:44.0,,,99-93,,Shooting block foul by D. Cousins (drawn by C. Paul)
1:44.0,C. Paul misses free throw 1 of 2,,99-93,,
1:44.0,Offensive rebound by Team,,99-93,,
1:44.0,C. Paul makes free throw 2 of 2,1,100-93,,
1:44.0,R. Felton enters the game for J. Redick,,99-93,,
1:44.0,L. Mbah a Moute enters the game for J. Crawford,,99-93,,
1:34.0,Violation by C. Paul (kicked ball),,100-93,,
1:31.0,,,100-96,3,D. Cousins makes 3-pt shot from 26 ft (assist by T. Lawson)
1:31.0,LA Clippers full timeout,,100-96,,
