time,Indiana,pts.away,score,pts.home,Dallas
9:44.0,,,83-93,,Defensive rebound by H. Barnes
9:34.0,,,83-93,,S. Curry misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by R. Stuckey,,83-93,,
9:19.0,A. Brooks misses 3-pt shot from 24 ft,,83-93,,
9:18.0,,,83-93,,Defensive rebound by N. Brussino
9:09.0,Personal foul by P. George (drawn by S. Curry),,83-93,,
9:09.0,,,83-93,,S. Mejri enters the game for D. Powell
9:04.0,,,83-93,,Turnover by N. Brussino (bad pass; steal by C. Miles)
8:42.0,A. Jefferson misses 2-pt shot from 13 ft,,83-93,,
8:41.0,,,83-93,,Defensive rebound by H. Barnes
8:31.0,,,83-95,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Williams)
8:30.0,Indiana full timeout,,83-95,,
8:29.0,,,83-95,,D. Finney-Smith enters the game for H. Barnes
8:29.0,,,83-95,,W. Matthews enters the game for N. Brussino
8:29.0,J. Teague enters the game for A. Jefferson,,83-95,,
8:29.0,M. Turner enters the game for A. Brooks,,83-95,,
8:08.0,C. Miles makes 3-pt shot from 25 ft (assist by M. Turner),3,86-95,,
7:42.0,,,86-98,3,D. Williams makes 3-pt shot from 25 ft (assist by S. Curry)
7:25.0,J. Teague misses 2-pt shot from 6 ft,,86-98,,
7:24.0,Offensive rebound by M. Turner,,86-98,,
7:24.0,M. Turner makes 2-pt shot from 1 ft,2,88-98,,
7:01.0,,,88-101,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Finney-Smith)
7:00.0,Technical foul by Team,,88-101,,
7:00.0,,,88-101,,S. Curry misses technical free throw
7:00.0,Offensive rebound by Team,,88-101,,
6:43.0,P. George misses 2-pt shot from 19 ft,,88-101,,
6:43.0,,,88-101,,Defensive rebound by D. Finney-Smith
6:24.0,,,88-101,,W. Matthews misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by P. George,,88-101,,
6:08.0,Shooting foul by W. Matthews (drawn by M. Turner),,88-101,,
6:08.0,M. Turner makes free throw 1 of 2,1,89-101,,
6:08.0,,,89-101,,Dallas full timeout
6:08.0,M. Turner makes free throw 2 of 2,1,90-101,,
6:08.0,,,89-101,,D. Harris enters the game for D. Finney-Smith
6:08.0,,,89-101,,H. Barnes enters the game for S. Curry
6:01.0,,,90-101,,Offensive foul by D. Harris
6:01.0,,,90-101,,Turnover by D. Harris (offensive foul)
5:46.0,C. Miles misses 3-pt shot from 24 ft,,90-101,,
5:46.0,,,90-101,,Defensive rebound by Team
5:28.0,,,90-101,,Dallas full timeout
5:28.0,,,90-101,,D. Powell enters the game for S. Mejri
5:25.0,,,90-103,2,D. Powell makes 2-pt shot from 19 ft (assist by D. Williams)
5:13.0,J. Teague makes 2-pt shot from 1 ft,2,92-103,,
5:00.0,,,92-103,,Shooting foul by C. Miles (drawn by D. Powell)
5:00.0,,,92-104,1,D. Powell makes free throw 1 of 2
5:00.0,,,92-105,1,D. Powell makes free throw 2 of 2
4:42.0,Shooting foul by D. Powell (drawn by M. Turner),,92-105,,
4:42.0,M. Turner makes free throw 1 of 2,1,93-105,,
4:42.0,M. Turner makes free throw 2 of 2,1,94-105,,
4:42.0,,,93-105,,D. Finney-Smith enters the game for D. Harris
4:31.0,Flagrant foul type 1 by P. George (drawn by D. Powell),,94-105,,
4:31.0,,,94-106,1,D. Powell makes flagrant free throw 1 of 2
4:31.0,,,94-107,1,D. Powell makes flagrant free throw 2 of 2
4:18.0,,,94-107,,D. Williams misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by R. Stuckey,,94-107,,
4:01.0,J. Teague misses 2-pt shot from 6 ft,,94-107,,
3:59.0,Offensive rebound by M. Turner,,94-107,,
3:59.0,M. Turner misses 2-pt shot from 2 ft,,94-107,,
3:59.0,,,94-107,,Defensive rebound by D. Powell
3:34.0,,,94-107,,D. Powell misses 2-pt shot from 22 ft
3:33.0,Defensive rebound by P. George,,94-107,,
3:22.0,P. George misses 2-pt shot from 11 ft,,94-107,,
3:21.0,,,94-107,,Defensive rebound by D. Powell
3:08.0,,,94-107,,D. Powell misses 2-pt shot from 17 ft
3:06.0,,,94-107,,Offensive rebound by H. Barnes
2:49.0,,,94-107,,Shooting foul by M. Turner (drawn by D. Powell)
2:49.0,Official timeout,,94-107,,
2:49.0,,,94-108,1,D. Powell makes free throw 1 of 2
2:49.0,,,94-109,1,D. Powell makes free throw 2 of 2
2:37.0,P. George makes 2-pt shot from 2 ft (assist by J. Teague),2,96-109,,
2:37.0,Shooting foul by D. Powell (drawn by P. George),,96-109,,
2:37.0,P. George makes free throw 1 of 1,1,97-109,,
2:16.0,,,97-109,,H. Barnes misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by C. Miles,,97-109,,
1:59.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,99-109,,
1:37.0,,,99-111,2,D. Powell makes 2-pt shot from 20 ft (assist by D. Finney-Smith)
1:34.0,,,99-111,,Shooting block foul by H. Barnes (drawn by J. Teague)
1:34.0,J. Teague misses free throw 1 of 2,,99-111,,
1:34.0,Offensive rebound by Team,,99-111,,
1:34.0,J. Teague makes free throw 2 of 2,1,100-111,,
1:17.0,,,100-111,,W. Matthews misses 3-pt shot from 24 ft
1:15.0,,,100-111,,Offensive rebound by Team
0:52.0,,,100-111,,D. Powell misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by C. Miles,,100-111,,
0:50.0,Indiana full timeout,,100-111,,
0:46.0,P. George misses 3-pt shot from 25 ft,,100-111,,
0:45.0,,,100-111,,Defensive rebound by W. Matthews
0:24.0,,,100-111,,W. Matthews misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by R. Stuckey,,100-111,,
0:18.0,R. Stuckey makes 3-pt shot from 25 ft,3,103-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
