time,Boston,pts.away,score,pts.home,Washington
7:20.0,I. Thomas makes free throw 1 of 2,1,83-102,,
7:20.0,I. Thomas makes free throw 2 of 2,1,84-102,,
6:57.0,,,84-102,,J. Wall misses 2-pt shot from 18 ft
6:56.0,,,84-102,,Offensive rebound by O. Porter
6:54.0,,,84-104,2,O. Porter makes 2-pt shot at rim
6:47.0,I. Thomas makes 2-pt shot from 1 ft,2,86-104,,
6:47.0,,,86-104,,Washington full timeout
6:47.0,,,86-104,,M. Gortat enters the game for J. Smith
6:34.0,,,86-106,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
6:20.0,A. Bradley misses 3-pt shot from 26 ft,,86-106,,
6:19.0,,,86-106,,Defensive rebound by O. Porter
5:58.0,,,86-106,,J. Wall misses 2-pt shot from 10 ft
5:57.0,,,86-106,,Offensive rebound by M. Gortat
5:44.0,,,86-106,,Turnover by J. Wall (lost ball; steal by A. Bradley)
5:40.0,Turnover by G. Green (lost ball; steal by O. Porter),,86-106,,
5:28.0,,,86-106,,T. Satoransky misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by M. Smart,,86-106,,
5:24.0,,,86-106,,Flagrant foul type 1 by J. Wall (drawn by M. Smart)
5:24.0,Technical foul by M. Smart,,86-106,,
5:24.0,,,86-107,1,M. Thornton makes technical free throw
5:24.0,M. Smart misses flagrant free throw 1 of 2,,86-107,,
5:24.0,Offensive rebound by Team,,86-107,,
5:24.0,M. Smart misses flagrant free throw 2 of 2,,86-107,,
5:24.0,Offensive rebound by Team,,86-107,,
5:24.0,,,86-106,,T. Burke enters the game for J. Wall
5:24.0,J. Brown enters the game for G. Green,,86-107,,
