time,Miami,pts.away,score,pts.home,Atlanta
9:55.0,,,94-68,,K. Humphries enters the game for M. Muscala
9:55.0,,,94-68,,L. Patterson enters the game for T. Waller-Prince
9:46.0,Jump ball: E. Ilyasova vs. W. Reed (O. White gains possession),,,,Jump ball: E. Ilyasova vs. W. Reed (O. White gains possession)
9:29.0,T. Johnson misses 2-pt shot from 4 ft,,94-68,,
9:27.0,Offensive rebound by W. Reed,,94-68,,
9:27.0,W. Reed misses 2-pt shot from 1 ft,,94-68,,
9:21.0,,,94-68,,Defensive rebound by Team
9:15.0,Personal foul by G. Dragic,,94-68,,
9:08.0,,,94-70,2,M. Dunleavy makes 2-pt shot from 21 ft (assist by L. Patterson)
8:41.0,W. Ellington misses 3-pt shot from 24 ft,,94-70,,
8:40.0,,,94-70,,Defensive rebound by L. Patterson
8:28.0,,,94-70,,E. Ilyasova misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by O. White,,94-70,,
8:22.0,J. Richardson enters the game for T. Johnson,,94-70,,
8:19.0,Offensive foul by W. Ellington,,94-70,,
8:19.0,Turnover by W. Ellington (offensive foul),,94-70,,
8:10.0,,,94-70,,L. Patterson misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by W. Reed,,94-70,,
8:04.0,J. Richardson misses 2-pt shot from 18 ft,,94-70,,
8:03.0,,,94-70,,Defensive rebound by M. Dunleavy
