time,Denver,pts.away,score,pts.home,Phoenix
7:55.0,K. Faried makes free throw 1 of 2,1,97-86,,
7:55.0,K. Faried makes free throw 2 of 2,1,98-86,,
7:55.0,,,97-86,,D. Booker enters the game for L. Barbosa
7:45.0,Shooting block foul by K. Faried (drawn by E. Bledsoe),,98-86,,
7:45.0,,,98-87,1,E. Bledsoe makes free throw 1 of 2
7:45.0,,,98-88,1,E. Bledsoe makes free throw 2 of 2
7:26.0,E. Mudiay makes 2-pt shot from 6 ft,2,100-88,,
7:08.0,,,100-90,2,D. Booker makes 2-pt shot from 10 ft
7:08.0,,,100-90,,Shooting foul by K. Faried (drawn by D. Booker)
7:08.0,,,100-91,1,D. Booker makes free throw 1 of 1
6:47.0,K. Faried misses 2-pt shot from 3 ft,,100-91,,
6:44.0,,,100-91,,Defensive rebound by P. Tucker
