time,LA Lakers,pts.away,score,pts.home,New Orleans
0:21.0,,,84-71,,Offensive rebound by A. Ajinca
0:15.0,,,84-71,,B. Hield misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by L. Williams,,84-71,,
0:00.0,T. Black misses 2-pt shot at rim,,84-71,,
0:00.0,,,84-71,,Defensive rebound by B. Hield
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,84-71,,Turnover by L. Galloway (bad pass; steal by L. Nance)
11:44.0,L. Nance makes 2-pt shot at rim,2,86-71,,
11:30.0,Personal foul by L. Nance (drawn by A. Davis),,86-71,,
11:24.0,,,86-73,2,A. Davis makes 2-pt shot from 4 ft
11:06.0,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Ingram),3,89-73,,
10:47.0,,,89-76,3,L. Galloway makes 3-pt shot from 25 ft (assist by A. Davis)
10:28.0,T. Black makes 2-pt shot from 3 ft (assist by B. Ingram),2,91-76,,
10:18.0,,,91-76,,L. Galloway misses 2-pt shot from 7 ft
10:17.0,Defensive rebound by J. Clarkson,,91-76,,
10:11.0,L. Williams misses 3-pt shot from 26 ft,,91-76,,
10:09.0,,,91-76,,Defensive rebound by B. Hield
10:06.0,,,91-78,2,B. Hield makes 2-pt shot from 2 ft
10:06.0,,,91-78,,Shooting foul by B. Ingram (drawn by B. Hield)
10:06.0,,,91-79,1,B. Hield makes free throw 1 of 1
9:49.0,Turnover by J. Clarkson (bad pass; steal by L. Galloway),,91-79,,
9:39.0,,,91-79,,A. Davis misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by L. Nance,,91-79,,
9:23.0,J. Clarkson makes 2-pt shot at rim,2,93-79,,
8:55.0,,,93-81,2,B. Hield makes 2-pt shot from 2 ft
8:50.0,,,93-81,,Personal foul by B. Hield
8:50.0,Official timeout,,93-81,,
8:50.0,,,93-81,,E. Moore enters the game for A. Ajinca
8:50.0,,,93-81,,T. Jones enters the game for S. Hill
8:39.0,L. Williams makes 3-pt shot from 26 ft,3,96-81,,
8:32.0,Personal foul by L. Williams,,96-81,,
8:21.0,,,96-81,,Shooting foul by L. Nance (drawn by A. Davis)
8:21.0,,,96-82,1,A. Davis makes free throw 1 of 2
8:21.0,,,96-83,1,A. Davis makes free throw 2 of 2
8:07.0,L. Williams misses 2-pt shot from 14 ft,,96-83,,
8:04.0,Offensive rebound by T. Black,,96-83,,
7:59.0,Shooting foul by B. Hield (drawn by B. Ingram),,96-83,,
