time,Golden State,pts.away,score,pts.home,Charlotte
8:20.0,Personal foul by J. McAdoo (drawn by S. Hawes),,85-85,,
8:20.0,,,85-85,,K. Walker enters the game for R. Sessions
8:13.0,,,85-85,,Shooting foul by K. Thompson (drawn by M. Belinelli)
8:13.0,Technical foul by K. Thompson (drawn by M. Belinelli),,85-85,,
8:13.0,,,85-86,1,M. Belinelli makes technical free throw
8:13.0,,,85-87,1,M. Belinelli makes free throw 1 of 3
8:13.0,,,85-88,1,M. Belinelli makes free throw 2 of 3
8:13.0,,,85-89,1,M. Belinelli makes free throw 3 of 3
8:01.0,S. Livingston makes 2-pt shot from 16 ft,2,87-89,,
7:42.0,,,87-89,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
7:39.0,Defensive rebound by A. Iguodala,,87-89,,
7:34.0,K. Thompson misses 3-pt shot from 24 ft,,87-89,,
7:33.0,,,87-89,,Defensive rebound by S. Hawes
7:19.0,,,87-89,,Shooting foul by S. Livingston (drawn by M. Belinelli)
7:19.0,,,87-90,1,M. Belinelli makes free throw 1 of 3
7:19.0,,,87-91,1,M. Belinelli makes free throw 2 of 3
7:19.0,,,87-92,1,M. Belinelli makes free throw 3 of 3
7:19.0,,,87-91,,M. Williams enters the game for F. Kaminsky
7:05.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Livingston),2,89-92,,
6:48.0,,,89-92,,K. Walker misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by J. McAdoo,,89-92,,
6:31.0,S. Livingston misses 2-pt shot from 9 ft,,89-92,,
6:31.0,Offensive rebound by Team,,89-92,,
6:31.0,,,89-92,,Loose ball foul by M. Williams (drawn by J. McAdoo)
6:31.0,S. Curry enters the game for K. Thompson,,89-92,,
6:24.0,,,89-92,,Shooting block foul by S. Hawes (drawn by K. Durant)
6:24.0,K. Durant makes free throw 1 of 2,1,90-92,,
6:24.0,K. Durant makes free throw 2 of 2,1,91-92,,
6:03.0,,,91-94,2,M. Belinelli makes 2-pt shot from 7 ft
5:53.0,,,91-94,,Personal foul by M. Kidd-Gilchrist (drawn by K. Durant)
5:53.0,Official timeout,,91-94,,
5:53.0,K. Durant makes free throw 1 of 2,1,92-94,,
5:53.0,K. Durant makes free throw 2 of 2,1,93-94,,
5:53.0,D. Green enters the game for J. McAdoo,,91-94,,
5:53.0,,,91-94,,N. Batum enters the game for M. Kidd-Gilchrist
5:30.0,,,93-94,,S. Hawes misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by K. Durant,,93-94,,
5:25.0,Shooting foul by M. Belinelli (drawn by K. Durant),,93-94,,
5:25.0,K. Durant makes free throw 1 of 2,1,94-94,,
5:25.0,K. Durant makes free throw 2 of 2,1,95-94,,
