time,Detroit,pts.away,score,pts.home,LA Lakers
9:38.0,,,78-78,,Technical foul by T. Mozgov
9:38.0,R. Bullock misses technical free throw,,78-78,,
9:38.0,Offensive rebound by Team,,78-78,,
9:19.0,S. Johnson misses 2-pt shot from 1 ft,,78-78,,
9:19.0,Offensive rebound by Team,,78-78,,
9:10.0,S. Johnson misses 3-pt shot from 27 ft,,78-78,,
9:08.0,,,78-78,,Defensive rebound by I. Zubac
9:00.0,Personal foul by S. Johnson (drawn by B. Ingram),,78-78,,
8:44.0,,,78-81,3,L. Williams makes 3-pt shot from 27 ft (assist by J. Clarkson)
8:14.0,I. Smith misses 3-pt shot from 28 ft,,78-81,,
8:11.0,,,78-81,,Defensive rebound by I. Zubac
8:09.0,,,78-81,,Turnover by I. Zubac (bad pass; steal by S. Johnson)
8:05.0,M. Morris makes 2-pt shot from 20 ft,2,80-81,,
7:53.0,Personal block foul by A. Drummond,,80-81,,
7:53.0,R. Jackson enters the game for I. Smith,,80-81,,
7:39.0,,,80-81,,Shooting foul by R. Bullock (drawn by B. Ingram)
7:39.0,,,80-82,1,B. Ingram makes free throw 1 of 3
7:39.0,,,80-82,,B. Ingram misses free throw 2 of 3
7:39.0,,,80-82,,Offensive rebound by Team
7:39.0,,,80-82,,B. Ingram misses free throw 3 of 3
7:39.0,T. Harris enters the game for R. Bullock,,80-82,,
7:37.0,Defensive rebound by T. Harris,,80-82,,
7:18.0,S. Johnson makes 2-pt shot from 5 ft (assist by T. Harris),2,82-82,,
7:00.0,,,82-82,,Turnover by J. Clarkson (lost ball; steal by A. Drummond)
6:55.0,S. Johnson misses 2-pt shot from 11 ft,,82-82,,
6:50.0,,,82-82,,Defensive rebound by L. Williams
6:46.0,Shooting block foul by A. Drummond,,82-82,,
6:46.0,,,82-84,2,L. Williams makes 2-pt shot from 17 ft
6:46.0,,,82-85,1,L. Williams makes free throw 1 of 1
6:41.0,,,82-85,,Personal foul by J. Clarkson (drawn by R. Jackson)
6:41.0,A. Baynes enters the game for A. Drummond,,82-85,,
6:25.0,T. Harris makes 2-pt shot from 3 ft,2,84-85,,
6:12.0,,,84-85,,L. Williams misses 2-pt shot from 14 ft
6:09.0,Defensive rebound by M. Morris,,84-85,,
6:01.0,M. Morris makes 2-pt shot from 16 ft,2,86-85,,
6:01.0,,,86-85,,LA Lakers full timeout
6:01.0,,,86-85,,J. Randle enters the game for I. Zubac
5:40.0,,,86-85,,J. Randle misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by M. Morris,,86-85,,
5:31.0,R. Jackson makes 2-pt shot from 19 ft,2,88-85,,
5:13.0,,,88-85,,Shooting foul by A. Baynes
5:13.0,,,88-86,1,L. Williams makes free throw 1 of 2
5:13.0,,,88-87,1,L. Williams makes free throw 2 of 2
5:13.0,A. Drummond enters the game for A. Baynes,,88-86,,
4:54.0,T. Harris misses 2-pt shot from 8 ft,,88-87,,
4:50.0,Offensive rebound by R. Jackson,,88-87,,
4:49.0,Turnover by R. Jackson (bad pass; steal by L. Deng),,88-87,,
4:44.0,,,88-89,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
4:23.0,S. Johnson makes 2-pt shot from 7 ft,2,90-89,,
4:04.0,,,90-91,2,J. Clarkson makes 2-pt shot from 2 ft
3:47.0,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson),3,93-91,,
3:33.0,,,93-91,,L. Williams misses 3-pt shot from 27 ft
3:32.0,Defensive rebound by T. Harris,,93-91,,
3:21.0,R. Jackson misses 2-pt shot from 3 ft,,93-91,,
3:18.0,,,93-91,,Defensive rebound by L. Williams
3:14.0,,,93-91,,J. Clarkson misses 2-pt shot from 3 ft
3:11.0,,,93-91,,Offensive rebound by B. Ingram
3:06.0,,,93-94,3,L. Williams makes 3-pt shot from 28 ft
2:46.0,R. Jackson makes 2-pt shot from 18 ft,2,95-94,,
2:46.0,Shooting foul by J. Clarkson (drawn by R. Jackson),,95-94,,
2:46.0,Official timeout,,95-94,,
2:46.0,R. Jackson makes free throw 1 of 1,1,96-94,,
2:46.0,,,95-94,,D. Russell enters the game for J. Clarkson
2:27.0,,,96-94,,L. Williams misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by A. Drummond,,96-94,,
2:09.0,M. Morris misses 2-pt shot from 13 ft,,96-94,,
