time,San Antonio,pts.away,score,pts.home,Memphis
3:21.0,,,87-95,,T. Allen misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by L. Aldridge,,87-95,,
3:08.0,Turnover by D. Green (bad pass),,87-95,,
3:08.0,P. Mills enters the game for T. Parker,,87-95,,
2:48.0,,,87-95,,M. Gasol misses 2-pt shot from 3 ft
2:46.0,Defensive rebound by L. Aldridge,,87-95,,
2:40.0,P. Mills misses 3-pt shot from 26 ft,,87-95,,
2:39.0,,,87-95,,Defensive rebound by Z. Randolph
2:39.0,,,87-95,,Memphis full timeout
2:30.0,,,87-97,2,M. Gasol makes 2-pt shot from 2 ft
2:30.0,,,87-97,,Shooting foul by P. Gasol (drawn by M. Gasol)
2:30.0,,,87-98,1,M. Gasol makes free throw 1 of 1
2:30.0,,,87-97,,J. Green enters the game for Z. Randolph
2:22.0,P. Gasol misses 2-pt shot from 9 ft,,87-98,,
2:20.0,,,87-98,,Defensive rebound by M. Conley
2:04.0,,,87-98,,M. Conley misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by Team,,87-98,,
