time,New York,pts.away,score,pts.home,Dallas
0:01.0,C. Anthony makes free throw 1 of 2,1,51-52,,
0:01.0,C. Anthony misses free throw 2 of 2,,51-52,,
0:01.0,R. Baker enters the game for C. Lee,,51-52,,
0:01.0,S. Vujacic enters the game for D. Rose,,51-52,,
0:01.0,B. Jennings enters the game for J. Holiday,,51-52,,
0:00.0,,,51-52,,Defensive rebound by D. Finney-Smith
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,51-52,,D. Nowitzki misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by K. Porzingis,,51-52,,
11:31.0,K. Porzingis makes 2-pt shot from 14 ft (assist by D. Rose),2,53-52,,
11:11.0,,,53-52,,P. Jackson misses 3-pt shot from 27 ft
11:10.0,,,53-52,,Offensive rebound by D. Nowitzki
11:07.0,,,53-52,,D. Nowitzki misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by C. Lee,,53-52,,
10:58.0,C. Lee makes 2-pt shot from 18 ft,2,55-52,,
10:34.0,,,55-54,2,H. Barnes makes 2-pt shot from 2 ft
10:14.0,Shooting foul by D. Nowitzki (drawn by K. Porzingis),,55-54,,
10:14.0,K. Porzingis makes free throw 1 of 2,1,56-54,,
10:14.0,K. Porzingis makes free throw 2 of 2,1,57-54,,
9:55.0,Personal foul by J. Noah (drawn by P. Jackson),,57-54,,
9:46.0,,,57-54,,P. Jackson misses 3-pt shot from 25 ft
9:44.0,,,57-54,,Offensive rebound by H. Barnes
9:28.0,,,57-54,,D. Finney-Smith misses 2-pt shot from 7 ft
9:27.0,Defensive rebound by J. Noah,,57-54,,
9:17.0,Turnover by C. Anthony (bad pass; steal by H. Barnes),,57-54,,
9:06.0,,,57-57,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by P. Jackson)
8:52.0,C. Anthony makes 2-pt shot from 20 ft,2,59-57,,
8:34.0,,,59-59,2,S. Curry makes 2-pt shot from 1 ft
8:17.0,J. Noah makes 2-pt shot from 2 ft (assist by C. Lee),2,61-59,,
8:00.0,,,61-59,,S. Curry misses 2-pt shot from 2 ft (block by C. Lee)
7:58.0,Defensive rebound by C. Lee,,61-59,,
7:53.0,D. Rose misses 2-pt shot from 15 ft,,61-59,,
7:51.0,,,61-59,,Defensive rebound by S. Curry
7:42.0,Personal foul by D. Rose (drawn by D. Nowitzki),,61-59,,
7:30.0,,,61-61,2,H. Barnes makes 2-pt shot from 1 ft
7:15.0,K. Porzingis makes 2-pt shot from 10 ft (assist by C. Anthony),2,63-61,,
6:59.0,,,63-63,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by H. Barnes)
6:43.0,C. Anthony misses 3-pt shot from 24 ft,,63-63,,
6:42.0,,,63-63,,Defensive rebound by P. Jackson
6:28.0,,,63-63,,S. Curry misses 2-pt shot from 5 ft
6:27.0,Defensive rebound by C. Anthony,,63-63,,
6:19.0,K. Porzingis misses 3-pt shot from 24 ft,,63-63,,
6:18.0,Offensive rebound by J. Noah,,63-63,,
6:15.0,Turnover by J. Noah (bad pass; steal by S. Curry),,63-63,,
6:09.0,,,63-63,,S. Curry misses 3-pt shot from 25 ft
6:07.0,,,63-63,,Offensive rebound by D. Nowitzki
6:05.0,,,63-65,2,D. Nowitzki makes 2-pt shot from 2 ft
5:56.0,K. Porzingis misses 3-pt shot from 25 ft,,63-65,,
5:55.0,,,63-65,,Defensive rebound by S. Curry
5:47.0,,,63-67,2,S. Curry makes 2-pt shot from 2 ft
5:47.0,New York full timeout,,63-67,,
5:47.0,,,63-67,,D. Harris enters the game for D. Nowitzki
5:47.0,,,63-67,,A. Bogut enters the game for P. Jackson
5:47.0,J. Holiday enters the game for K. Porzingis,,63-67,,
5:47.0,W. Hernangomez enters the game for J. Noah,,63-67,,
5:32.0,D. Rose misses 2-pt shot from 8 ft (block by A. Bogut),,63-67,,
5:31.0,,,63-67,,Defensive rebound by A. Bogut
5:11.0,,,63-67,,Turnover by D. Harris (bad pass; steal by W. Hernangomez)
5:01.0,C. Anthony makes 2-pt shot from 19 ft,2,65-67,,
4:42.0,,,65-69,2,H. Barnes makes 2-pt shot from 5 ft (assist by A. Bogut)
4:42.0,,,65-69,,Shooting foul by C. Anthony (drawn by H. Barnes)
4:42.0,,,65-70,1,H. Barnes makes free throw 1 of 1
4:32.0,Turnover by C. Anthony (lost ball; steal by D. Finney-Smith),,65-70,,
4:22.0,,,65-70,,Shooting foul by C. Lee (drawn by S. Curry)
4:22.0,,,65-71,1,S. Curry makes free throw 1 of 2
4:22.0,,,65-72,1,S. Curry makes free throw 2 of 2
3:59.0,D. Rose misses 2-pt shot from 18 ft (block by S. Curry),,65-72,,
3:58.0,Offensive rebound by D. Rose,,65-72,,
3:56.0,C. Anthony misses 2-pt shot from 12 ft,,65-72,,
3:54.0,Offensive rebound by W. Hernangomez,,65-72,,
3:54.0,W. Hernangomez misses 2-pt shot from 2 ft,,65-72,,
3:53.0,,,65-72,,Defensive rebound by H. Barnes
3:43.0,,,65-72,,S. Curry misses 2-pt shot from 13 ft
3:41.0,Defensive rebound by C. Lee,,65-72,,
3:26.0,J. Holiday misses 2-pt shot from 22 ft,,65-72,,
3:25.0,,,65-72,,Defensive rebound by Team
3:08.0,,,65-75,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Harris)
2:55.0,D. Rose misses 2-pt shot from 11 ft,,65-75,,
2:54.0,Offensive rebound by W. Hernangomez,,65-75,,
2:49.0,Shooting foul by S. Curry (drawn by C. Lee),,65-75,,
2:49.0,,,65-75,,Dallas full timeout
2:49.0,C. Lee makes free throw 1 of 2,1,66-75,,
2:49.0,C. Lee makes free throw 2 of 2,1,67-75,,
2:49.0,B. Jennings enters the game for D. Rose,,65-75,,
2:25.0,,,67-75,,D. Finney-Smith misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by J. Holiday,,67-75,,
2:06.0,C. Lee makes 2-pt shot from 9 ft (assist by B. Jennings),2,69-75,,
1:46.0,,,69-75,,S. Curry misses 2-pt shot from 9 ft
1:46.0,Defensive rebound by W. Hernangomez,,69-75,,
1:39.0,J. Holiday misses 3-pt shot from 25 ft,,69-75,,
1:37.0,,,69-75,,Defensive rebound by D. Harris
1:23.0,,,69-75,,H. Barnes misses 2-pt shot from 13 ft
1:20.0,Defensive rebound by J. Holiday,,69-75,,
1:11.0,C. Anthony misses 3-pt shot from 25 ft,,69-75,,
1:09.0,,,69-75,,Defensive rebound by H. Barnes
0:55.0,,,69-75,,Shooting foul by J. Holiday (drawn by D. Harris)
0:55.0,,,69-75,,D. Harris misses free throw 1 of 2
0:55.0,,,69-75,,Offensive rebound by Team
0:55.0,,,69-76,1,D. Harris makes free throw 2 of 2
0:55.0,,,69-75,,D. Nowitzki enters the game for H. Barnes
0:55.0,,,69-75,,D. Powell enters the game for S. Curry
0:55.0,,,69-75,,P. Jackson enters the game for A. Bogut
0:38.0,C. Anthony makes 2-pt shot from 14 ft (assist by B. Jennings),2,71-76,,
0:32.0,,,71-76,,D. Harris misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by C. Anthony,,71-76,,
0:23.0,C. Anthony makes 2-pt shot from 23 ft,2,73-76,,
0:05.0,,,73-78,2,D. Nowitzki makes 2-pt shot from 9 ft
0:00.0,C. Lee misses 3-pt shot from 25 ft,,73-78,,
0:00.0,Offensive rebound by Team,,73-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,B. Jennings misses 2-pt shot from 21 ft,,73-78,,
11:33.0,,,73-78,,Defensive rebound by Team
11:33.0,Loose ball foul by W. Hernangomez (drawn by D. Nowitzki),,73-78,,
11:19.0,,,73-78,,P. Jackson misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by W. Hernangomez,,73-78,,
11:04.0,B. Jennings misses 3-pt shot from 24 ft,,73-78,,
11:04.0,Offensive rebound by W. Hernangomez,,73-78,,
11:00.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Kuzminskas),3,76-78,,
10:41.0,,,76-78,,D. Harris misses 3-pt shot from 24 ft
10:39.0,,,76-78,,Offensive rebound by J. Anderson
10:39.0,,,76-80,2,J. Anderson makes 2-pt shot from 1 ft
10:29.0,Offensive charge foul by K. Porzingis,,76-80,,
10:29.0,Turnover by K. Porzingis (offensive foul),,76-80,,
10:20.0,,,76-80,,P. Jackson misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by K. Porzingis,,76-80,,
