time,Charlotte,pts.away,score,pts.home,Minnesota
1:01.0,,,82-72,,C. Aldrich enters the game for K. Towns
1:01.0,,,82-72,,A. Payne enters the game for G. Dieng
0:51.0,Offensive foul by R. Hibbert,,82-73,,
0:51.0,Turnover by R. Hibbert (offensive foul),,82-73,,
0:42.0,,,82-73,,A. Payne misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by N. Batum,,82-73,,
0:33.0,Turnover by F. Kaminsky (bad pass; steal by R. Rubio),,82-73,,
0:14.0,,,82-73,,A. Wiggins misses 2-pt shot from 19 ft
0:12.0,,,82-73,,Offensive rebound by Team
0:12.0,Loose ball foul by M. Belinelli (drawn by R. Rubio),,82-73,,
0:12.0,,,82-74,1,R. Rubio makes free throw 1 of 2
0:12.0,,,82-75,1,R. Rubio makes free throw 2 of 2
0:01.0,F. Kaminsky misses 3-pt shot from 25 ft,,82-75,,
0:00.0,Offensive rebound by Team,,82-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,82-75,,K. Dunn misses 2-pt shot from 11 ft
11:38.0,,,82-75,,Offensive rebound by A. Payne
11:38.0,,,82-77,2,A. Payne makes 2-pt shot at rim
11:23.0,M. Belinelli makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,84-77,,
11:10.0,,,84-80,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Dunn)
10:45.0,F. Kaminsky makes 2-pt shot from 5 ft,2,86-80,,
10:25.0,,,86-82,2,A. Wiggins makes 2-pt shot from 16 ft
10:10.0,F. Kaminsky misses 3-pt shot from 25 ft,,86-82,,
10:09.0,Offensive rebound by R. Hibbert,,86-82,,
10:07.0,Shooting foul by A. Payne (drawn by R. Hibbert),,86-82,,
10:07.0,R. Hibbert makes free throw 1 of 2,1,87-82,,
10:07.0,R. Hibbert misses free throw 2 of 2,,87-82,,
10:07.0,,,87-82,,Defensive rebound by C. Aldrich
9:46.0,,,87-82,,A. Wiggins misses 2-pt shot from 5 ft
9:45.0,Defensive rebound by F. Kaminsky,,87-82,,
9:37.0,Turnover by R. Sessions (lost ball; steal by C. Aldrich),,87-82,,
9:28.0,,,87-84,2,A. Payne makes 2-pt shot from 12 ft (assist by A. Wiggins)
9:04.0,F. Kaminsky makes 2-pt shot from 7 ft,2,89-84,,
8:48.0,,,89-86,2,A. Wiggins makes 2-pt shot from 1 ft
8:19.0,R. Hibbert makes 2-pt shot at rim (assist by F. Kaminsky),2,91-86,,
8:02.0,,,91-86,,Shooting foul by F. Kaminsky (drawn by A. Payne)
8:02.0,,,91-86,,Minnesota full timeout
8:02.0,,,91-87,1,A. Payne makes free throw 1 of 3
8:02.0,,,91-88,1,A. Payne makes free throw 2 of 3
8:02.0,,,91-89,1,A. Payne makes free throw 3 of 3
7:49.0,,,91-89,,Personal foul by A. Payne (drawn by F. Kaminsky)
7:39.0,F. Kaminsky misses 3-pt shot from 24 ft,,91-89,,
7:37.0,,,91-89,,Defensive rebound by A. Wiggins
7:30.0,,,91-92,3,A. Wiggins makes 3-pt shot from 27 ft
7:11.0,R. Hibbert makes 2-pt shot at rim (assist by R. Sessions),2,93-92,,
6:53.0,,,93-92,,C. Aldrich misses 2-pt shot from 6 ft
6:52.0,Defensive rebound by F. Kaminsky,,93-92,,
6:42.0,Turnover by R. Hibbert (bad pass),,93-92,,
6:42.0,C. Zeller enters the game for R. Hibbert,,93-92,,
6:42.0,K. Walker enters the game for R. Sessions,,93-92,,
6:42.0,N. Batum enters the game for M. Kidd-Gilchrist,,93-92,,
6:31.0,,,93-92,,A. Wiggins misses 2-pt shot from 19 ft
6:30.0,,,93-92,,Offensive rebound by C. Aldrich
6:21.0,,,93-92,,A. Payne misses 2-pt shot from 20 ft
6:20.0,Defensive rebound by M. Belinelli,,93-92,,
6:12.0,,,93-92,,Personal foul by K. Dunn (drawn by K. Walker)
6:12.0,,,93-92,,K. Towns enters the game for A. Payne
