time,Indiana,pts.away,score,pts.home,Denver
8:55.0,G. Robinson enters the game for M. Turner,,81-115,,
8:39.0,A. Brooks misses 3-pt shot from 24 ft,,81-115,,
8:38.0,Offensive rebound by G. Robinson,,81-115,,
8:24.0,K. Seraphin makes 2-pt shot from 7 ft,2,83-115,,
8:13.0,,,83-115,,Offensive foul by K. Faried
8:13.0,,,83-115,,Turnover by K. Faried (offensive foul)
7:58.0,A. Brooks makes 3-pt shot from 26 ft (assist by K. Seraphin),3,86-115,,
7:39.0,,,86-115,,G. Harris misses 2-pt shot from 5 ft (block by G. Robinson)
7:37.0,Defensive rebound by K. Seraphin,,86-115,,
7:15.0,M. Ellis misses 3-pt shot from 25 ft,,86-115,,
7:15.0,,,86-115,,Defensive rebound by Team
6:53.0,,,86-115,,W. Barton misses 2-pt shot from 20 ft
6:52.0,,,86-115,,Offensive rebound by K. Faried
6:51.0,,,86-115,,K. Faried misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by M. Ellis,,86-115,,
6:41.0,C. Miles makes 3-pt shot from 25 ft (assist by K. Seraphin),3,89-115,,
6:41.0,,,89-115,,Denver full timeout
6:41.0,,,89-115,,D. Gallinari enters the game for W. Chandler
6:41.0,,,89-115,,N. Jokic enters the game for K. Faried
6:18.0,,,89-118,3,J. Nelson makes 3-pt shot from 28 ft
6:00.0,C. Miles misses 2-pt shot from 22 ft,,89-118,,
5:58.0,,,89-118,,Defensive rebound by G. Harris
5:52.0,,,89-121,3,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris)
5:34.0,M. Ellis makes 2-pt shot from 17 ft (assist by A. Brooks),2,91-121,,
5:15.0,,,91-121,,D. Gallinari misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by Team,,91-121,,
5:01.0,M. Ellis misses 2-pt shot from 19 ft,,91-121,,
5:00.0,Offensive rebound by K. Seraphin,,91-121,,
4:54.0,C. Miles makes 3-pt shot from 22 ft (assist by A. Brooks),3,94-121,,
4:35.0,,,94-124,3,J. Nelson makes 3-pt shot from 26 ft (assist by N. Jokic)
4:23.0,Shooting foul by N. Jokic (drawn by M. Ellis),,94-124,,
