time,Milwaukee,pts.away,score,pts.home,Phoenix
1:23.0,,,99-83,,M. Chriss misses 2-pt shot from 4 ft
1:20.0,,,99-83,,Offensive rebound by M. Chriss
1:20.0,,,99-85,2,M. Chriss makes 2-pt shot at rim
1:02.0,,,99-85,,Personal foul by M. Chriss (drawn by G. Monroe)
1:02.0,G. Monroe makes free throw 1 of 2,1,100-85,,
1:02.0,G. Monroe makes free throw 2 of 2,1,101-85,,
0:52.0,Personal foul by G. Monroe (drawn by M. Chriss),,101-85,,
0:52.0,,,101-86,1,M. Chriss makes free throw 1 of 2
0:52.0,,,101-86,,M. Chriss misses free throw 2 of 2
0:52.0,Defensive rebound by G. Monroe,,101-86,,
0:34.0,M. Teletovic misses 2-pt shot from 20 ft,,101-86,,
0:33.0,,,101-86,,Defensive rebound by T. Warren
0:18.0,,,101-89,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren)
0:00.0,M. Teletovic misses 3-pt shot from 23 ft,,101-89,,
0:00.0,Offensive rebound by J. Parker,,101-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,G. Monroe makes 2-pt shot at rim (assist by M. Teletovic),2,103-89,,
11:20.0,,,103-89,,L. Barbosa misses 2-pt shot from 19 ft (block by J. Terry)
11:19.0,Defensive rebound by G. Antetokounmpo,,103-89,,
11:18.0,Shooting foul by T. Warren (drawn by G. Antetokounmpo),,103-89,,
11:18.0,G. Antetokounmpo makes free throw 1 of 2,1,104-89,,
11:18.0,G. Antetokounmpo misses free throw 2 of 2,,104-89,,
11:17.0,,,104-89,,Defensive rebound by P. Tucker
11:04.0,,,104-89,,L. Barbosa misses 2-pt shot from 17 ft
11:03.0,,,104-89,,Offensive rebound by T. Warren
11:03.0,,,104-89,,T. Warren misses 2-pt shot at rim
10:59.0,,,104-89,,Offensive rebound by T. Warren
10:59.0,,,104-91,2,M. Chriss makes 2-pt shot from 1 ft (assist by B. Knight)
10:59.0,,,104-91,,Shooting foul by G. Monroe (drawn by M. Chriss)
10:59.0,,,104-92,1,M. Chriss makes free throw 1 of 1
10:37.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,106-92,,
10:31.0,,,106-92,,B. Knight misses 2-pt shot from 4 ft (block by M. Brogdon)
10:30.0,Defensive rebound by M. Brogdon,,106-92,,
10:25.0,M. Teletovic makes 2-pt shot from 1 ft (assist by M. Brogdon),2,108-92,,
10:25.0,,,108-92,,Phoenix full timeout
10:25.0,,,108-92,,E. Bledsoe enters the game for M. Chriss
10:25.0,,,108-92,,T. Chandler enters the game for B. Knight
10:25.0,,,108-92,,D. Booker enters the game for L. Barbosa
10:12.0,,,108-92,,T. Warren misses 2-pt shot from 9 ft
10:12.0,Defensive rebound by G. Antetokounmpo,,108-92,,
10:04.0,M. Teletovic misses 3-pt shot from 23 ft,,108-92,,
10:03.0,,,108-92,,Defensive rebound by E. Bledsoe
9:49.0,,,108-92,,Turnover by E. Bledsoe (bad pass; steal by M. Brogdon)
9:44.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,108-92,,
9:43.0,Offensive rebound by M. Brogdon,,108-92,,
9:43.0,M. Brogdon makes 2-pt shot from 1 ft,2,110-92,,
9:34.0,,,110-92,,Turnover by D. Booker (bad pass; steal by G. Monroe)
9:20.0,Shooting foul by T. Chandler (drawn by G. Antetokounmpo),,110-92,,
9:20.0,G. Antetokounmpo makes free throw 1 of 2,1,111-92,,
9:20.0,G. Antetokounmpo makes free throw 2 of 2,1,112-92,,
9:14.0,Personal foul by M. Brogdon (drawn by E. Bledsoe),,112-92,,
9:01.0,Personal foul by G. Monroe (drawn by E. Bledsoe),,112-92,,
8:49.0,,,112-92,,D. Booker misses 2-pt shot from 21 ft (block by J. Terry)
8:47.0,Defensive rebound by G. Monroe,,112-92,,
8:43.0,Turnover by J. Terry (bad pass; steal by P. Tucker),,112-92,,
8:39.0,,,112-94,2,P. Tucker makes 2-pt shot from 1 ft
8:39.0,,,112-94,,Shooting foul by G. Monroe (drawn by P. Tucker)
