time,Charlotte,pts.away,score,pts.home,Washington
0:59.0,K. Walker makes free throw 1 of 2,1,105-111,,
0:59.0,K. Walker makes free throw 2 of 2,1,106-111,,
0:59.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,105-111,,
0:59.0,M. Williams enters the game for F. Kaminsky,,105-111,,
0:37.0,,,106-114,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
0:37.0,Charlotte full timeout,,106-114,,
0:37.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,106-114,,
0:37.0,F. Kaminsky enters the game for M. Williams,,106-114,,
0:32.0,M. Belinelli misses 2-pt shot from 18 ft,,106-114,,
0:31.0,,,106-114,,Defensive rebound by K. Oubre
0:31.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,106-114,,
0:31.0,M. Williams enters the game for F. Kaminsky,,106-114,,
