time,Milwaukee,pts.away,score,pts.home,LA Clippers
4:55.0,Defensive rebound by G. Antetokounmpo,,60-60,,
4:48.0,,,60-60,,Def 3 sec tech foul by B. Griffin
4:48.0,M. Dellavedova makes technical free throw,1,61-60,,
4:41.0,Turnover by J. Terry (lost ball),,61-60,,
4:19.0,,,61-60,,L. Mbah a Moute misses 2-pt shot from 17 ft
4:18.0,Defensive rebound by J. Terry,,61-60,,
4:09.0,J. Terry misses 3-pt shot from 24 ft,,61-60,,
4:09.0,,,61-60,,Defensive rebound by D. Jordan
4:04.0,,,61-62,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
3:34.0,G. Monroe misses 2-pt shot from 3 ft,,61-62,,
3:31.0,,,61-62,,Defensive rebound by B. Griffin
3:11.0,,,61-62,,C. Paul misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by G. Antetokounmpo,,61-62,,
3:07.0,,,61-62,,Personal foul by C. Paul (drawn by G. Antetokounmpo)
3:07.0,,,61-62,,J. Crawford enters the game for J. Redick
2:52.0,T. Snell misses 3-pt shot from 25 ft,,61-62,,
2:52.0,,,61-62,,Defensive rebound by C. Paul
2:46.0,,,61-62,,Shooting foul by G. Monroe (drawn by D. Jordan)
2:46.0,,,61-63,1,D. Jordan makes free throw 1 of 2
2:46.0,,,61-64,1,D. Jordan makes free throw 2 of 2
2:46.0,,,61-63,,A. Rivers enters the game for C. Paul
2:46.0,K. Middleton enters the game for T. Snell,,61-63,,
2:39.0,Shooting foul by L. Mbah a Moute (drawn by G. Antetokounmpo),,61-64,,
2:39.0,G. Antetokounmpo makes free throw 1 of 2,1,62-64,,
2:39.0,G. Antetokounmpo makes free throw 2 of 2,1,63-64,,
2:20.0,,,63-66,2,B. Griffin makes 2-pt shot from 1 ft
2:01.0,G. Monroe makes 2-pt shot from 5 ft,2,65-66,,
1:39.0,,,65-66,,Turnover by D. Jordan (bad pass)
1:39.0,,,65-66,,M. Speights enters the game for D. Jordan
1:39.0,M. Teletovic enters the game for G. Antetokounmpo,,65-66,,
1:39.0,,,65-66,,W. Johnson enters the game for B. Griffin
