time,Sacramento,pts.away,score,pts.home,Boston
10:31.0,,,50-47,,A. Bradley misses 3-pt shot from 24 ft
10:31.0,,,50-47,,Offensive rebound by A. Johnson
10:30.0,,,50-49,2,A. Johnson makes 2-pt shot at rim
10:06.0,,,50-49,,K. Olynyk enters the game for A. Johnson
9:59.0,D. Cousins misses 2-pt shot from 22 ft,,50-49,,
9:59.0,,,50-49,,Defensive rebound by A. Bradley
9:47.0,,,50-49,,J. Crowder misses 2-pt shot from 21 ft
9:46.0,Defensive rebound by K. Koufos,,50-49,,
9:40.0,Shooting foul by J. Crowder (drawn by A. Afflalo),,50-49,,
9:40.0,A. Afflalo makes free throw 1 of 2,1,51-49,,
9:40.0,A. Afflalo misses free throw 2 of 2,,51-49,,
9:38.0,Offensive rebound by Team,,51-49,,
9:37.0,Turnover by R. Gay (bad pass; steal by I. Thomas),,51-49,,
9:35.0,,,51-49,,Shooting foul by D. Collison (drawn by I. Thomas)
9:35.0,,,51-50,1,I. Thomas makes free throw 1 of 2
9:35.0,,,51-51,1,I. Thomas makes free throw 2 of 2
9:18.0,Turnover by R. Gay (lost ball; steal by I. Thomas),,51-51,,
9:14.0,,,51-53,2,I. Thomas makes 2-pt shot from 1 ft
8:53.0,D. Cousins misses 2-pt shot from 1 ft,,51-53,,
8:53.0,,,51-53,,Defensive rebound by A. Bradley
8:49.0,,,51-53,,Turnover by A. Bradley (bad pass; steal by A. Afflalo)
8:44.0,A. Afflalo misses 2-pt shot from 2 ft (block by A. Horford),,51-53,,
8:44.0,,,51-53,,Defensive rebound by Team
8:33.0,,,51-53,,K. Olynyk misses 3-pt shot from 24 ft
8:32.0,,,51-53,,Offensive rebound by A. Bradley
8:25.0,,,51-53,,I. Thomas misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by K. Koufos,,51-53,,
8:23.0,Sacramento full timeout,,51-53,,
8:23.0,M. Barnes enters the game for K. Koufos,,51-53,,
8:06.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,53-53,,
7:48.0,,,53-53,,A. Bradley misses 2-pt shot from 7 ft (block by D. Cousins)
7:47.0,Defensive rebound by M. Barnes,,53-53,,
7:41.0,R. Gay makes 2-pt shot from 1 ft (assist by M. Barnes),2,55-53,,
7:29.0,,,55-56,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
7:17.0,D. Cousins misses 3-pt shot from 25 ft,,55-56,,
7:16.0,,,55-56,,Defensive rebound by A. Bradley
6:55.0,,,55-56,,A. Horford misses 2-pt shot from 6 ft
6:54.0,Defensive rebound by M. Barnes,,55-56,,
6:48.0,Turnover by M. Barnes (bad pass; steal by A. Bradley),,55-56,,
6:44.0,,,55-58,2,A. Bradley makes 2-pt shot from 1 ft
6:27.0,D. Cousins misses 2-pt shot from 6 ft,,55-58,,
6:26.0,Offensive rebound by D. Cousins,,55-58,,
6:25.0,D. Cousins misses 2-pt shot from 1 ft,,55-58,,
6:24.0,Offensive rebound by D. Cousins,,55-58,,
6:24.0,D. Cousins makes 2-pt shot at rim,2,57-58,,
6:24.0,Shooting foul by K. Olynyk (drawn by D. Cousins),,57-58,,
6:24.0,D. Cousins misses free throw 1 of 1,,57-58,,
6:24.0,,,57-58,,Defensive rebound by J. Crowder
6:12.0,,,57-58,,J. Crowder misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by A. Afflalo,,57-58,,
5:49.0,M. Barnes misses 2-pt shot from 2 ft,,57-58,,
5:49.0,,,57-58,,Defensive rebound by J. Crowder
5:47.0,,,57-58,,Turnover by J. Crowder (bad pass; steal by D. Cousins)
5:45.0,Shooting foul by J. Crowder (drawn by M. Barnes),,57-58,,
5:45.0,M. Barnes makes free throw 1 of 2,1,58-58,,
5:45.0,M. Barnes makes free throw 2 of 2,1,59-58,,
5:45.0,,,58-58,,A. Johnson enters the game for A. Horford
5:45.0,O. Casspi enters the game for R. Gay,,58-58,,
5:22.0,,,59-60,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Olynyk)
4:58.0,D. Collison makes 2-pt shot from 21 ft,2,61-60,,
4:58.0,Loose ball foul by M. Barnes (drawn by I. Thomas),,61-60,,
4:47.0,,,61-62,2,I. Thomas makes 2-pt shot from 11 ft
4:47.0,,,61-62,,Shooting foul by D. Collison (drawn by I. Thomas)
4:47.0,,,61-63,1,I. Thomas makes free throw 1 of 1
4:21.0,D. Cousins makes 2-pt shot from 7 ft (assist by A. Afflalo),2,63-63,,
4:01.0,,,63-63,,J. Crowder misses 2-pt shot from 7 ft (block by O. Casspi)
4:00.0,,,63-63,,Offensive rebound by Team
4:00.0,,,63-63,,Boston full timeout
4:00.0,,,63-63,,M. Smart enters the game for K. Olynyk
3:57.0,,,63-63,,A. Bradley misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by M. Barnes,,63-63,,
3:55.0,,,63-63,,Personal foul by I. Thomas (drawn by O. Casspi)
3:55.0,O. Casspi misses free throw 1 of 2,,63-63,,
3:55.0,Offensive rebound by Team,,63-63,,
3:55.0,O. Casspi makes free throw 2 of 2,1,64-63,,
3:43.0,,,64-63,,Turnover by M. Smart (bad pass; steal by A. Afflalo)
3:38.0,D. Collison makes 2-pt shot from 2 ft (assist by O. Casspi),2,66-63,,
3:20.0,,,66-63,,Turnover by M. Smart (bad pass)
3:20.0,,,66-63,,T. Rozier enters the game for I. Thomas
3:20.0,,,66-63,,K. Olynyk enters the game for J. Crowder
3:00.0,D. Cousins makes 2-pt shot from 1 ft,2,68-63,,
2:51.0,,,68-65,2,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson)
2:42.0,M. Barnes misses 3-pt shot from 24 ft,,68-65,,
2:42.0,,,68-65,,Defensive rebound by K. Olynyk
2:26.0,,,68-65,,Shooting foul by D. Cousins (drawn by A. Johnson)
2:26.0,,,68-66,1,A. Johnson makes free throw 1 of 2
2:26.0,,,68-67,1,A. Johnson makes free throw 2 of 2
2:26.0,T. Lawson enters the game for A. Afflalo,,68-66,,
