time,Memphis,pts.away,score,pts.home,Philadelphia
6:09.0,M. Gasol makes 3-pt shot from 25 ft (assist by T. Allen),3,51-59,,
5:56.0,,,51-62,3,N. Stauskas makes 3-pt shot from 25 ft
5:36.0,V. Carter misses 2-pt shot from 3 ft,,51-62,,
5:34.0,Offensive rebound by T. Allen,,51-62,,
5:34.0,T. Allen makes 2-pt shot from 1 ft,2,53-62,,
5:20.0,Personal foul by V. Carter (drawn by N. Stauskas),,53-62,,
5:20.0,,,53-62,,J. Bayless enters the game for S. Rodriguez
5:20.0,,,53-62,,H. Thompson enters the game for R. Covington
5:08.0,,,53-62,,E. Ilyasova misses 2-pt shot from 1 ft (block by J. Green)
5:05.0,Defensive rebound by J. Green,,53-62,,
4:58.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,56-62,,
4:47.0,,,56-62,,Shooting foul by V. Carter (drawn by N. Stauskas)
4:47.0,,,56-63,1,N. Stauskas makes free throw 1 of 2
4:47.0,,,56-64,1,N. Stauskas makes free throw 2 of 2
4:47.0,,,56-63,,D. Saric enters the game for E. Ilyasova
4:47.0,A. Harrison enters the game for T. Allen,,56-63,,
4:26.0,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley),2,58-64,,
3:57.0,,,58-64,,H. Thompson misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by V. Carter,,58-64,,
3:49.0,A. Harrison makes 3-pt shot from 26 ft (assist by M. Conley),3,61-64,,
3:49.0,,,61-64,,Philadelphia full timeout
3:49.0,J. Martin enters the game for M. Conley,,61-64,,
3:30.0,,,61-64,,J. Bayless misses 2-pt shot from 20 ft
3:28.0,Defensive rebound by J. Martin,,61-64,,
3:13.0,Turnover by V. Carter (bad pass; steal by H. Thompson),,61-64,,
3:09.0,,,61-64,,J. Bayless misses 2-pt shot from 2 ft (block by J. Martin)
3:09.0,,,61-64,,Offensive rebound by Team
3:09.0,Z. Randolph enters the game for M. Gasol,,61-64,,
2:49.0,,,61-66,2,H. Thompson makes 2-pt shot from 4 ft (assist by J. Bayless)
2:25.0,Z. Randolph misses 2-pt shot from 19 ft,,61-66,,
2:25.0,Offensive rebound by J. Green,,61-66,,
2:25.0,,,61-66,,Loose ball foul by D. Saric (drawn by J. Green)
2:25.0,,,61-66,,R. Covington enters the game for H. Thompson
2:15.0,J. Martin misses 2-pt shot from 2 ft,,61-66,,
2:14.0,Offensive rebound by J. Martin,,61-66,,
2:13.0,J. Martin misses 2-pt shot from 1 ft,,61-66,,
2:11.0,,,61-66,,Defensive rebound by R. Covington
2:02.0,,,61-68,2,R. Covington makes 2-pt shot from 1 ft (assist by J. Bayless)
1:54.0,J. Martin makes 2-pt shot at rim (assist by A. Harrison),2,63-68,,
1:40.0,,,63-68,,N. Stauskas misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by Team,,63-68,,
1:26.0,Turnover by A. Harrison (bad pass; steal by N. Stauskas),,63-68,,
1:18.0,,,63-71,3,D. Saric makes 3-pt shot from 27 ft (assist by J. Bayless)
0:56.0,J. Martin misses 2-pt shot from 5 ft (block by J. Okafor),,63-71,,
0:53.0,,,63-71,,Defensive rebound by N. Stauskas
0:45.0,,,63-71,,Turnover by D. Saric (step out of bounds)
0:45.0,T. Daniels enters the game for J. Green,,63-71,,
0:32.0,V. Carter misses 2-pt shot from 6 ft (block by J. Okafor),,63-71,,
0:30.0,,,63-71,,Defensive rebound by J. Bayless
0:27.0,,,63-71,,Turnover by J. Bayless (bad pass; steal by J. Martin)
0:26.0,Turnover by J. Martin (bad pass),,63-71,,
0:02.0,,,63-71,,J. Bayless misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by Z. Randolph,,63-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,,,63-71,,Personal foul by J. Bayless (drawn by A. Harrison)
11:43.0,Z. Randolph misses 2-pt shot from 3 ft,,63-71,,
11:41.0,Offensive rebound by Team,,63-71,,
11:36.0,T. Daniels misses 2-pt shot from 19 ft,,63-71,,
11:34.0,,,63-71,,Defensive rebound by J. Embiid
11:15.0,,,63-71,,Turnover by R. Covington (lost ball; steal by J. Martin)
11:05.0,V. Carter misses 3-pt shot from 25 ft,,63-71,,
11:03.0,,,63-71,,Defensive rebound by J. Embiid
10:52.0,Personal foul by A. Harrison (drawn by J. Bayless),,63-71,,
10:52.0,,,63-71,,Technical foul by J. Bayless
10:52.0,Technical foul by A. Harrison (drawn by J. Bayless),,63-71,,
10:52.0,,,63-71,,T. McConnell enters the game for J. Bayless
10:52.0,,,63-71,,H. Thompson enters the game for R. Covington
10:52.0,M. Conley enters the game for J. Martin,,63-71,,
10:52.0,M. Gasol enters the game for T. Daniels,,63-71,,
10:41.0,,,63-71,,J. Embiid misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by Z. Randolph,,63-71,,
10:25.0,V. Carter makes 2-pt shot at rim,2,65-71,,
10:25.0,Shooting foul by D. Saric (drawn by V. Carter),,65-71,,
10:25.0,V. Carter misses free throw 1 of 1,,65-71,,
10:24.0,,,65-71,,Defensive rebound by T. McConnell
10:11.0,,,65-71,,Turnover by J. Embiid (bad pass; steal by A. Harrison)
9:57.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,68-71,,
9:40.0,Jump ball: A. Harrison vs. N. Stauskas (M. Gasol gains possession),,,,Jump ball: A. Harrison vs. N. Stauskas (M. Gasol gains possession)
9:40.0,,,68-71,,Turnover by N. Stauskas (lost ball; steal by A. Harrison)
9:37.0,Turnover by M. Gasol (bad pass; steal by T. McConnell),,68-71,,
9:26.0,,,68-71,,H. Thompson misses 3-pt shot from 28 ft
9:24.0,Defensive rebound by V. Carter,,68-71,,
9:14.0,M. Gasol misses 3-pt shot from 26 ft,,68-71,,
9:12.0,,,68-71,,Defensive rebound by T. McConnell
9:00.0,,,68-71,,D. Saric misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by M. Conley,,68-71,,
8:45.0,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley),2,70-71,,
8:28.0,,,70-73,2,N. Stauskas makes 2-pt shot at rim (assist by D. Saric)
8:28.0,,,70-73,,Violation by Team (jump ball)
8:10.0,Z. Randolph misses 2-pt shot from 14 ft,,70-73,,
8:09.0,,,70-73,,Defensive rebound by H. Thompson
8:05.0,Personal foul by Z. Randolph (drawn by T. McConnell),,70-73,,
8:05.0,Official timeout,,70-73,,
8:05.0,,,70-73,,E. Ilyasova enters the game for D. Saric
8:05.0,,,70-73,,J. Okafor enters the game for J. Embiid
8:05.0,,,70-73,,R. Covington enters the game for N. Stauskas
7:48.0,,,70-73,,H. Thompson misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by M. Gasol,,70-73,,
7:32.0,Turnover by M. Gasol (bad pass; steal by J. Okafor),,70-73,,
7:27.0,,,70-75,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell)
7:01.0,A. Harrison misses 2-pt shot from 15 ft,,70-75,,
7:00.0,Offensive rebound by Team,,70-75,,
7:00.0,,,70-75,,Loose ball foul by T. McConnell (drawn by Z. Randolph)
6:39.0,M. Conley misses 3-pt shot from 25 ft,,70-75,,
6:37.0,,,70-75,,Defensive rebound by T. McConnell
6:32.0,,,70-75,,Offensive foul by J. Okafor
6:32.0,,,70-75,,Turnover by J. Okafor (offensive foul)
6:19.0,M. Conley makes 2-pt shot from 13 ft,2,72-75,,
5:55.0,,,72-75,,Shooting foul by Z. Randolph (drawn by E. Ilyasova)
5:55.0,,,72-75,,Philadelphia full timeout
5:55.0,,,72-75,,E. Ilyasova misses free throw 1 of 2
5:55.0,,,72-75,,Offensive rebound by Team
5:55.0,,,72-76,1,E. Ilyasova makes free throw 2 of 2
5:55.0,J. Green enters the game for V. Carter,,72-75,,
5:55.0,T. Allen enters the game for Z. Randolph,,72-75,,
5:42.0,,,72-76,,Personal foul by R. Covington (drawn by M. Conley)
