time,Portland,pts.away,score,pts.home,Denver
11:00.0,,,89-100,,Denver full timeout
11:00.0,,,89-100,,G. Harris enters the game for J. Murray
10:45.0,,,89-103,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Barton)
10:31.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,91-103,,
10:15.0,,,91-105,2,D. Gallinari makes 2-pt shot from 15 ft (assist by J. Nelson)
10:10.0,Shooting foul by D. Gallinari (drawn by C. McCollum),,91-105,,
10:10.0,C. McCollum makes free throw 1 of 2,1,92-105,,
10:10.0,C. McCollum makes free throw 2 of 2,1,93-105,,
9:52.0,,,93-105,,J. Nelson misses 3-pt shot from 27 ft
9:51.0,Defensive rebound by A. Crabbe,,93-105,,
9:43.0,Shooting foul by J. Nelson (drawn by M. Harkless),,93-105,,
9:43.0,M. Harkless makes free throw 1 of 2,1,94-105,,
9:43.0,M. Harkless makes free throw 2 of 2,1,95-105,,
9:43.0,,,94-105,,N. Jokic enters the game for K. Faried
9:19.0,,,95-108,3,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris)
9:03.0,E. Turner makes 2-pt shot from 2 ft (assist by C. McCollum),2,97-108,,
8:33.0,,,97-108,,D. Gallinari misses 2-pt shot from 21 ft
8:33.0,Defensive rebound by E. Davis,,97-108,,
8:22.0,Turnover by E. Turner (bad pass; steal by G. Harris),,97-108,,
8:20.0,,,97-108,,Shooting foul by M. Harkless (drawn by W. Barton)
8:20.0,,,97-109,1,W. Barton makes free throw 1 of 2
8:20.0,,,97-110,1,W. Barton makes free throw 2 of 2
8:20.0,D. Lillard enters the game for A. Crabbe,,97-109,,
8:10.0,E. Turner misses 2-pt shot from 17 ft,,97-110,,
8:09.0,,,97-110,,Defensive rebound by N. Jokic
8:02.0,Personal foul by M. Harkless (drawn by D. Gallinari),,97-110,,
8:00.0,,,97-110,,Offensive foul by N. Jokic
8:00.0,,,97-110,,Turnover by N. Jokic (offensive foul)
8:00.0,,,97-110,,K. Faried enters the game for N. Jokic
7:36.0,E. Turner misses 2-pt shot from 3 ft,,97-110,,
7:36.0,Offensive rebound by E. Davis,,97-110,,
7:34.0,E. Davis misses 2-pt shot from 3 ft,,97-110,,
7:33.0,Offensive rebound by E. Davis,,97-110,,
