time,Denver,pts.away,score,pts.home,Houston
5:57.0,,,66-71,,P. Beverley misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by N. Jokic,,66-71,,
5:45.0,Shooting foul by J. Harden (drawn by K. Faried),,66-71,,
5:45.0,K. Faried makes free throw 1 of 2,1,67-71,,
5:45.0,K. Faried makes free throw 2 of 2,1,68-71,,
5:30.0,,,68-71,,J. Harden misses 2-pt shot from 3 ft (block by N. Jokic)
5:29.0,Defensive rebound by D. Gallinari,,68-71,,
5:16.0,W. Chandler enters the game for K. Faried,,68-71,,
5:16.0,,,68-71,,L. Williams enters the game for P. Beverley
5:08.0,J. Nelson makes 3-pt shot from 27 ft (assist by D. Gallinari),3,71-71,,
4:53.0,,,71-71,,Turnover by L. Williams (bad pass; steal by N. Jokic)
4:43.0,G. Harris misses 2-pt shot from 1 ft,,71-71,,
4:43.0,Offensive rebound by G. Harris,,71-71,,
4:42.0,G. Harris makes 2-pt shot from 2 ft,2,73-71,,
4:28.0,,,73-73,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
4:04.0,G. Harris makes 2-pt shot from 2 ft,2,75-73,,
3:57.0,,,75-76,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
3:39.0,N. Jokic misses 3-pt shot from 25 ft,,75-76,,
3:38.0,,,75-76,,Defensive rebound by J. Harden
3:30.0,,,75-76,,Turnover by N. Hilario (lost ball; steal by N. Jokic)
3:21.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,77-76,,
3:09.0,,,77-76,,Shooting foul by J. Nelson (drawn by L. Williams)
3:09.0,,,77-77,1,L. Williams makes free throw 1 of 2
3:09.0,,,77-78,1,L. Williams makes free throw 2 of 2
3:09.0,J. Murray enters the game for D. Gallinari,,77-77,,
3:09.0,,,77-77,,T. Williams enters the game for T. Ariza
2:54.0,N. Jokic misses 2-pt shot from 6 ft,,77-78,,
2:53.0,Offensive rebound by N. Jokic,,77-78,,
2:53.0,Turnover by N. Jokic (lost ball; steal by J. Harden),,77-78,,
2:53.0,Personal foul by N. Jokic (drawn by J. Harden),,77-78,,
2:53.0,Denver full timeout,,77-78,,
