time,Milwaukee,pts.away,score,pts.home,Minnesota
4:39.0,,,89-105,2,A. Wiggins makes 2-pt shot at rim
4:26.0,M. Brogdon misses 2-pt shot from 1 ft,,89-105,,
4:24.0,Offensive rebound by G. Antetokounmpo,,89-105,,
4:24.0,G. Antetokounmpo makes 2-pt shot at rim,2,91-105,,
3:58.0,,,91-107,2,N. Bjelica makes 2-pt shot from 10 ft
3:35.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,93-107,,
3:16.0,,,93-109,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
2:56.0,Shooting foul by K. Towns (drawn by J. Parker),,93-109,,
2:56.0,Milwaukee full timeout,,93-109,,
2:56.0,J. Parker misses free throw 1 of 2,,93-109,,
2:56.0,Offensive rebound by Team,,93-109,,
2:56.0,J. Parker makes free throw 2 of 2,1,94-109,,
2:56.0,M. Beasley enters the game for G. Antetokounmpo,,93-109,,
2:56.0,T. Maker enters the game for J. Terry,,93-109,,
2:56.0,M. Plumlee enters the game for M. Teletovic,,93-109,,
2:54.0,Personal take foul by J. Parker (drawn by A. Wiggins),,94-109,,
2:54.0,S. Novak enters the game for J. Parker,,94-109,,
2:40.0,,,94-109,,A. Wiggins misses 2-pt shot from 3 ft (block by M. Plumlee)
2:36.0,Defensive rebound by M. Brogdon,,94-109,,
2:34.0,Offensive foul by M. Plumlee,,94-109,,
2:34.0,Turnover by M. Plumlee (offensive foul),,94-109,,
2:20.0,,,94-111,2,A. Wiggins makes 2-pt shot from 2 ft
2:20.0,,,94-111,,Shooting foul by T. Maker (drawn by A. Wiggins)
2:20.0,,,94-112,1,A. Wiggins makes free throw 1 of 1
1:57.0,S. Novak makes 3-pt shot from 22 ft (assist by M. Beasley),3,97-112,,
1:41.0,,,97-112,,Shooting foul by M. Brogdon (drawn by A. Wiggins)
1:41.0,,,97-113,1,A. Wiggins makes free throw 1 of 2
1:41.0,,,97-114,1,A. Wiggins makes free throw 2 of 2
1:23.0,M. Beasley misses 2-pt shot from 5 ft,,97-114,,
1:22.0,,,97-114,,Defensive rebound by A. Wiggins
1:00.0,,,97-114,,N. Bjelica misses 3-pt shot from 25 ft
0:58.0,,,97-114,,Offensive rebound by R. Rubio
0:37.0,,,97-116,2,N. Bjelica makes 2-pt shot from 1 ft (assist by R. Rubio)
0:20.0,M. Beasley makes 2-pt shot from 20 ft (assist by M. Brogdon),2,99-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
