time,LA Clippers,pts.away,score,pts.home,Golden State
3:22.0,,,67-96,,Shooting foul by A. Rivers (drawn by J. McGee)
3:22.0,,,67-97,1,J. McGee makes free throw 1 of 1
3:22.0,M. Speights enters the game for D. Jordan,,67-96,,
3:22.0,J. Redick enters the game for A. Rivers,,67-96,,
3:14.0,M. Speights misses 3-pt shot from 26 ft,,67-97,,
3:13.0,,,67-97,,Defensive rebound by S. Curry
3:07.0,,,67-100,3,S. Curry makes 3-pt shot from 30 ft
2:55.0,B. Griffin makes 2-pt shot from 22 ft (assist by R. Felton),2,69-100,,
2:45.0,,,69-103,3,S. Curry makes 3-pt shot from 28 ft
2:28.0,M. Speights makes 3-pt shot from 27 ft (assist by B. Griffin),3,72-103,,
2:03.0,,,72-106,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Durant)
1:55.0,J. Crawford misses 3-pt shot from 28 ft,,72-106,,
1:53.0,,,72-106,,Defensive rebound by P. McCaw
1:46.0,,,72-108,2,S. Curry makes 2-pt shot from 1 ft
1:46.0,,,72-108,,Shooting foul by J. Crawford (drawn by S. Curry)
1:46.0,LA Clippers full timeout,,72-108,,
1:46.0,,,72-109,1,S. Curry makes free throw 1 of 1
1:46.0,,,72-108,,D. Green enters the game for K. Durant
1:46.0,W. Johnson enters the game for B. Griffin,,72-108,,
1:37.0,R. Felton misses 2-pt shot from 2 ft (block by J. McGee),,72-109,,
1:35.0,,,72-109,,Defensive rebound by S. Curry
1:28.0,,,72-112,3,S. Curry makes 3-pt shot from 29 ft (assist by A. Iguodala)
1:13.0,W. Johnson misses 3-pt shot from 24 ft,,72-112,,
1:12.0,,,72-112,,Defensive rebound by S. Curry
1:05.0,,,72-112,,S. Curry misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by R. Felton,,72-112,,
0:55.0,J. Crawford misses 3-pt shot from 23 ft,,72-112,,
0:54.0,Offensive rebound by R. Felton,,72-112,,
0:54.0,R. Felton makes 2-pt shot from 7 ft,2,74-112,,
0:41.0,Personal foul by J. Crawford (drawn by S. Curry),,74-112,,
0:41.0,,,74-113,1,S. Curry makes free throw 1 of 2
0:41.0,,,74-114,1,S. Curry makes free throw 2 of 2
0:38.0,W. Johnson misses 3-pt shot from 26 ft,,74-114,,
0:37.0,,,74-114,,Defensive rebound by S. Curry
0:24.0,,,74-117,3,S. Curry makes 3-pt shot from 26 ft (assist by P. McCaw)
0:04.0,R. Felton misses 2-pt shot from 3 ft,,74-117,,
0:03.0,,,74-117,,Defensive rebound by A. Iguodala
0:00.0,,,74-117,,S. Curry misses 3-pt shot from 57 ft
0:00.0,,,74-117,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,74-117,,A. Iguodala misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by M. Speights,,74-117,,
11:31.0,Turnover by J. Redick (bad pass),,74-117,,
11:17.0,,,74-120,3,I. Clark makes 3-pt shot from 26 ft (assist by K. Looney)
10:57.0,Shooting foul by K. Looney (drawn by J. Redick),,74-120,,
10:57.0,J. Redick makes free throw 1 of 2,1,75-120,,
10:57.0,J. Redick makes free throw 2 of 2,1,76-120,,
10:46.0,,,76-120,,Turnover by K. Looney (lost ball)
10:46.0,B. Bass enters the game for W. Johnson,,76-120,,
10:46.0,A. Anderson enters the game for J. Redick,,76-120,,
10:31.0,A. Rivers makes 2-pt shot from 16 ft,2,78-120,,
10:16.0,Personal foul by J. Crawford (drawn by I. Clark),,78-120,,
10:08.0,,,78-120,,Turnover by I. Clark (lost ball; steal by J. Crawford)
9:59.0,B. Bass makes 2-pt shot at rim (assist by J. Crawford),2,80-120,,
9:35.0,,,80-122,2,K. Looney makes 2-pt shot at rim (assist by A. Iguodala)
9:19.0,A. Rivers misses 2-pt shot from 19 ft,,80-122,,
9:18.0,,,80-122,,Defensive rebound by K. Looney
9:14.0,Personal foul by A. Rivers (drawn by J. McAdoo),,80-122,,
9:03.0,,,80-122,,Turnover by J. McAdoo (bad pass; steal by A. Anderson)
8:52.0,B. Bass makes 2-pt shot from 9 ft,2,82-122,,
8:25.0,,,82-122,,S. Livingston misses 2-pt shot from 20 ft
8:24.0,,,82-122,,Offensive rebound by J. McAdoo
8:23.0,,,82-124,2,J. McAdoo makes 2-pt shot at rim
8:00.0,B. Bass misses 2-pt shot from 18 ft,,82-124,,
7:59.0,,,82-124,,Defensive rebound by A. Iguodala
7:48.0,,,82-124,,I. Clark misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by M. Speights,,82-124,,
7:32.0,J. Crawford makes 2-pt shot from 5 ft,2,84-124,,
7:31.0,,,84-124,,Golden State full timeout
7:31.0,,,84-124,,P. McCaw enters the game for A. Iguodala
7:18.0,,,84-124,,K. Looney misses 2-pt shot from 20 ft
7:17.0,Defensive rebound by Team,,84-124,,
7:17.0,,,84-124,,Loose ball foul by J. McAdoo (drawn by B. Bass)
7:04.0,Turnover by J. Crawford (bad pass; steal by K. Looney),,84-124,,
6:50.0,,,84-124,,J. McAdoo misses 2-pt shot from 9 ft
6:49.0,,,84-124,,Offensive rebound by J. McAdoo
