time,Milwaukee,pts.away,score,pts.home,Orlando
7:27.0,M. Dellavedova makes 2-pt shot from 23 ft (assist by J. Parker),2,88-83,,
7:05.0,,,88-83,,N. Vucevic misses 2-pt shot from 10 ft
7:03.0,Defensive rebound by J. Parker,,88-83,,
6:53.0,J. Parker misses 2-pt shot from 19 ft,,88-83,,
6:52.0,,,88-83,,Defensive rebound by E. Payton
6:38.0,,,88-86,3,N. Vucevic makes 3-pt shot from 26 ft (assist by E. Fournier)
6:22.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,90-86,,
6:02.0,,,90-86,,N. Vucevic misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by J. Parker,,90-86,,
5:47.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Henson),3,93-86,,
5:47.0,,,93-86,,Orlando full timeout
5:47.0,,,93-86,,S. Ibaka enters the game for N. Vucevic
5:26.0,,,93-86,,B. Biyombo misses 2-pt shot from 6 ft (block by J. Henson)
5:24.0,Defensive rebound by M. Teletovic,,93-86,,
5:20.0,,,93-86,,Personal block foul by E. Fournier (drawn by M. Teletovic)
5:05.0,J. Henson misses 2-pt shot from 9 ft,,93-86,,
5:04.0,,,93-86,,Defensive rebound by S. Ibaka
4:47.0,,,93-86,,S. Ibaka misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by M. Teletovic,,93-86,,
4:37.0,J. Henson makes 2-pt shot at rim (assist by M. Dellavedova),2,95-86,,
4:26.0,,,95-88,2,E. Payton makes 2-pt shot from 19 ft
4:04.0,M. Dellavedova misses 2-pt shot from 10 ft,,95-88,,
4:02.0,,,95-88,,Defensive rebound by D. Augustin
3:58.0,,,95-90,2,S. Ibaka makes 2-pt shot at rim (assist by D. Augustin)
