time,Indiana,pts.away,score,pts.home,New Orleans
4:11.0,,,68-68,3,B. Hield makes 3-pt shot from 22 ft (assist by J. Holiday)
3:58.0,Shooting foul by J. Holiday (drawn by J. Teague),,68-68,,
3:58.0,J. Teague makes free throw 1 of 2,1,69-68,,
3:58.0,J. Teague misses free throw 2 of 2,,69-68,,
3:58.0,A. Jefferson enters the game for M. Turner,,69-68,,
3:51.0,,,69-68,,Defensive rebound by A. Davis
3:43.0,,,69-68,,Turnover by A. Davis (lost ball)
3:30.0,C. Miles misses 3-pt shot from 27 ft,,69-68,,
3:29.0,,,69-68,,Defensive rebound by A. Davis
3:15.0,,,69-68,,T. Jones misses 2-pt shot from 21 ft
3:15.0,Defensive rebound by J. Teague,,69-68,,
3:05.0,A. Jefferson makes 2-pt shot from 6 ft (assist by J. Teague),2,71-68,,
2:52.0,,,71-70,2,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday)
2:26.0,J. Teague misses 3-pt shot from 24 ft,,71-70,,
2:25.0,,,71-70,,Defensive rebound by T. Jones
2:16.0,,,71-70,,Shooting foul by P. George (drawn by A. Davis)
2:16.0,Indiana full timeout,,71-70,,
2:16.0,,,71-70,,A. Davis misses free throw 1 of 2
2:16.0,,,71-70,,Offensive rebound by Team
2:16.0,,,71-71,1,A. Davis makes free throw 2 of 2
2:16.0,,,71-70,,T. Evans enters the game for J. Holiday
2:16.0,G. Robinson enters the game for P. George,,71-70,,
2:16.0,A. Brooks enters the game for J. Teague,,71-70,,
1:59.0,A. Jefferson makes 2-pt shot from 6 ft (assist by A. Brooks),2,73-71,,
1:38.0,,,73-71,,S. Hill misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by G. Robinson,,73-71,,
1:15.0,G. Robinson misses 2-pt shot from 13 ft,,73-71,,
1:14.0,,,73-71,,Defensive rebound by T. Evans
1:01.0,,,73-71,,T. Evans misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by Team,,73-71,,
1:01.0,,,73-71,,L. Galloway enters the game for S. Hill
0:41.0,A. Jefferson misses 2-pt shot from 9 ft,,73-71,,
0:41.0,,,73-71,,Defensive rebound by T. Jones
0:35.0,,,73-71,,Offensive charge foul by T. Evans
0:35.0,,,73-71,,Turnover by T. Evans (offensive foul)
0:35.0,,,73-71,,E. Moore enters the game for B. Hield
0:22.0,C. Miles misses 2-pt shot from 3 ft,,73-71,,
0:22.0,,,73-71,,Defensive rebound by T. Jones
0:15.0,,,73-71,,L. Galloway misses 3-pt shot from 22 ft
0:15.0,Defensive rebound by T. Young,,73-71,,
0:10.0,Shooting foul by E. Moore (drawn by T. Young),,73-71,,
0:10.0,T. Young makes free throw 1 of 2,1,74-71,,
0:10.0,T. Young misses free throw 2 of 2,,74-71,,
0:10.0,,,74-71,,Defensive rebound by A. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,74-73,2,T. Jones makes 2-pt shot from 7 ft (assist by T. Evans)
11:26.0,Turnover by A. Brooks (bad pass),,74-73,,
11:06.0,,,74-73,,L. Galloway misses 3-pt shot from 26 ft
11:05.0,Defensive rebound by G. Robinson,,74-73,,
10:51.0,A. Jefferson makes 2-pt shot from 9 ft,2,76-73,,
10:41.0,,,76-75,2,T. Evans makes 2-pt shot from 3 ft
10:18.0,A. Jefferson makes 2-pt shot from 3 ft,2,78-75,,
10:08.0,,,78-78,3,A. Davis makes 3-pt shot from 26 ft (assist by T. Evans)
10:00.0,,,78-78,,Violation by Team (jump ball)
9:44.0,A. Brooks misses 3-pt shot from 24 ft (block by T. Jones),,78-78,,
9:44.0,Offensive rebound by Team,,78-78,,
9:44.0,L. Allen enters the game for G. Robinson,,78-78,,
9:39.0,P. George makes 2-pt shot from 10 ft,2,80-78,,
9:29.0,,,80-81,3,T. Evans makes 3-pt shot from 25 ft
9:12.0,P. George misses 2-pt shot from 13 ft,,80-81,,
9:11.0,,,80-81,,Defensive rebound by A. Davis
9:05.0,,,80-81,,A. Davis misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by C. Miles,,80-81,,
8:54.0,A. Jefferson misses 2-pt shot from 5 ft,,80-81,,
8:54.0,,,80-81,,Defensive rebound by T. Evans
8:45.0,Personal foul by A. Jefferson (drawn by A. Davis),,80-81,,
8:45.0,Official timeout,,80-81,,
8:45.0,T. Young enters the game for A. Jefferson,,80-81,,
8:45.0,J. Teague enters the game for L. Allen,,80-81,,
8:45.0,M. Turner enters the game for A. Brooks,,80-81,,
8:45.0,,,80-81,,J. Holiday enters the game for A. Davis
8:45.0,,,80-81,,A. Ajinca enters the game for T. Evans
8:34.0,,,80-81,,Turnover by A. Ajinca (traveling)
8:22.0,P. George misses 3-pt shot from 25 ft,,80-81,,
8:22.0,,,80-81,,Defensive rebound by A. Ajinca
8:12.0,,,80-81,,E. Moore misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by J. Teague,,80-81,,
8:04.0,T. Young misses 2-pt shot from 17 ft,,80-81,,
8:02.0,,,80-81,,Defensive rebound by A. Ajinca
7:57.0,,,80-81,,E. Moore misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by T. Young,,80-81,,
7:41.0,J. Teague misses 2-pt shot from 2 ft,,80-81,,
7:41.0,Offensive rebound by Team,,80-81,,
7:29.0,J. Teague misses 3-pt shot from 25 ft,,80-81,,
7:27.0,,,80-81,,Defensive rebound by A. Ajinca
7:20.0,,,80-81,,Shooting foul by T. Young (drawn by J. Holiday)
7:20.0,,,80-82,1,J. Holiday makes free throw 1 of 2
7:20.0,,,80-83,1,J. Holiday makes free throw 2 of 2
7:20.0,,,80-82,,B. Hield enters the game for L. Galloway
7:09.0,Shooting foul by J. Holiday (drawn by J. Teague),,80-83,,
7:09.0,J. Teague makes free throw 1 of 2,1,81-83,,
7:09.0,J. Teague makes free throw 2 of 2,1,82-83,,
6:52.0,,,82-83,,B. Hield misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by C. Miles,,82-83,,
6:37.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,84-83,,
6:21.0,,,84-83,,A. Ajinca misses 2-pt shot from 2 ft (block by M. Turner)
6:19.0,Defensive rebound by C. Miles,,84-83,,
6:10.0,M. Turner makes 2-pt shot from 8 ft,2,86-83,,
6:06.0,,,86-83,,New Orleans full timeout
6:06.0,,,86-83,,A. Davis enters the game for A. Ajinca
5:48.0,,,86-85,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Holiday)
5:31.0,Turnover by P. George (lost ball; steal by E. Moore),,86-85,,
5:26.0,,,86-85,,Shooting foul by M. Turner (drawn by A. Davis)
5:26.0,,,86-85,,A. Davis misses free throw 1 of 2
5:26.0,,,86-85,,Offensive rebound by Team
5:26.0,,,86-85,,A. Davis misses free throw 2 of 2
5:25.0,Defensive rebound by T. Young,,86-85,,
5:10.0,P. George misses 2-pt shot from 2 ft,,86-85,,
5:09.0,Offensive rebound by M. Turner,,86-85,,
5:09.0,M. Turner makes 2-pt shot from 2 ft,2,88-85,,
5:00.0,,,88-85,,Turnover by A. Davis (lost ball; steal by P. George)
4:52.0,P. George makes 2-pt shot from 2 ft (assist by C. Miles),2,90-85,,
4:39.0,,,90-85,,E. Moore misses 3-pt shot from 22 ft (block by J. Teague)
4:39.0,,,90-85,,Offensive rebound by J. Holiday
4:38.0,,,90-87,2,J. Holiday makes 2-pt shot from 2 ft
4:20.0,J. Teague misses 2-pt shot from 2 ft (block by T. Jones),,90-87,,
4:19.0,,,90-87,,Defensive rebound by J. Holiday
4:11.0,,,90-87,,A. Davis misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by C. Miles,,90-87,,
3:56.0,Turnover by T. Young (bad pass; steal by T. Jones),,90-87,,
3:51.0,,,90-87,,T. Jones misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by Team,,90-87,,
3:51.0,Indiana full timeout,,90-87,,
3:51.0,,,90-87,,S. Hill enters the game for E. Moore
3:34.0,P. George misses 2-pt shot from 16 ft,,90-87,,
3:34.0,,,90-87,,Defensive rebound by J. Holiday
3:21.0,,,90-90,3,B. Hield makes 3-pt shot from 27 ft (assist by J. Holiday)
3:03.0,J. Teague misses 3-pt shot from 25 ft (block by A. Davis),,90-90,,
3:01.0,,,90-90,,Defensive rebound by T. Jones
3:01.0,,,90-92,2,A. Davis makes 2-pt shot at rim (assist by T. Jones)
